chu_lemma|orv_lemma|pos|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched
събирати|събирати|V-|sъbirati|||||||54|1||||||||orv
тѣмьже||Df|těmьže||||||||0||||||||
тъжде||Pd|tъђe|tъdje||||||pron_hard_ђe|2||||||||
образъ|образъ|Nb|obrazъ|||||||masc_o|2||||||||orv
ни|ни|C-|ni||||||||0||||||||orv
то|то|Df|to||||||||0||||||||orv
ангелъ|ангелъ|Nb|anǵelъ|||||||masc_o|2|2|W||||ἄγγελος||orv
ꙗко|яко|Df|ako||||||||0||||||||orv
елиньскъ|елиньскыи|A-|jelinьskъ|||||||adj_hard|2|2||Greek|||Ἑλληνικός||orv
приѩти|прияти|V-|prijęti|||||priję|prijьm|12|1||||||||orv
мьнѣти|мьнѣти|V-|mьněti|||||||31|1||||||||orv
вѣ|вѣ|Pp|azъ|||||||azъ|2||||||||orv
повелѣти|повелѣти|V-|povelěti|||||||31|1||||||||orv
евангелиѥ|евангелие|Nb|jevanǵelьje|||||||nt_jo|2|2|W||||εὐαγγέλιον||orv
дъска|дъска|Nb|dъska|||||||fem_a|2||||||||orv
напьсати||V-|napьsati|||||||52_abl|1||||||||
не бꙑти||V-|nebyti|||||||nebyti|1||||||||
тоу|ту|Df|tu||||||||0||||||||orv
такъ||Pd|takъ|||||||pron_hard|2||||||||
безоумиѥ|безумие|Nb|bezumьje|||||||nt_jo|2||||||||orv
обаче|обаче|Df|obače||||||||0||||||||orv
наоучити|научити|V-|naučiti|||||||40|1||||||||orv
рѧдъ|рядъ|Nb|rędъ|||||||masc_o_u|2||||Derksen says o-stem, so the Supr. u-genitives and Rus. наряду etc. could be non-original|1|||orv
бꙑвати|бывати|V-|byvati|||||||54|1||||||||orv
сѵрьскъ||A-|sürьskъ|||||||adj_hard|2|25|W|Syrian|||Σύρος||
до|до|R-|do||||||||0|||||||1|orv
потопъ|потопъ|Nb|potopъ|||||||masc_o|2|||flood|||||orv
доньде|доньде|G-|dońьdeže|donjьdeže|||||||0|||until|||||orv
раздѣлити|роздѣлити|V-|orzděliti|||||||40|1||||||||orv
при|при|R-|pri||||||||0|||||||1|orv
размѣсити|размѣсити|V-|orzměsiti|||||||40|1||||||||orv
обꙑчаи|обычаи|Nb|obyčǢjь|||||||masc_jo|2||||||||orv
законъ|законъ|Nb|zakonъ|||||||masc_o|2||||||||orv
хꙑтрость|хытрость|Nb|xytrostь|||||||fem_i|2||||||||orv
небо|небо|Nb|nebo|||||||nt_S|2||||||||orv
землꙗ|земля|Nb|zemĺǢ|zemjǢ||||||fem_ja|2||||||||orv
чловѣкъ|человѣкъ|Nb|čьlověkъ||||čelověkъ|||masc_o|2||||||||orv
елинъ|елинъ|Nb|jelinъ|||||||masc_o|2|2||Greek (person)|||Ἕλλην ||orv
прѣжде|переже|R-|perђe|perdje|||||||0||||||||orv
свои|свои|Pt|svojь|||||||pron_soft|2||||||||orv
послѣжде|послѣже|Df|poslěђe|poslědje|||||||0||||||||orv
прити|приити|V-|prijьti|||||||jьti|1||||||||orv
тъкъмо#2|тъкъмо#2|Df|tъkъmo||||||||0||||||||orv
обрѣсти|обрѣсти|V-|obrěsti|||||obrět|obrět|rěsti|1|||find|||||orv
дъва|дъва|Ma|dъva|||||||pron_hard|2||||||||orv
събьрати|събьрати|V-|sъbьrati|||||sъbьra|sъber|51_abl|1||||||||orv
ѥдъва|едъва|Df|jedъva||||||||0||||||||orv
минѫти|минути|V-|minǫti|||||||22|1||||||||orv
божии|божии|A-|božьjь|||||||adj_ij|2||||||||orv
повелѣниѥ|повелѣние|Nb|povelěnьje|||||||nt_jo|2||||||||orv
прѣложити|переложити|V-|perložiti|||||||40|1||||||||orv
ѥдинъ|одинъ|Ma|jedinъ||||jedьn|||pron_hard|2||||||||orv
седмь|седмь|Ma|sedmь|||||||fem_i|2||||||||orv
оустроити|устроити|V-|ustrojiti|||||||40|1||||||||orv
чьстьнъ|чьстьныи|A-|čьstьnъ|||||||adj_hard|2||||||||orv
аще|аче|G-|aћe|atje|||||||0||||||||orv
ли|ли|Df|li||||||||0||||||||orv
къто|къто|Px|kъto|||||||kъto|2||||||||orv
понѥже|понеже|G-|pońeže|ponježe|||||||0|||because; to the extent that, inasmuch as|the *ń can be securely posited if we take this as *po ńeže = 'after [that] which' (the nt. Asg. pronoun *je plus the relativising particle že, preceded by a preposition which forces the *ń-prefixed variant of the pronoun)||||orv
ѥще|еще|Df|ješče||||||||0||||||||orv
отъвѣтъ|отъвѣтъ|Nb|otъvětъ|||||||masc_o|2||||||||orv
такожде|такожде|Df|takoђe|takodje|||||||0||||||||orv
инъ||Px|jьnъ|||||||pron_hard|2||||||||
оудобъ|удобыи|A-|udobъ|||||||adj_hard|2||||||||orv
неже|неже|Df|neže||||||||0|||than|||||orv
въспросити|въспросити|V-|vъsprositi|||||||40|1||||||||orv
кънигъчии||Nb|kъńigъčьji|kъnjigъčьji||||||masc_ji|2|7||scribe, law and scripture expert|||||
къто|къто|Pi|kъto|||||||kъto|2||||||||orv
ва|ва|Pp|ty|||||||ty|2||||||||orv
кꙑи|кыи|Pi|kъjь|||||||kъjь|2|||which, what kind of|See Diels 1963 p.211||||orv
врѣмѧ|веремя|Nb|vermę|||||||nt_N|2||||cf. Ukr. dial. ве́рем'я 'nice weather'||||orv
отъвѣщати|отъвѣчати|V-|otъvěћǢti|otъvětjǢti||||||54|1||||||||orv
братръ|братръ|Nb|bratrъ|||||||masc_o|2||||||||orv
михаилъ|михаилъ|Ne|mixajilъ|||||||masc_o|2|25|W||||Μιχαήλ||chu
цѣсарь|цѣсарь|Nb|kěsaŕь|kěsarjь||cěsaŕь||||masc_ar|2|13|||||Goth. kaisar < Latin caesar||orv
борисъ|борисъ|Ne|borisъ|||||||masc_o|2||||unexplained etymology, some think it’s from Bulgar||||chu
кънѧѕь|кънязь|Nb|kъnęgь||kъnęgъ|kъnęʒь||||masc_o_PV3|2|1||prince|||Gmc. *kuningaz, probably Gothic||orv
съзьданиѥ|съзьдание|Nb|sъzьdanьje|||||||nt_jo|2||||||||orv
миръ#2|миръ|Nb|mirъ|||||||masc_o|2||||||||orv
три съта||Ma|300||||||||0||||||||
шесть десѧтъ||Ma|60||||||||0||||||||
нꙑнѣ|нынѣ|Df|nyně||||nyńǢ||||0||||See essja p.59-60; apparently cognate with Lith.  nunai, and the final -ně with Gk. nai. The frequent occurence of the palatalisation diacritic and <ꙗ> in Cyr. mss. is a big problem.||||orv
братриꙗ||Nb|bratrьjǢ|||||||fem_ja|2|||brethren, crew, bros|||||
слава|слава|Nb|slava|||||||fem_a|2||||||||orv
чьсть|чьсть|Nb|čьstь|||||||fem_i|2||||||||orv
дрьжава|дьржава|Nb|dŕ̥žǢva|||||||fem_a|2||||||||orv
присно||Df|prisno||||||||0|||for eternity, ever|||||
вѣкъ||Nb|věkъ|||||||masc_o|2||||||||
аминъ|аминъ|I-|aminь||||aminъ||||0|25|||||ἀμὴν||orv
молитва|молитва|Nb|modlitva|||||||fem_a|2||||||||orv
ѥгда|егда|Dq|jegъda||||||||0||||||||orv
хотѣти|хотѣти|V-|xotěti||||xъtěti|||will|1||||||||orv
виноградъ|виноградъ|Nb|vinogordъ|||||||masc_o|2||||||||orv
садити|садити|V-|saditi|||||||40|1||||||||orv
христ(ос)ъ|христ(ос)ъ|Ne|xristosъ|||||||masc_o|2|2|||||Χριστὸς||orv
отьць|отьць|Nb|otьkь||otьkъ|otьcь||||masc_o_PV3|2||||||||orv
твои|твои|Ps|tvojь|||||||pron_soft|2||||||||orv
дѣлатель|дѣлатель|Nb|dělateĺь|dělateljь||||||masc_tel|2|||doer, carryer-out, commiter; labourer, workman; farmer|||||orv
апостолъ|апостолъ|Nb|apostolъ|||||||masc_o|2|2|||||ἀπόστολος||orv
лозиѥ|лозие|Nb|lozьje|||||||nt_jo|2|||vine|||||orv
нарещи|нарещи|V-|nareћi|narekti||||narьk|narek|11|1||||||||orv
издраиль||Ne|jizrajiĺь|jizrajiljь||||||masc_jo|2|25|W||||Ἰσραήλ||
егѵпьтъ||Ne|jeǵüpьtъ|||||||masc_o|2|25|W|Egypt|||Αἴγυπτος||
прѣнести|перенести|V-|pernesti|||||pernes|pernes|11|1||||||||orv
изгънати|изгънати|V-|jьzgъnati|||||||51_abl|1||||||||orv
насадити|насадити|V-|nasaditi|||||||40|1||||||||orv
призьрѣти|призьрѣти|V-|prizьrěti|||||||31|1|||look at; look after, pay attention to|||||orv
оукоренити||V-|ukoreniti|||||ukoreni|ukoreń|40|1||||||||
оуглѫбити||V-|uglǫbiti|||||||40|1|||deepen; bury deeper|||||
милость|милость|Nb|milostь|||||||fem_i|2||||||||orv
оградити|огородити|V-|ogorditi|||||||40|1||||||||orv
острогъ|острогъ|Nb|ostrogъ|||||||masc_o|2||||Vasmer gives Ukr. остріг, Pol. ostróg as cognates||||orv
въходъ||Nb|vъxodъ|||||||masc_o|2||||||||
исходъ|исходъ|Nb|jьsxodъ|||||||masc_o|2||||||||orv
избавити|избавити|V-|jьzbaviti|||||||40|1||||||||orv
снѣгъ|снѣгъ|Nb|sněgъ|||||||masc_o|2||||||||orv
мразъ|мразъ|Nb|morzъ|||||||masc_o|2|||frost|||||orv
градъ#2|градъ#2|Nb|gradъ|||||||masc_o|2|||hail|||||orv
носити|носити|V-|nositi|||||nosi|noš|40|1||||||||orv
боурꙗ|буря|Nb|buŕǢ|burjǢ||||||fem_ja|2|||storm|||||orv
възглашениѥ||Nb|vъzgolšenьje|||||||nt_jo|2|||proclamation|||||
милостивъ|милостивыи|A-|milostivъ|||||||adj_hard|2||||||||orv
гроздъ||Nb|grozdъ|||||||masc_o|2|||bunch (of grapes)|occurs with the u-stem Ipl. ending as гроздъми in Euch. but Derksen 2008 p.191 lists it as an o-stem so I will reconstruct as if it were originally an o-stem for now||||
вино|вино|Nb|vino|||||||nt_o|2||||||||orv
иманиѥ||Nb|jьmanьje|||||||nt_jo|2|||gathering, harvest|||||
съпасъ|съпасъ|Nb|sъpasъ|||||||masc_o|2|||saviour; salvation|||||orv
нашь|нашь|Ps|našь|||||||pron_soft|2||||||||orv
изволити|изволити|V-|jьzvoliti|||||||40|1|||choose, favour|||||orv
ѥдиночѧдъ||A-|jedinočędъ||||jedьnočędъ|||masc_o|2|||only-begotten [son]|||||
сꙑнъ#1|сынъ|Nb|synъ|||||||masc_u|2||||||||orv
господь|господь|Nb|gospodь|||||||masc_i|2||||||||orv
исоусъ|исусъ|Ne|jisusъ|||||||masc_o_u|2||||||||orv
плодъ|плодъ|Nb|plodъ|||||||masc_o|2||||||||orv
бесъмрьтьнъ||A-|bessъmŕ̥tьnъ|||||||adj_hard|2||||||||
даровати|даровати|V-|darovati|||||||61|1||||||||orv
виньнъ|виньныи|A-|vinьnъ|||||||adj_hard|2|||wine-, of the vine|||||orv
благословити|благословити|V-|bolgosloviti|||||||40|1||||||||orv
богородица|богородица|Nb|bogorodika|||bogorodica||||fem_a_PV3|2||||||||orv
оугодити|угодити|V-|ugoditi|||||||40|1||||||||orv
благодѣть|благодѣть|Nb|bolgodětь|||||||fem_i|2||||||||orv
щедрота|щедрота|Nb|ščedrota|||||||fem_a|2|||mercy, compassion, kindness, grace|cf. Pol. szczodry||||orv
начѧтиѥ||Nb|načętьje|||||||nt_jo|2|||undertaking, beginning [to do sth.];; first things of a given season, i.e. first harvest|||||
кꙑсѣлъ||A-|kysělъ|||||||adj_hard|2|||young (soured?) wine|||||
вода|вода|Nb|voda|||||||fem_a|2||||||||orv
кана-галилеискъ||A-|kanagalilejьskъ||||kanagalilějьskъ|||adj_hard|2|25|W||||Κανὰ τῆς Γαλιλαίας||
бракъ|бракъ|Nb|bьrakъ|||||||masc_o|2|||wedding, feast|ESSJa 03 p.160-1 takes this a derivative of *bьrati, but mentions a list of others who derive it from *borkъ. The word only exists in modern Russian and South Slavic so there is no evidence for or against a TorT-group, and the word does not occur in the Kiev Folia so it's plausible that all the occurences in OCS are spelt without a jer in accordance with their phonological systems. We expect jers for Urkirchenslavisch, however, so that there are no attestations of бьракъ is a problem for ESSJa's derivation|1|||orv
авити|явити|V-|aviti|||||||40|1||||||||orv
оученикъ|ученикъ|Nb|učenikъ|||||||masc_o|2||||||||orv
посѣтити|посѣтити|V-|posětiti|||||||40|1|||visit|||||orv
жилище|жилище|Nb|žilišče|||||||nt_jo|2|||dwellings, living quarters|||||orv
вьсꙗкъ|вьсякыи|A-|vьxakъ|||vьśakъ||||pron_hard|2||||||||orv
благъ|благыи|A-|bolgъ|||||||adj_hard|2||||||||orv
растворѥниѥ|растворение|Nb|orstvoŕenьje|orstvorjenьje||||||nt_jo|2||||||||orv
пити|пити|V-|piti|||||pi|pьj|17|1||||||||orv
да|да|G-|da||||||||0||||||||orv
неприꙗзнинъ||A-|neprijǢzninъ|||||||adj_hard|2|||the Devil's, of the Devil|||||
дѣтѣль||Nb|dětělь|||||||fem_i|2|||deed, action|||||
славити|славити|V-|slaviti|||||slavi|slavĺ|40|1|||praise, glorify, sing the praises of|||||orv
датель||Nb|dateĺь|dateljь||||||masc_tel|2||||||||
добръ|добрыи|A-|dobrъ|||||||adj_hard|2||||||||orv
приношениѥ|приношение|Nb|prinošenьje|||||||nt_jo|2||||||||orv
благословлѥниѥ|благословление|Nb|bolgoslovĺenьje|bolgoslovjenьje||||||nt_jo|2|||blessing|||||orv
домъ|домъ|Nb|domъ|||||||masc_u|2||||||||orv
храмъ|хоромъ|Nb|xormъ|||||||masc_o|2||||||||orv
съпаситель|съпаситель|Nb|sъpasiteĺь|sъpasiteljь||||||masc_tel|2||||||||orv
подъ|подъ|R-|podъ||||||||0|||||||1|orv
кровъ|кровъ|Nb|krovъ|||||||masc_o|2|||roof, rooftop|||||orv
закьхеовъ||A-|zaḱьxejovъ||zaḱьxejevъ||zaḱьxějovъ|||adj_hard|2|25|W||||Ζακχαῖος < זכי .||
вънити|вънити|V-|vъnjьti|||||||jьti|1||||||||orv
прѣчистъ|прѣчистыи|A-|perčistъ|||||||adj_hard|2||||||||orv
гласъ|голосъ|Nb|golsъ|||||||masc_o|2||||||||orv
евангелистъ|евангелистъ|Nb|jevanǵelistъ|||||||masc_o|2|2|W||||εὐαγγελιστής||orv
въселѥнаꙗ||Nb|vъsedĺenъ|vъsedljenъ||||||long_adj_noun|2||||||||
истина|истина|Nb|jьstina|||||||fem_a|2||||||||orv
проповѣдати|проповѣдати|V-|propovědati|||||||54|1||||||||orv
сьде||Df|sьde||||||||0|||here, осында, бұл жерде|||||
жити|жити|V-|žiti|||||ži|živ|11|1||||Diels 1963 p.250 takes aorists formed on the stem *ži to be more recent innovations, seeing the original 3rd sg. aorist as живе||||orv
съмѣрѥнъ|съмѣреныи|A-|sъměŕenъ|||||||adj_hard|2|||humble, meek (literally 'measured down': cut down to size, knocked down a few pegs)|||||orv
грѣшьнъ|грѣшьныи|A-|grěšьnъ|||||||adj_hard|2||||||||orv
приносити|приносити|V-|prinositi|||||prinosi|prinoš|40|1||||||||orv
прославити|прославити|V-|proslaviti|||||||40|1||||||||orv
пакость|пакость|Nb|pakostь|||||||fem_i|2||||||||orv
врѣждениѥ||Nb|verђenьje|verdjenьje||||||nt_jo|2||||||||
житиѥ|житие|Nb|žitьje|||||||nt_jo|2||||||||orv
авлꙗти|являти|V-|avĺǢti|avjǢti||||||54|1||||||||orv
даръ|даръ|Nb|darъ|||||||masc_o_u|2||||||||orv
земьнъ|земьныи|A-|zemьnъ|||||||adj_hard|2||||There are no attestations of **земл҄ьнъ, even though земл҄ьскъ is well attested in KB and Mar., but Russian наземь 'onto the ground' suggests the possibility of a non-jotated i-stem *zemь (mentioned by Derksen p.542), so I will reconstruct *zemьnъ instead of *zemĺьnъ||||orv
небесьнъ|небесьныи|A-|nebesьnъ|||||||adj_hard|2||||||||orv
надъ|надъ|R-|nadъ||||||||0|||||||1|orv
стадо|стадо|Nb|stado|||||||nt_o|2|||herd, flock|||||orv
владꙑка|владыка|Nb|voldyka|||||||masc_a|2||||||||orv
вьседрьжитель|вьседьржитель|Nb|vьxedŕ̥žiteĺь|vьxedŕ̥žiteljь||vьśedŕ̥žiteĺь||||masc_tel|2||||||||orv
агньць|агньць|Nb|agnьkь||agnьkъ|agnьcь||||masc_o_PV3|2||||||||orv
възимати|възимати|V-|vъzьmati|||||||52_abl|1||||||||orv
грѣхъ|грѣхъ|Nb|grěxъ|||||||masc_o|2||||||||orv
прѣзьрѣти|прѣзьрѣти|V-|perzьrěti|||||perzьrě|perzьŕ|31|1|||disregard, scorn|||||orv
доуша|душа|Nb|dušǢ|||||||fem_ja|2||||||||orv
молити|молити|V-|modliti|||||||40|1||||||||orv
прибѣгати|прибѣгати|V-|priběgati|||||priběga|priběgaj|54|1|||run to, turn to (for help/in times of need)|||||orv
вѣчьнъ||A-|věčьnъ|||||||adj_hard|2||||||||
иꙗковъ|ияковъ|Ne|ijǢkovъ|||||||masc_o|2|25|W||||Ἰάκωβος||orv
оумъножити|умъножити|V-|umъnožiti|||||umъnoži|umъnož|40|1||||||||orv
рѫка|рука|Nb|rǫka|||||||fem_a|2||||||||orv
исаавовъ||A-|isaavovъ|||||||adj_hard|2|25|W|Esau's, of Esau|||Ἡσαῦ < עֵשָׂו‎ .||
лаваановъ||A-|lavaanovъ|||||||adj_hard|2|25|W||||Λάβαν <  לָבָן .||
тꙑсѧщи||Nb|tysǫћi|tysǫtji||||||fem_ji|2||||||||
тъма|тьма|Nb|tьma|||||||fem_a|2|||ten thousand; an innumerable amount|||||orv
сь|се|I-|se||||||||0||||||||orv
насилиѥ|насилие|Nb|nasilьje|||||||nt_jo|2||||||||orv
иноплеменьникъ|иноплеменьникъ|Nb|jьnoplemenьnikъ|||||||masc_o|2|||foreigner, outsider, member of different tribe|||||orv
часъ|часъ|Nb|čǢsъ|||||||masc_o|2||||||||orv
съмрьтьнъ|съмьртьныи|A-|sъmŕ̥tьnъ|||||||adj_hard|2||||||||orv
съблюсти|съблюсти|V-|sъbĺusti|sъbjusti||||sъbĺud|sъbĺud|11|1||||||||orv
сътѧжати|сътяжати|V-|sъtęžǢti|||||||31|1|||hold on to, keep, have on one's person|||||orv
незавидьливъ||A-|nezavidьlivъ|||||||adj_hard|2|||unenvious|||||
око|око|Nb|oko|||||||oko|2||||||||orv
наслаждати||V-|nasolђǢti|nasoldjǢti||||nasolђǢ|nasolђǢj|54|1||||||||
хвала|хвала|Nb|xvala|||||||fem_a|2||||||||orv
ѥдьночѧдъ||A-|jedьnočędъ||||jedinočędъ|||masc_o|2|||only-begotten [son]|||||
лещи|лечи|V-|leћi|legti||||leg|leg|infix_11|1||||||||orv
ложе|ложе|Nb|lože|||||||nt_jo|2|||bed; stretcher|||||orv
отити||V-|otjьti|||||||jьti|1||||||||
сотона||Nb|sotona|||||||masc_a|2|25|||This word must've been borrowed when CS /o,a/ were still separated by quantity rather than quality as /ă ā/, similar to товар (< Turkic. *tawar, Kaz. тауар, Turkish. davar 'livestock')||Σατανᾶς ||
двьрь|двьрь|Nb|dvьrь|||||||fem_i|2||||||||orv
ѫгълъ|угълъ|Nb|ǫgъlъ|||||||masc_o|2|||corner, cornerstone|||||orv
причѧстьнъ|причастьныи|A-|pričęstьnъ|||||||adj_hard|2||||||||orv
петръ|петръ|Ne|petrъ|||||||masc_o_u|2|2|||||Πέτρος||orv
павьлъ|павьлъ|Ne|pavьlъ|||||||masc_o_u|2|23|||||Παῦλος < Latin Paulus||orv
покланꙗти|покланяти|V-|poklańǢti|poklanjǢti||||||54|1||||||||orv
имѧ|имя|Nb|jьmę|||||||nt_N|2||||||||orv
