chu_lemma|orv_lemma|pos|count|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|bitflag
да||G-|1175|da||||||||0||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
исоусъ||Ne|1094|jisusъ|||||||masc_o_u|2||||||||0||euch|kiev-mis|marianus||supr_y_fixed||vit-meth_4_removed|zogr_complete|430
видѣти||V-|1093|viděti|||||||viděti|1||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
нъ||C-|1089|nъ||||||||0||||||||0|chrabr||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|509
прити||V-|1045|prijьti|||||||jьti|1||||||||0|chrabr|euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|507
по||R-|1024|po||||||||0|||||||1|0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
сътворити||V-|960|sъtvoriti|||||||40|1||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
аще||G-|946|aћe|atje|||||||0||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
имѣти||V-|928|jьměti|||||||have|1||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
свѧтъ||A-|904|svętъ|||||||adj_hard|2||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
мꙑ||Pp|879|azъ|||||||azъ|2||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
онъ||Pd|821|onъ|||||||pron_hard|2||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
ити||V-|793|jьti|||||||jьti|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
оубо||Df|784|ubo||||||||0||||||||0|chrabr||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|381
мъногъ||A-|769|mъnogъ|||||||adj_hard|2|||great, large; many|This behaves mostly as an adjective but occasionally takes the pronominal endings; see Diels 1963 p.212||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
чловѣкъ||Nb|723|čьlověkъ||||čelověkъ|||masc_o|2||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
дьнь||Nb|723|dьnь|||||||den|2||||||||0|||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|508
отьць||Nb|715|otьkь||otьkъ|otьcь||||masc_o_PV3|2||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
а||C-|672|a||||||||0||||||||0|chrabr||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|509
дати||V-|670|dati|||||||dati|1||||||||0|chrabr||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|509
чьто||Pi|665|čьto|||||||čьto|2||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
ѥдинъ||Ma|654|jedinъ||||jedьnъ|||pron_hard|2||||||||0|chrabr|euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|507
сꙑнъ#1||Nb|650|synъ|||||||masc_u|2||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
слово||Nb|634|slovo|||||||nt_S|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
ли||Du|617|li||||||||0||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
творити||V-|595|tvoriti|||||||40|1||||||||0|||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|508
божии||A-|574|božьjь|||||||adj_ij|2||||||||0|chrabr|euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|507
хотѣти||V-|568|xotěti||||xъtěti|||will|1||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
землꙗ||Nb|563|zemĺǢ|zemjǢ||||||fem_ja|2||||||||0|chrabr|euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|507
ни||C-|557|ni||||||||0||||||||0|chrabr|euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|507
слꙑшати||V-|540|slyšǢti|||||||31|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
нашь||Ps|535|našь|||||||pron_soft|2||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
да||Df|535|da||||||||0||||||||0|||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|508
ѥгда||Dq|522|jegъda||||||||0||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
отъвѣщати||V-|500|otъvěћǢti|otъvětjǢti||||||54|1||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
приѩти||V-|495|prijęti|||||priję|prijьm|12|1||||||||0|chrabr||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|509
оученикъ||Nb|483|učenikъ|||||||masc_o|2||||||||0||euch|kiev-mis|marianus||supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|494
имѧ||Nb|473|jьmę|||||||nt_N|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
вѣдѣти||V-|451|věděti|||||||wote|1||||||||0|chrabr|euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|507
рѫка||Nb|444|rǫka|||||||fem_a|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
христ(ос)ъ||Ne|441|xristosъ|||||||masc_o|2|2|||||Χριστὸς||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
мощи||V-|422|moћi|mogti||||mog|mog|11|1||||||||0|chrabr|euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|507
ради||R-|418|radi||||||||0||||||||0|||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|508
ꙗко#2||Df|416|ako||||||||0||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
цѣсарь||Nb|413|kěsaŕь|kěsarjь||cěsaŕь||||masc_ar|2|13|||||Goth. kaisar < Latin caesar||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
вѣкъ||Nb|410|věkъ|||||||masc_o|2||||||||0|chrabr|euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|507
вашь||Ps|405|vašь|||||||pron_soft|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
се||I-|395|se||||||||0|||lo, behold, вот|||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
градъ||Nb|391|gordъ|||||||masc_o|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
доуша||Nb|386|dušǢ|||||||fem_ja|2||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
небо||Nb|377|nebo|||||||nt_S|2||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
ꙗко#1||Df|376|ako||||||||0||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
тако||Df|372|tako||||||||0||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
доухъ||Nb|367|duxъ|||||||masc_o|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
ꙗкоже||Dq|363|akože||||||||0|||as, so, in the way that|||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
како||Du|358|kako||||||||0|||how (adv.)|||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
тъгда||Df|353|tъgъda||||||||0||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
вънити||V-|352|vъnjьti|||||||jьti|1||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
молити||V-|351|modliti|||||||40|1||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|382
прѣдъ||R-|349|perdъ||||||||0|||||||1|0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed||vit-meth_4_removed|zogr_complete|446
рабъ||Nb|348|orbъ|||||||masc_o|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
посълати||V-|344|posъlati|||||||52|1||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
народъ||Nb|344|narodъ|||||||masc_o|2|||crowd of people|||||0|||kiev-mis|marianus||supr_y_fixed||vit-meth_4_removed|zogr_complete|428
инъ||Px|343|jьnъ|||||||pron_hard|2||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
домъ||Nb|335|domъ|||||||masc_u|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|378
пакꙑ||Df|330|paky||||||||0|||again, once more; also, as well as; then, after|||||0|||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|508
срьдьце||Nb|326|sŕ̥dьke||sŕ̥dьko|sŕ̥dьce||||nt_o_PV3|2||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
изити||V-|321|jьzjьti|||||||jьti|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
мѣсто||Nb|319|město|||||||nt_o|2||||||||0|chrabr|euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|507
слава||Nb|319|slava|||||||fem_a|2||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
не бꙑти||V-|318|nebyti|||||||nebyti|1||||||||0|chrabr|euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|507
повелѣти||V-|317|povelěti|||||||31|1||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
самъ||Pd|317|samъ|||||||pron_hard|2||||||||0|||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|508
тоу||Df|315|tu||||||||0||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
възѧти||V-|305|vъzęti|||||vъzьm|vъzьm|12|1||||||||0|||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|508
обрѣсти||V-|304|obrěsti|||||obrět|obrět|rěsti|1|||find|||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
сила||Nb|297|sila|||||||fem_a|2||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
до||R-|295|do||||||||0|||||||1|0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
къто||Pi|292|kъto|||||||kъto|2||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
вѣра||Nb|289|věra|||||||fem_a|2||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
въстати||V-|289|vъstati|||||vъsta|vъstan|stati|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
ѩзꙑкъ||Nb|288|językъ|||||||masc_o|2||||||||0|chrabr|euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|507
дъва||Ma|285|dъva|||||||pron_hard|2||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
абиѥ||Df|284|abьje||||||||0|||immediately|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
нꙑнѣ||Df|283|nyně||||nyńǢ||||0||||See essja p.59-60; apparently cognate with Lith.  nunai, and the final -ně with Gk. nai. The frequent occurence of the palatalisation diacritic and <ꙗ> in Cyr. mss. is a big problem.||||0|chrabr|euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|507
жена||Nb|281|žena|||||||fem_a|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
добръ||A-|277|dobrъ|||||||adj_hard|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
людиѥ||Nb|276|ĺudь|ljudь||||||masc_i|2||||||||0|||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|508
мѫжь||Nb|274|mǫžь|||||||masc_ju|2||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
из||R-|273|jьz|||||||voice_assim_prep|0|||||||1|0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
великъ||A-|271|velikъ|||||||adj_hard|2||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
пѫть||Nb|267|pǫtь|||||||masc_i|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
зълъ||A-|260|zъlъ|||||||adj_hard|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
господьнь||A-|259|gospodьńь|gospodьnjь||||||adj_soft|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
дѣло||Nb|257|dělo|||||||nt_o_S|2||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
оставити||V-|251|ostaviti|||||||40|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
вьсꙗкъ||A-|250|vьxakъ|||vьśakъ||||pron_hard|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
чловѣчьскъ||A-|248|čьlověčьskъ||||čelověčьskъ|||adj_hard|2||||||||0|||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|508
молитва||Nb|247|modlitva|||||||fem_a|2||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
за||R-|247|za||||||||0|||||||1|0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
око||Nb|245|oko|||||||oko|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|314
гласъ||Nb|242|golsъ|||||||masc_o|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
тѣло||Nb|242|tělo|||||||nt_S|2||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|382
блаженъ||A-|241|bolženъ|||||||adj_hard|2||||||||0|||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|508
прѣдати||V-|240|perdati|||||||dati|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
ꙗсти||V-|240|jǢsti|||||||eat|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
десѧть||Ma|240|desętь|||||||ten|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
разоумѣти||V-|240|orzuměti|||||||32|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
вѣровати||V-|239|věrovati|||||||61|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
без||R-|236|bez|||||||voice_assim_prep|0|||||||1|0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
никътоже||Px|236|nikъtože|||||||kъtože|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
ѩти||V-|235|jęti|||||ję|jьm|12|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
ли||C-|234|li||||||||0||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
црькꙑ||Nb|233|kŕ̥ky|||cŕ̥ky||||fem_uu|2|12|||||From some kind of Gmc. language (if a type of Old High German, before the Second Sound Shift) *kirkô, *kirikô, from Gk. κυρικόν < κυριακόν (see the entry for церковь in Vasmer's dictionary)||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
начѧти||V-|232|načęti|||||načę|načьn|12|1||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
паче||Df|231|pače||||||||0|||more than, greater than|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
пророкъ||Nb|229|prorokъ|||||||masc_o|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
съмрьть||Nb|229|sъmŕ̥tь|||||||fem_i|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
лице||Nb|226|like||liko|lice||||nt_o_PV3|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
дроугъ||A-|224|drugъ|||||||adj_hard|2||||||||0|chrabr|||marianus||supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|489
цѣсарьствиѥ||Nb|224|kěsaŕьstvьje|kěsarjьstvьje||cěsaŕьstvьje||||nt_jo|2|13|||||Goth. kaisar < Latin caesar||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
грѧсти||V-|219|gręsti|||||gręd|gręd|11|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
иоанъ||Ne|219|ijoanъ|||||||masc_o|2|25|W||||Ἰωάννης||0||||marianus||supr_y_fixed||vit-meth_4_removed|zogr_complete|424
