2545,<wb>мѫжъ
5606,<wb>створілъ
78,<wb>ѣ
430,<wb>ес
77,<wb>а
7345 3514,<wb>гръчь|скаа
5329 5600,<wb>ел|ліні
3016 60,<wb>пога|ні
201,<wb>аште
178,<wb>лі
523,<wb>кто
141 133,<wb>рече|ть
99,<wb>ѣко
1467,<wb>нѣс
3474 137,<wb>оустроі|лъ
932,<wb>добрѣ
1225,<wb>понеже
70,<wb>сѧ
1910 33 30 133,<wb>постра|ѣ|ѫ|ть
39,<wb>і
836,<wb>еште
221 1945,<wb>от|вѣтъ
141 106,<wb>рече|мь
4404,<wb>сімь
39,<wb>і
1611 3028,<wb>гръ|чьскъі
964,<wb>такожде
1022 1672,<wb>многа|жді
7385,<wb>сѫть
1910 33 74,<wb>постра|ѣ|лі
77 1423 36 66,<wb>а|кі|л|ла
39,<wb>і
5021 143 675,<wb>сім|ма|хь
39,<wb>і
3900,<wb>потомъ
1944,<wb>іні
899,<wb>мнозі
4131,<wb>оудобѣе
112,<wb>бо
715,<wb>есть
4612,<wb>послѣжде
67 840 52,<wb>по|творі|ті
1487,<wb>неже
4719,<wb>пръвое
1711 52,<wb>створі|ті
201,<wb>аште
112,<wb>бо
1136 116,<wb>въпросі|ші
1275 1055 6361,<wb>кні|гь|чіѧ
7345 1185,<wb>гръчь|скъіѧ
441,<wb>глѧ
523,<wb>кто
237,<wb>въі
715,<wb>есть
4602,<wb>пісмена
5606,<wb>створілъ
518,<wb>ілі
2105,<wb>кнігъі
3414 137,<wb>прѣложі|лъ
518,<wb>ілі
81,<wb>вь
1269,<wb>кое
783,<wb>врѣмѧ
176,<wb>то
306 34 3524,<wb>рѣ|д|ціі
221,<wb>от
4406,<wb>ніхь
140 275 133,<wb>вѣ|дѧ|ть
201,<wb>аште
178,<wb>лі
1136 116,<wb>въпросі|ші
3097 10 1185,<wb>словѣ|н|скъіѧ
710 134 265,<wb>боу|ка|рѧ
441,<wb>глѧ
523,<wb>кто
237,<wb>въі
4602,<wb>пісмена
5606,<wb>створілъ
715,<wb>есть
518,<wb>ілі
2105,<wb>кнігъі
3414 137,<wb>прѣложі|лъ
176,<wb>то
481,<wb>вьсі
140 275 133,<wb>вѣ|дѧ|ть
39,<wb>і
1353 2515,<wb>отвѣшта|вше
1189 133,<wb>рекѫ|ть
862,<wb>стъіі
4396 98,<wb>костанті|нъ
1170 6,<wb>філософ|ъ
1105 1912,<wb>наріцае|мъіі
3230 101 137,<wb>кі|ръ|лъ
157,<wb>тъ
4103,<wb>намь
4602,<wb>пісмена
1711,<wb>створі
39,<wb>і
2105,<wb>кнігъі
3414,<wb>прѣложі
39,<wb>і
7332 5020,<wb>меѳо|діе
2044,<wb>братъ
135,<wb>его
39,<wb>і
201,<wb>аште
1136 116,<wb>въпросі|ші
56,<wb>въ
1269,<wb>кое
783,<wb>врѣмѧ
176,<wb>то
140 275 133,<wb>вѣ|дѧ|ть
39,<wb>і
1189 133,<wb>рекѫ|ть
99,<wb>ѣко
56,<wb>въ
5964,<wb>врѣмена
6778 66,<wb>міхаі|ла
2470,<wb>црѣ
7345 3094,<wb>гръчь|скаго
39,<wb>і
112 95 170,<wb>бо|рі|са
7553,<wb>кнѧза
49 137 212 21 3094,<wb>б|лъ|га|р|скаго
39,<wb>і
5633 218,<wb>расті|ца
7553,<wb>кнѧза
108 21 384,<wb>мо|р|ска
39,<wb>і
184 292 104,<wb>ко|це|лѣ
7553,<wb>кнѧза
239 54 10 384,<wb>бла|те|н|ска
56,<wb>въ
1791,<wb>лѣта
71,<wb>же
221,<wb>от
75 4422 2905,<wb>съ|зда|ніа
4045,<wb>въсего
975,<wb>міра
38 22 5,<wb>|҂|s
64,<wb>т
5288,<wb>ѯ
65,<wb>г
7385,<wb>сѫть
71,<wb>же
39,<wb>і
1944,<wb>іні
221 87 52,<wb>от|вѣ|ті
858,<wb>ѧже
39,<wb>і
39 10 79,<wb>і|н|де
5604,<wb>речемъ
77,<wb>а
122 118,<wb>ні|нѣ
595,<wb>нѣстъ
783,<wb>врѣмѧ
6775,<wb>такъ
2550,<wb>разоумъ
6619,<wb>братіе
443,<wb>бъ
715,<wb>есть
1598,<wb>далъ
3097 687,<wb>словѣ|номъ
991,<wb>емоуже
974,<wb>слава
39,<wb>і
1388,<wb>чьсть
39,<wb>і
3173,<wb>дръжава
39,<wb>і
3012 200,<wb>покланѣ|ніе
122 118,<wb>ні|нѣ
39,<wb>і
1199,<wb>прісно
39,<wb>і
56,<wb>въ
277 838 126 8 471,<wb>бе|ско|не|ч|нъіѧ
1161,<wb>вѣкъі
681,<wb>амін
7331,<wb>мол
317,<wb>егда
2946,<wb>хотѧште
3293,<wb>віноградъ
301 943,<wb>са|діті
288,<wb>тъі
313,<wb>есі
2055,<wb>хе
3293,<wb>віноградъ
6289,<wb>істінънъіі
39,<wb>і
749,<wb>оць
462,<wb>твоі
4395,<wb>дѣлатель
715,<wb>есть
288,<wb>тъі
599,<wb>своѧ
5594 209,<wb>ап|лъі
874 320 11,<wb>ло|зі|е
2642 7974,<wb>наре|клъ
313,<wb>есі
288,<wb>тъі
6008,<wb>ілѣ
84,<wb>отъ
2963 7 37 94,<wb>ег|ю|п|та
127 6004,<wb>прѣ|несе
39,<wb>і
1658,<wb>ізгъна
2887,<wb>ѧзъікъі
39,<wb>і
4690,<wb>насаді
225,<wb>ѧ
964,<wb>такожде
39,<wb>і
457,<wb>нъінѣ
5285,<wb>прізьрі
68,<wb>на
3293,<wb>віноградъ
75,<wb>съ
39,<wb>і
4690,<wb>насаді
39,<wb>і
39,<wb>і
3741 174 60,<wb>оуко|ре|ні
39,<wb>і
39,<wb>і
73 28 293 197,<wb>оу|г|лѫ|бі
3936 214,<wb>мл|сть
1071,<wb>твоѭ
68,<wb>на
484,<wb>нь
5916 89,<wb>огра|ді
39,<wb>і
2962 117 58 106,<wb>ост|ро|го|мь
2349 267,<wb>въхо|дъі
39,<wb>і
1248 267,<wb>ісхо|дъі
135,<wb>его
1101,<wb>ізбаві
84,<wb>отъ
3618 212,<wb>снѣ|га
39,<wb>і
84,<wb>отъ
4622 230,<wb>мра|за
39,<wb>і
84,<wb>отъ
926,<wb>града
7580,<wb>носіма
710 174 3,<wb>боу|ре|ѭ
41 2,<wb>в|ш
99,<wb>ѣко
1151 219,<wb>мілості|въі
109 2476 287 363,<wb>ч|клю|бе|ць
443,<wb>бъ
313,<wb>есі
39,<wb>і
356,<wb>тебѣ
7331,<wb>мол
68,<wb>на
615 6773 123,<wb>гро|здъ|мі
2567,<wb>віна
68,<wb>на
268 200,<wb>іма|ніе
772,<wb>бже
1647,<wb>спе
1480,<wb>нашъ
1816 132 16,<wb>ізво|ле|і
5019,<wb>нарешті
70,<wb>сѧ
1692 868,<wb>віногра|домъ
814 380 5018,<wb>едіно|чѧ|дааго
732,<wb>сна
697,<wb>твоего
39,<wb>і
422,<wb>ба
480,<wb>га
1051,<wb>нашего
107,<wb>іс
1236,<wb>ха
39,<wb>і
1243,<wb>плодъ
5283 1056 4223,<wb>бесъ|мръ|тенъ
7329 906,<wb>даро|вавъ
489,<wb>намъ
2008,<wb>імь
288,<wb>тъі
656 151,<wb>пло|до
190,<wb>сь
167 98 139,<wb>ві|нъ|нъі
2265 111,<wb>блг|ві
7331 2153 123,<wb>мол|тва|мі
3733,<wb>стъіѧ
49 21 532,<wb>б|р|цѧ
39,<wb>і
2069,<wb>всѣхъ
5381,<wb>стъіхъ
865,<wb>твоіхъ
771 885 1522,<wb>оуго|ждь|шііхъ
356,<wb>тебѣ
84,<wb>отъ
1500,<wb>вѣка
41 2,<wb>в|ш
5282,<wb>благодѣтіѭ
39,<wb>і
5174 8002,<wb>штедро|тамі
814 380 5018,<wb>едіно|чѧ|дааго
732,<wb>сна
7331,<wb>мол
904 133 7,<wb>начѧ|ть|ю
167 274,<wb>ві|ноу
1570 233 228,<wb>къі|сѣ|лоу
300,<wb>гі
107,<wb>іс
2055,<wb>хе
772,<wb>бже
1480,<wb>нашъ
127 1697 16,<wb>прѣ|ложе|і
1905,<wb>водѫ
56,<wb>въ
1017,<wb>віно
56,<wb>въ
4592 212 74 2389 4412,<wb>кана|га|лі|лѣі|скъіхъ
355 1131,<wb>бра|цѣхъ
39,<wb>і
1253,<wb>славѫ
651,<wb>своѭ
77 2012,<wb>а|вль
936,<wb>оученікомъ
725,<wb>своімъ
288,<wb>тъі
39,<wb>і
457,<wb>нъінѣ
3896,<wb>посѣті
84,<wb>отъ
881,<wb>стааго
6355,<wb>жілішта
524,<wb>своего
39,<wb>і
5619 111,<wb>бг|ві
1017,<wb>віно
121,<wb>се
39,<wb>і
261,<wb>сътворі
50,<wb>е
240,<wb>во
3083,<wb>всѣко
371,<wb>благо
120 372 5968,<wb>ра|ство|реніе
303 1455,<wb>пі|ѭштіімъ
105,<wb>да
417,<wb>без
3083 24,<wb>всѣко|ѧ
3436 139,<wb>непріѣзні|нъі
7972,<wb>дѣтѣлі
303 393,<wb>пі|ѭште
50,<wb>е
4393 55,<wb>славі|мъ
374,<wb>тѧ
105 1955,<wb>да|телѣ
988 88,<wb>все|моу
365 191,<wb>доб|роу
1473 82 3019,<wb>пріно|ше|нью
633,<wb>оца
39,<wb>і
732,<wb>сна
39,<wb>і
40,<wb>с
7331,<wb>мол
6385 146 200,<wb>благ|ве|ніе
