сапогоу,Nb,сапогоу
словесі,Nb,словеси
еже,Pr,еже
рече,V-,рече
іс,Ne,и҃с
егда,Dq,егда
бѣ,V-,бѣ
въ,R-,въ
іілмѣхъ,Nb,і҃ꙇлмѣхъ
въ,R-,въ
пасха,Nb,пасха
въ,R-,въ
праздьнікъ,Nb,праздьникъ
мънозі,A-,мънози
вѣровашѧ,V-,вѣровашѧ
въ,R-,въ
імѧ,Nb,імѧ
его,Pp,его
відѧште,V-,видѧште
знаменьѣ,Nb,знаменьѣ
его,Pp,его
ѣже,Pr,ѣже
творѣаше,V-,творѣаше
самъ,Pd,самъ
же,Df,же
іс,Ne,и҃с
не,Df,не
въдааше,V-,въдааше
себе,Pk,себе
въ,R-,въ
вѣрѫ,Nb,вѣрѫ
іхъ,Pp,ꙇхъ
імьже,Pr,ꙇмьже
самъ,Pd,самъ
вѣдѣаше,V-,вѣдѣаше
вьсе,Px,вьсе
і,C-,ꙇ
ѣко,G-,ѣко
не,Df,не
трѣбоваше,V-,трѣбоваше
да,G-,да
къто,Px,къто
съвѣдѣтельствоуетъ,V-,съвѣдѣтел҄ьствоуетъ
о,R-,о
чцѣ,Nb,ч҃цѣ
самъ,Pd,самъ
бо,Df,бо
вѣдѣаше,V-,вѣдѣаше
чьто,Pi,чьто
бѣ,V-,бѣ
въ,R-,въ
чцѣ,Nb,ч҃цѣ
бѣ,V-,Бѣ
чкъ,Nb,ч҃къ
отъ,R-,отъ
фарісѣі,Nb,фарисѣі
нікодімъ,Ne,никодимъ
імѧ,Nb,ꙇмѧ
емоу,Pp,емоу
кънѧзь,Nb,кънѧзь
іюдеіскъ,A-,ꙇюдеꙇскъ
сь,Pd,сь
пріде,V-,приде
къ,R-,къ
немоу,Pp,н҄емоу
ноштіѭ,Nb,ноштиѭ
і,C-,ꙇ
рече,V-,рече
емоу,Pp,емоу
равві,Nb,равⸯви
вѣмь,V-,вѣмь
ѣко,G-,ѣко
отъ,R-,отъ
ба,Nb,б҃а
прішьлъ,V-,пришьлъ
есі,V-,еси
оучітель,Nb,оучител҄ь
нікътоже,Px,никътоже
бо,Df,бо
не,Df,не
можетъ,V-,можетъ
знамені,Nb,знамени
сіхъ,Pd,сихъ
творіті,V-,творити
ѣже,Pr,ѣже
тъі,Pp,тꙑ
сътворіші,V-,сътвориши
аште,G-,аште
не,Df,не
бѫдетъ,V-,бѫдетъ
бъ,Nb,б҃ъ
съ,R-,съ
німь,Pp,н҄имь
отъвѣшта,V-,отъвѣшта
іс,Ne,и҃с
і,C-,ꙇ
рече,V-,рече
емоу,Pp,емоу
амін,I-,амин
амін,I-,амин
глѭ,V-,г҃лѭ
тебѣ,Pp,тебѣ
аште,G-,аште
къто,Px,къто
не,Df,не
родітъ,V-,родитъ
сѧ,Pk,сѧ
съвъіше,Df,съвꙑше
не,Df,не
можетъ,V-,можетъ
відѣті,V-,видѣти
црсіѣ,Nb,ц҃рсиѣ
бжіѣ,A-,б҃жиѣ
гла,V-,г҃ла
къ,R-,къ
немоу,Pp,н҄емоу
нікодімъ,Ne,никодимъ
како,Du,како
можетъ,V-,можетъ
чкъ,Nb,ч҃къ
родіті,V-,родити
сѧ,Pk,сѧ
старъ,A-,старъ
съі,V-,сꙑ
еда,Du,еда
можетъ,V-,можетъ
въторіцеѭ,Df,въторицеѭ
въ,R-,въ
ѫтробѫ,Nb,ѫтробѫ
вьлѣсті,V-,вьлѣсти
матере,Nb,матере
своеѧ,Pt,своеѩ
і,C-,ꙇ
родіті,V-,родити
сѧ,Pk,сѧ
отъвѣшта,V-,отъвѣшта
іс,Ne,и҃с
амін,I-,амин
амін,I-,амин
глѭ,V-,г҃лѭ
тебѣ,Pp,тебѣ
аште,G-,аште
къто,Px,къто
не,Df,не
родітъ,V-,родитъ
сѧ,Pk,сѧ
водоѭ,Nb,водоѭ
і,C-,ꙇ
дхомь,Nb,д҃хомь
не,Df,не
можетъ,V-,можетъ
вьніті,V-,вьнити
вь,R-,вь
црсіе,Nb,ц҃рсие
бжіе,A-,б҃жие
рожденъ,V-,рожденъ
отъ,R-,отъ
плъті,Nb,плъти
плъть,Nb,плъть
естъ,V-,естъ
і,C-,ꙇ
рождено,V-,рождено
отъ,R-,отъ
дха,Nb,д҃ха
дхъ,Nb,д҃хъ
естъ,V-,естъ
не,Df,не
чоуді,V-,чюди
сѧ,Pk,сѧ
ѣко,G-,ѣко
рѣхъ,V-,рѣхъ
ті,Pp,ти
подобаетъ,V-,подобаетъ
вамъ,Pp,вамъ
родіті,V-,родити
сѧ,Pk,сѧ
съвъіше,Df,съвꙑше
дхъ,Nb,д҃хъ
ідеже,Dq,ꙇдеже
хоштетъ,V-,хоштетъ
доушетъ,V-,доушетъ
і,C-,ꙇ
гласъ,Nb,гласъ
его,Pp,его
слъішіші,V-,слꙑшиши
нъ,C-,нъ
не,Df,не
вѣсі,V-,вѣси
отъкѫдоу,Du,отъкѫдоу
пріходітъ,V-,приходитъ
і,C-,ꙇ
камо,Du,камо
ідетъ,V-,ꙇдетъ
тако,Df,тако
естъ,V-,естъ
рожденъі,V-,рожденꙑ
отъ,R-,отъ
дха,Nb,д҃ха
отъвѣшта,V-,отъвѣшта
нікодімъ,Ne,никодимъ
і,C-,ꙇ
рече,V-,рече
емоу,Pp,емоу
како,Du,како
могѫтъ,V-,могѫтъ
сі,Pd,си
бъіті,V-,бꙑти
отъвѣшта,V-,отъвѣшта
іс,Ne,и҃с
і,C-,ꙇ
рече,V-,рече
емоу,Pp,емоу
тъі,Pp,тꙑ
есі,V-,еси
оучітель,Nb,оучител҄ь
ілевъ,A-,ꙇ҃левъ
і,C-,ꙇ
сіхъ,Pd,сихъ
лі,Du,ли
не,Df,не
вѣсі,V-,вѣси
амін,I-,амин
амін,I-,амин
глѭ,V-,г҃лѭ
тебѣ,Pp,тебѣ
ѣко,G-,ѣко
еже,Pr,еже
вѣмь,V-,вѣмь
глемъ,V-,г҃лемъ
і,C-,ꙇ
еже,Pr,еже
дастъ,V-,дастъ
въ,R-,въ
рѫцѣ,Nb,рѫцѣ
его,Pp,его
вѣроуѧі,V-,вѣроуѩі
въ,R-,въ
сна,Nb,с҃на
іматъ,V-,ꙇматъ
жівотъ,Nb,животъ
вѣчьнъі,A-,вѣчьнꙑ
а,C-,а
іже,Pr,ꙇже
не,Df,не
вѣроуетъ,V-,вѣроуетъ
въ,R-,въ
сна,Nb,с҃на
не,Df,не
оузьрітъ,V-,оузьритъ
жівота,Nb,живота
нъ,C-,нъ
гнѣвъ,Nb,гнѣвъ
бжі,A-,б҃жі
прѣбъіваетъ,V-,прѣбꙑваетъ
на,R-,на
немь,Pp,н҄емь
егда,Dq,егда
же,Df,же
оуслъіша,V-,оуслꙑша
гь,Nb,г҃ь
ко,R-,ко
оуслъішашѧ,V-,оуслꙑшашѧ
фарісеі,Nb,фарисеі
ѣко,G-,ѣко
іс,Ne,и҃с
множаішѧ,A-,множаꙇшѧ
оученікъі,Nb,оученикꙑ
творітъ,V-,творитъ
і,C-,ꙇ
крьштаетъ,V-,крьштаетъ
неже,Df,неже
іоанъ,Ne,ꙇоанъ
іс,Ne,ꙇ҃с
самъ,Pd,самъ
не,Df,не
крьштааше,V-,крьштааше
нъ,C-,нъ
оученіці,Nb,оученици
его,Pp,его
оставі,V-,остави
іюдеѫ,Ne,ꙇюдеѫ
і,C-,ꙇ
іде,V-,иде
пакъі,Df,пакꙑ
въ,R-,въ
галілеѭ,Ne,галилеѭ
достоѣше,V-,достоѣше
емоу,Pp,емоу
проіті,V-,проꙇти
сквозѣ,R-,сквозѣ
самаріѭ,Ne,самариѭ
пріде,V-,Приде
же,Df,же
въ,R-,въ
градъ,Nb,градъ
самарьскъ,A-,самарьскъ
наріцаемъі,V-,нарицаемъі
соухарь,Ne,соухарь
іскрь,R-,ꙇскрь
вьсі,Px,вьси
ѭже,Pr,ѭже
дастъ,V-,дастъ
іѣковъ,Ne,ꙇѣковъ
іосіфоу,Ne,ꙇосифоу
сноу,Nb,с҃ноу
своемоу,Pt,своемоу
бѣ,V-,бѣ
же,Df,же
тоу,Df,тоу
кладѧзь,Nb,кладѧзь
іѣковль,A-,ꙇѣковл҄ь
іс,Ne,ꙇ҃с
же,Df,же
троуждь,V-,троуждь
сѧ,Pk,сѧ
отъ,R-,отъ
пѫті,Nb,пѫти
сѣдѣаше,V-,сѣдѣаше
тако,Df,тако
на,R-,на
кладѧзі,Nb,кладѧзи
часъ,Nb,часъ
бѣ,V-,бѣ
ѣко,G-,ѣко
шестъі,Mo,шестꙑ
пріде,V-,приде
жена,Nb,жена
отъ,R-,отъ
самаріѧ,Ne,самариѩ
почрѣтъ,V-,почрѣтъ
водъі,Nb,водꙑ
гла,V-,г҃ла
еі,Pp,еи
іс,Ne,ꙇ҃с
даждь,V-,даждь
мі,Pp,ми
піті,V-,пити
оученіці,Nb,оученици
бо,Df,бо
его,Pp,его
ошьлі,V-,ошьли
бѣахѫ,V-,бѣахѫ
въ,R-,въ
градъ,Nb,градъ
да,G-,да
брашьна,Nb,брашьна
коупѧтъ,V-,коупѧтъ
гла,V-,г҃ла
же,Df,же
емоу,Pp,емоу
жена,Nb,жена
самарѣнъіні,Nb,самарѣнꙑн҄и
како,Du,како
тъі,Pp,тꙑ
іюдеі,Nb,ꙇюдеи
съі,V-,сꙑ
отъ,R-,отъ
мене,Pp,мене
піті,V-,пити
просіші,V-,просиши
женъі,Nb,женꙑ
самарѣнъінѧ,Nb,самарѣнꙑн҄ѧ
сѫштѧ,V-,сѫштѧ
не,Df,не
прікасаѭтъ,V-,прикасаѭтъ
бо,Df,бо
сѧ,Pk,сѧ
іюдеі,Nb,ꙇюдеи
самарѣнехъ,Nb,самарѣнехъ
отъвѣшта,V-,отъвѣшта
іс,Ne,и҃с
і,C-,ꙇ
рече,V-,рече
еі,Pp,еі
аште,G-,аште
бі,V-,би
вѣдѣла,V-,вѣдѣла
даръ,Nb,даръ
бжі,A-,б҃жі
і,C-,ꙇ
къто,Pi,къто
естъ,V-,естъ
глѧі,V-,г҃лѧꙇ
ті,Pp,ти
даждь,V-,даждь
мі,Pp,ми
піті,V-,пити
тъі,Pp,тꙑ
і,C-,и
просіла,V-,просила
оу,R-,оу
него,Pp,него
і,C-,ꙇ
далъ,V-,далъ
ті,Pp,ти
бі,V-,би
водѫ,Nb,водѫ
жівѫ,V-,живѫ
гла,V-,г҃ла
емоу,Pp,емоу
жена,Nb,жена
гі,Nb,г҃и
ні,C-,ни
почръпальніка,Nb,почръпальника
імаші,V-,ꙇмаши
і,C-,ꙇ
кладѧзь,Nb,кладѧѕь
естъ,V-,естъ
глѫбокъ,A-,глѫбокъ
отъкѫдоу,Du,отъкѫдоу
оубо,Df,оубо
есі,V-,еси
оца,Nb,о҃ца
нашего,Ps,нашего
іѣкова,Ne,ꙇѣкова
іже,Pr,ꙇже
дастъ,V-,дастъ
намъ,Pp,намъ
кладѧзь,Nb,кладѧзь
і,C-,ꙇ
тъ,Pd,тъ
іж,R-,ꙇж
него,Pp,него
пітъ,V-,питъ
і,C-,ꙇ
снове,Nb,с҃нове
его,Pp,его
і,C-,ꙇ
скоті,Nb,скоти
его,Pp,его
отъвѣшта,V-,отъвѣшта
іс,Ne,и҃с
і,C-,ꙇ
рече,V-,рече
еі,Pp,еи
вьсѣкъ,A-,вьсѣкъ
піѧі,V-,пиѩи
отъ,R-,отъ
водъі,Nb,водꙑ
сеѧ,Pd,сеѩ
вьждѧждетъ,V-,вьждѩждетъ
сѧ,Pk,сѧ
пакъі,Df,пакꙑ
а,C-,а
іже,Pr,ꙇже
піетъ,V-,пиетъ
отъ,R-,отъ
водъі,Nb,водꙑ
ѭже,Pr,ѭже
азъ,Pp,азъ
дамь,V-,дамь
емоу,Pp,емоу
не,Df,не
іматъ,V-,ꙇматъ
въждѧдаті,V-,въждѧдати
сѧ,Pk,сѧ
въ,R-,въ
вѣкъ,Nb,вѣкъ
нъ,C-,нъ
вода,Nb,вода
ѭже,Pr,ѭже
азъ,Pp,азъ
дамь,V-,дамь
емоу,Pp,емоу
бѫдетъ,V-,бѫдетъ
вь,R-,вь
немь,Pp,н҄емь
істочьнікъ,Nb,ꙇсточьникъ
водъі,Nb,водꙑ
вьслѣплѫштѫѭ,V-,вьслѣплѫштѫѭ
въ,R-,въ
жівотъ,Nb,животъ
вѣчьнъі,A-,вѣчьнꙑ
гла,V-,г҃ла
къ,R-,къ
немоу,Pp,н҄емоу
жена,Nb,жена
гі,Nb,г҃и
даждь,V-,даждь
мі,Pp,ми
сіѭ,Pd,сиѭ
водѫ,Nb,водѫ
да,G-,да
ні,C-,ни
жѧждѫ,Nb,жѧждѫ
ні,C-,ни
пріхождѫ,V-,прихождѫ
сѣмо,Df,сѣмо
почръпатъ,V-,почръпатъ
гла,V-,г҃ла
еі,Pp,еи
іс,Ne,ꙇ҃с
іді,V-,ꙇди
прігласі,V-,пригласи
мѫжа,Nb,мѫжа
своего,Pt,своего
і,C-,ꙇ
пріді,V-,приди
сѣмо,Df,сѣмо
отъвѣшта,V-,отъвѣшта
жена,Nb,жена
і,C-,ꙇ
рече,V-,рече
емоу,Pp,емоу
не,Df,не
імамь,V-,ꙇмамь
мѫжа,Nb,мѫжа
гла,V-,г҃ла
еі,Pp,еи
іс,Ne,ꙇ҃с
добрѣ,Df,добрѣ
рече,V-,рече
ѣко,G-,ѣко
мѫжа,Nb,мѫжа
не,Df,не
імамь,V-,ꙇмамь
пѧть,Ma,пѧть
бо,Df,бо
мѫжь,Nb,мѫжь
імѣла,V-,ꙇмѣла
есі,V-,еси
і,C-,ꙇ
нъінѣ,Df,нꙑн҄ѣ
егоже,Pr,егоже
імаші,V-,ꙇмаши
нѣстъ,V-,нѣстъ
ті,Pp,ти
мѫжь,Nb,мѫжь
се,Pd,се
въ,R-,въ
істінѫ,Nb,ꙇстинѫ
рече,V-,рече
гла,V-,г҃ла
емоу,Pp,емоу
жена,Nb,жена
гі,Nb,г҃и
віждѫ,V-,виждѫ
ѣко,G-,ѣко
пророкъ,Nb,пророкъ
есі,V-,еси
тъі,Pp,тꙑ
оці,Nb,о҃ци
наші,Ps,наши
въ,R-,въ
горѣ,Nb,горѣ
сеі,Pd,сеі
поклонішѧ,V-,поклонишѧ
сѧ,Pk,сѧ
і,C-,ꙇ
въі,Pp,вꙑ
глете,V-,г҃лете
ѣко,G-,ѣко
въ,R-,въ
ермѣхъ,Nb,е҃рмѣхъ
естъ,V-,естъ
мѣсто,Nb,мѣсто
ідеже,Dq,ꙇдеже
кланѣті,V-,клан҄ѣти
сѧ,Pk,сѧ
подобаетъ,V-,подобаетъ
гла,V-,г҃ла
еі,Pp,еі
іс,Ne,и҃с
жено,Nb,жено
вѣрѫ,Nb,вѣрѫ
мі,Pp,ми
імі,Pp,ꙇми
ѣко,Df,ѣко
грѧдетъ,V-,грѧдетъ
часъ,Nb,часъ
егда,Dq,егда
ні,C-,ни
горѣ,Nb,горѣ
сеі,Pd,сеі
ні,C-,ни
въ,R-,въ
ерлмѣхъ,Nb,е҃рлмѣхъ
поклоніте,V-,поклоните
сѧ,Pk,сѧ
оцоу,Nb,о҃цю
дхомь,Nb,д҃хомь
і,C-,ꙇ
істіноѭ,Nb,истиноѭ
ібо,Df,ꙇбо
оць,Nb,о҃ць
тацѣхъ,Pd,тацѣхъ
іштетъ,V-,ꙇштетъ
кланѣѭштіхъ,V-,клан҄ѣѭштихъ
сѧ,Pk,сѧ
емоу,Pp,емоу
дхъ,Nb,д҃хъ
бо,Df,бо
естъ,V-,естъ
бъ,Nb,б҃ъ
іже,Pr,ꙇже
кланѣетъ,V-,клан҄ѣетъ
сѧ,Pk,сѧ
емоу,Pp,емоу
дхомь,Nb,д҃хомь
і,C-,ꙇ
істіноѭ,Nb,истиноѭ
достоітъ,V-,достоꙇтъ
кланѣті,V-,клан҄ѣти
сѧ,Pk,сѧ
гла,V-,г҃ла
емоу,Pp,емоу
жена,Nb,жена
вѣмь,V-,вѣмь
ѣко,G-,ѣко
месіѣ,Ne,месиѣ
прідетъ,V-,придетъ
рекомъі,V-,рекомꙑ
хъ,Ne,х҃ъ
егда,Dq,егда
тъ,Pd,тъ
прідетъ,V-,придетъ
вьзвѣстітъ,V-,вьзвѣститъ
намъ,Pp,намъ
всѣ,Px,всѣ
гла,V-,г҃ла
еі,Pp,еі
іс,Ne,и҃с
азъ,Pp,азъ
есмь,V-,есмь
глѧі,V-,г҃лѧи
съ,R-,съ
тобоѭ,Pp,тобоѭ
і,C-,ꙇ
тогдажде,Df,тогдажде
прідѫ,V-,придѫ
оученіці,Nb,оученици
его,Pp,его
і,C-,ꙇ
чоуждаахѫ,V-,чюждаахѫ
сѧ,Pk,сѧ
ѣко,G-,ѣко
съ,R-,съ
женоѭ,Nb,женоѭ
глааше,V-,г҃лааше
і,C-,ꙇ
нікътоже,Px,никътоже
не,Df,не
рече,V-,рече
чесо,Pi,чесо
іштеші,V-,ꙇштеши
ілі,C-,ꙇли
чьто,Pi,чьто
глеші,V-,г҃леши
съ,R-,съ
неѭ,Pp,н҄еѭ
оставі,V-,остави
же,Df,же
водоносъ,Nb,водоносъ
своі,Pt,своі
жена,Nb,жена
і,C-,ꙇ
іде,V-,иде
въ,R-,въ
градъ,Nb,градъ
і,C-,ꙇ
гла,V-,г҃ла
чкомъ,Nb,ч҃комъ
прідѣте,V-,придѣте
і,C-,ꙇ
відіте,V-,видите
чка,Nb,ч҃ка
іже,Pr,ꙇже
рече,V-,рече
мі,Pp,ми
вьсѣ,Px,вьсѣ
еліко,Pr,елико
сътворіхъ,V-,сътворихъ
еда,Du,еда
тъ,Pd,тъ
естъ,V-,естъ
хъ,Ne,х҃ъ
ізідѫ,V-,Ꙇзидѫ
же,Df,же
із,R-,ꙇз
града,Nb,града
і,C-,ꙇ
грѧдѣахѫ,V-,грѧдѣахѫ
къ,R-,къ
немоу,Pp,н҄емоу
междоу,R-,междю
же,Df,же
сімь,Pd,симь
молѣахѫ,V-,мол҄ѣахѫ
і,C-,і
оученіці,Nb,оученици
его,Pp,его
глѭште,V-,г҃лѭште
равві,Nb,равви
ѣждь,V-,ѣждь
онъ,Pd,онъ
же,Df,же
рече,V-,рече
къ,R-,къ
німъ,Pp,н҄имъ
азъ,Pp,азъ
брашьно,Nb,брашьно
імамь,V-,ꙇмамь
ѣсті,V-,ѣсти
егоже,Pr,егоже
въі,Pp,вꙑ
не,Df,не
вѣсте,V-,вѣсте
глахѫ,V-,г҃лахѫ
же,Df,же
оученіці,Nb,оученици
къ,R-,къ
себѣ,Pk,себѣ
еда,Du,еда
къто,Pi,къто
прінесе,V-,принесе
емоу,Pp,емоу
ѣсті,V-,ѣсти
гла,V-,г҃ла
імъ,Pp,ꙇмъ
іс,Ne,и҃с
мое,Ps,мое
брашьно,Nb,брашьно
естъ,V-,естъ
да,G-,да
творѭ,V-,твор҄ѭ
волѭ,Nb,вол҄ѭ
посълавъшаего,V-,посълавъшаего
мѧ,Pp,мѧ
і,C-,ꙇ
съвръшѫ,V-,съвръшѫ
дѣло,Nb,дѣло
его,Pp,его
не,Df,не
въі,Pp,вꙑ
лі,Du,ли
глете,V-,г҃лете
ѣко,G-,ѣко
еште,Df,еште
четъіре,Ma,четꙑре
мѣсѧці,Nb,мѣсѧци
сѫтъ,V-,сѫтъ
і,C-,ꙇ
жѧтва,Nb,жѧтва
прідетъ,V-,придетъ
се,I-,се
глѭ,V-,г҃л҄ѭ
вамъ,Pp,вамъ
вьзведѣте,V-,вьзведѣте
очі,Nb,очи
ваші,Ps,ваши
і,C-,ꙇ
відіте,V-,видите
нівъі,Nb,н҄ивꙑ
ѣко,G-,ѣко
плавъі,A-,плавꙑ
сѫтъ,V-,сѫтъ
къ,R-,къ
жѧтвѣ,Nb,жѧтвѣ
юже,Df,юже
і,C-,ꙇ
жьнѧі,V-,жьн҄ѧі
мьздѫ,Nb,мьздѫ
пріемлетъ,V-,приемл҄етъ
і,C-,ꙇ
събіраетъ,V-,събираетъ
плодъ,Nb,плодъ
жівотънъі,A-,животънꙑ
да,G-,да
сѣѧі,V-,сѣѩи
въкоупѣ,Df,въ коупѣ
радоуетъ,V-,радоуетъ
сѧ,Pk,сѧ
і,C-,ꙇ
жьнѧі,V-,жьн҄ѧі
о,R-,о
семь,Pd,семь
бо,Df,бо
слово,Nb,слово
естъ,V-,естъ
істінъное,A-,ꙇстинъное
ѣко,G-,ѣко
інъ,Px,ꙇнъ
естъ,V-,естъ
сѣѧі,V-,сѣѩи
і,C-,ꙇ
інъ,Px,инъ
естъ,V-,естъ
жьнѧі,V-,жьн҄ѧі
азъ,Pp,азъ
же,Df,же
посълахъ,V-,посълахъ
въі,Pp,вꙑ
жѧтъ,V-,жѧтъ
ідеже,Dq,ꙇдеже
въі,Pp,вꙑ
не,Df,не
троудісте,V-,троудисте
сѧ,Pk,сѧ
іні,Px,ꙇни
троудішѧ,V-,троудишѧ
сѧ,Pk,сѧ
і,C-,ꙇ
въі,Pp,вꙑ
въ,R-,въ
троудъ,Nb,троудъ
іхъ,Pp,ꙇхъ
вьнідете,V-,вьнидете
отъ,R-,отъ
града,Nb,града
же,Df,же
того,Pd,того
мънозі,A-,мънози
вѣровашѧ,V-,вѣровашѧ
вь,R-,вь
него,Pp,н҄его
отъ,R-,отъ
самарѣнъ,Nb,самарѣнъ
за,R-,за
слово,Nb,слово
женѣ,Nb,женѣ
съвѣдѣтельствоуѭшті,V-,съвѣдѣтел҄ьствоуѭшти
ѣко,G-,ѣко
рече,V-,рече
мі,Pp,ми
вьсѣ,Px,вьсѣ
еліко,Pr,елико
сътворіхъ,V-,сътворихъ
егда,Dq,егда
же,Df,же
прідѫ,V-,придѫ
къ,R-,къ
немоу,Pp,н҄емоу
самарѣне,Nb,самарѣне
молѣахѫ,V-,мол҄ѣахѫ
і,C-,і
да,G-,да
бі,V-,би
прѣбъілъ,V-,прѣбꙑлъ
оу,R-,оу
ніхъ,Pp,н҄ихъ
і,C-,ꙇ
прѣбъістъ,V-,прѣбꙑстъ
тоу,Df,тоу
дъва,Ma,дъва
дьні,Nb,дьни
і,C-,ꙇ
мъного,Df,мъного
паче,Df,паче
вѣровашѧ,V-,вѣровашѧ
за,R-,за
слово,Nb,слово
его,Pp,его
женѣ,Nb,женѣ
глаахѫ,V-,г҃лаахѫ
ѣко,G-,ѣко
юже,Df,юже
не,Df,не
за,R-,за
твоѭ,Ps,твоѭ
