page_no|page_text|gloss_thing
4c| правьдьнꙑихъ въ рѫцѣ б҃жиї и не прикоснеть сѧ ихъ мѫка: они же ѹсть въ мирѣ: и ѹпъваниѥ ихъ бесъмрьтиꙗ исплънь: малꙑ покаꙁани: вельми благодѣтиѭ свьтѧть сѧ⸱ ꙗко б҃ъ искѹси ꙗ: и обрѣте ꙗ достоинꙑ себѣ: и ꙗко вьсеплодьнꙑꙗ жрътвꙑ приꙗтъ ꙗ: и въ врѣмѧ посѣщениꙗ ихъ въсьꙗѭть: и си о ст҃ꙑихъ оц҃ихъ нашихъ рекъ: молѧаше вьсѧ нꙑ не оставити мѣста|
4d| того: нъ трьпѣти добльнѣ въ напастьхъ: помьнѧще г҃а г҃лѫща: ꙗко тѣсна сѹть врата и ѹꙁъкъ пѫть въводѧи въ жиꙁнь: И апостола⸱ ꙗко мъногами скръбьми подобаѥть намъ вънити въ цеср҃ство: небесъ: слѹшавъше же ѹчениꙗ ѥго: прѣбꙑхомъ въ лаврѣ ꙗко на дъва мѣсѧцѧ: и пакꙑ слѹхѹ варварьскѹ бꙑвъшѫ: ѹбоꙗвъше сѧ събѣгохомъ въ манастꙑрь блиꙁъ ст҃ааго града|
5a| ꙗко отъ стадиї :к҃: нарицѧѥмꙑи оц҃ѧ анастаса: никогоже тъгда имѹща: и сътворьше дъвѣ лѣтѣ въ немь: пакꙑ молими бꙑхомъ реченꙑимь прѣподобьнꙑимь модестомь въꙁвратити сѧ и жити въ мѣстѣ нашемь: послѹшавъше же благааго съвѣта ѥго: ови абиѥ въꙁидихомъ и въселихомъ сѧ въ лаврѹ: ови же и маломь поꙁдѣѥ страхꙑ ближънюѭщиїхъ насъ срацинъ: етери же и въ|
5b| томь манастꙑри осташа: кѹпьно съ иустиномь: прѣподобьнꙑимь ихъ игѹменомь: остригъшемъ сѧ въ лаврѣ: и мънога лѣта въ неи сътворьшемъ: и въ мъногахъ дѣтельхъ просиꙗвъшемъ: ꙗко и проꙁвютерьскꙑимь саномь ѥмѹ почътенѹ бꙑти: иже б҃очъстивꙑи июстинъ: мъногѹ дрѹжинѫ въ томь манастꙑри х҃воѭ благодѣтиѭ събьра:дрьжа правило неиꙁмѣн͗нѣ лаврьскоѥ:|
5c| и прочеѥ ѹстроѥниѥ: и никъже не имать обрѣсти въ вьсеи палестинии: или въ иномь обьщении: такого д҃ховьна ѹстроѥниꙗ: цвьтеть же и растеть колижъдо: и стрьблѧ по исаакѹ велии бꙑваѥть: ꙗко отъ сего радовати сѧ намъ поѹчаѭщемъ сѧ добрѣ: ꙁане въ вьсеи странѣ сьꙗѥть свѣтиломъ тъчъно: сѣмѧ прѣподобьнааго оц҃ѧ нашего савꙑ: мꙑ же съмѣрении б҃жиѥѭ|
5d| благодѣтиѭ: и тъщаниѥмь прѣждереченааго прѣподобьнааго модеста: въ беꙁмлъвии сѣдимъ: паче прѣждъниїхъ лѣтъ хвалѧще и славѧще б҃а: ѹмрьщвѧѭщааго и животворѧща и творѧща чѹдеса велиꙗ единого: ѹмилосрьди бо сѧ на насъ благость ѥго: и на спѣхъ великъ приведе мѣсто наше: елико противѹ врѣменемъ: прѣжде работавъшиихъ ѥмѹ: ради|
6a| присно въ немь ст҃ꙑихъ рабъ ѥго: дарова же намъ от҃цѧ и пастѹха благость ѥго: достоина промꙑсла своѥго: ѳомѹ прѣподобьнааго: хꙑтра сѫща и вьсѣми дѣтельми ѹкрашена: живъшааго ѡтъ дѣтьска беꙁмлъвьномь житиѥмь и постомь: кротъкааго и братолюбьцѧ и милостивьнаго: съмѣренааго срьдьцемъ: о молитвѣ и о правилѣ теплааго: тѣмьже и б҃ъ въ игѹменьство ѥго въ пространьство|
6b| приведе ѹченикꙑ ѥго: Число же иꙁбиѥнꙑихъ оц҃ь ѥсть именъ: м҃д: бꙑваѥть же памѧть ихъ: мѣсѧцѧ маиѧ: въ е҃⸱ благодѣтиѭ же х҃воѭ и спѣхомь прѣждереченааго прѣподобьнааго оц҃ѧ нашего модеста: живѹть и въ прочиїхъ моностꙑрихъ пѹстꙑньнъихъ: Се ѹже чьстьнꙑи от҃че еѵстаѳе: въ кратъцѣ ꙗже о с҃тꙑихъ оц҃ихъ нашихъ и + лаврѣ: въꙁвѣстихъ вашемѹ|+ о
6c| б҃олюбью: и ина же благовѣщениꙗ радость творѧща вашеи дш҃и и вьсемѹ крьстиꙗнѹ слꙑшащѹѹмѹ ꙗ: благовѣщаѭ вамъ: прѣждереченꙑи бо прѣподобьнꙑи модестъ: не тъчиѭ пѹстꙑньнꙑꙗ строить моностꙑрѧ: нъ и градꙑ вьсѧ живѹщаꙗ окръстъ: б҃ѹ поспѣваѭщѹ ѥмѹ о вьсемь: сь бо ꙗкоже ѥ истина: новꙑи нашъ веселеиль: ли ꙁоровавель:|
6d| исплънь сѧ дх҃а с҃та: въꙁдвиже и пожъженꙑꙗ чьстьнꙑꙗ црькъви съпаса нашего х҃а: ст҃оѥ же и краниѥ: и ст҃оѥ ѥго въстааниѥ: и храмъ чъстьнааго кръста: и матере црькъвь сиона: и ст҃оѥ ѥго въꙁитиѥ: и прочѧꙗ чьстьнꙑꙗ храмꙑ: ꙗко ѡтъ сего благꙑ надеждѧ имѣти намъ и о бѹдѹщиихъ: паче же отъ кромѣшъниихъ странъ приходѧщиимъ на покланѧниѥ ст҃ꙑихъ|
7a| мѣстъ: и вьсѣмъ славити б҃а: ꙗко томѹ подобаѥть слава въ вѣкꙑ вѣкъ амин͗ ∞ тогожде анътиѡха прологъ: ,,,,,,, Рече въ пѣсньхъ соломонъ: шесть десѧтъ ѥсть цесариць: и осмь десѧтъ женимъ: и дѣвиць ихъже нѣсть числа: мꙑ ѹбо по нашемѹ достижениѭ ⸱ ѯ҃: цср҃иць: челеснꙑꙗ гл҃емъ бꙑти кънигꙑ: сирѣчъ шесть десѧтꙑꙗ ꙁавѣщанꙑꙗ: ветъхааго же и новааго ꙁавѣта:|
7b| осмьдесѧтъ же женимъ: неприлагаѥмꙑꙗ: гл҃емꙑꙗ потаѥнꙑ: женимꙑ же именѹѭ ꙁане беꙁ дрьꙁновениꙗ и любодѣицѧ сѹть: дѣвицѧ же: реченꙑꙗ новꙑꙗ повѣсти црькъвьнꙑихъ ѹчитель: ꙁа чистотѹ словесе ихъ: дѣвицѧ бо: чистꙑ именѹѭть сѧ: рече бо: да поищѹть цесарю дѣвицѧ дѣвоѭ: и обрѣтоша суманитѣнꙑию да съгрѣѥть|
7c| и: сирѣчь небесьнꙑꙗ раꙁѹмꙑ: и пѣваꙗ речеть: съгрѣ сѧ срьдьце моѥ въ мънѣ: и въ поѹчении моѥмь раꙁгорить сѧ огнь: суманитѣнꙑни же небеснаꙗ съкаꙁаѥть сѧ: и пьшеницѧ ѭнотамъ: и вино благовонюꙗ дѣвꙑ: бескврьньнии бо ѡтъ одъждениꙗ небесьнааго хлѣба кръмѧть сѧ: прѣбꙑваѭщааго въ жиꙁнь вѣчънѹѭ: и питиѥ ихъ отъ кратꙑри истиньнꙑꙗ лоꙁꙑ: и бескврьньнꙑихъ|
7d| речениꙗ чиста: и словеса правьдьникъ прѣчиста по кънигамъ: бещисльнꙑ же гл҃ѫть сѧ: ꙁа мъножъство и беꙁмѣриѥ словесе ѹчительства ихъ: отъ постава ѹбо :ѯ҃: цср҃иць сихъ: мало ижиць иꙁѧхъ: и сътворихъ прѣпоꙗсаниѥ: на съгрѣниѥ съ вѣроѭ почитаѭщиимъ: ꙗкоже ѹбо поставъ мъногочѧстьнъ сꙑи: въ единѹчѧстьнѹ риꙁѹ съврьшаѥть сѧ: тако|
8a| и вьсѧ проречениꙗ б҃одъхновенꙑихъ кънигъ: въ съмотрениꙗ владꙑчьнѧаго риꙁѹ сънидоша сѧ: ѭже приꙗтъ отъ свѧтꙑꙗ славьнꙑꙗ бц҃ѧ и приснод҃вꙑ мариꙗ: тьлѣньно ѹбо: ꙁа подобьнострастиѥ наше: сътворивъ же нетьлѣн͗нѹ: да нꙑ тьлеѭ дрьжимꙑꙗ свободивъ: прѣведеть въ нетьлѣниѥ: и ѹмьръша оживль: пакꙑ облѣчеть бесъмрьтиѥмь:|
8b| Прѣпоꙗсаниѥ же гл҃ѭ: не оно июдеискоѥ: иеремиѥмь съкръвеноѥ: и истьлѣвъше въ евъфратѣ рѣцѣ: нъ новꙑꙗ благодѣти еже г҃ь намъ покаꙁа прѣпоꙗсавъ сѧ и отьръ ногꙑ своихъ ѹченикъ: да скврьнꙑ ветъхааго кваса очистѣвъше бѹдѹть ново въмѣшениѥ: и бѫдѹть ногꙑ ихъ красьнꙑ: ꙗко благовѣстѹѭщемъ миръ: и настѹпаѭть на ꙁмиꙗ и на вьсу|
8c| силѹ вражиѭ: сего прѣпоꙗсаниꙗ добротою х҃ъ своѭ црькъвь облѣче: покрꙑваꙗ наша порокꙑ: и бꙑвъшѹѭ намъ отъ адамлѧ прѣстѹплениꙗ наготѹ: по реченѹѹмѹ: растрьꙁа врѣтище моѥ и прѣпоꙗса мѧ веселиѥмь: симь одѣваѥмъ сѧ отъ божъствьнꙑихъ кънигъ: испꙑтаѭще бо ꙗ обрѣтаѥмъ вѣчънѹѭ жиꙁнь г҃а нашего|
8d| ис҃ѹ х҃а истиньнааго б҃а нашего: нъ ꙁоветь нꙑ ѹже врѣмѧ: ѹчиновати реченꙑꙗ главꙑ: въ славѹ и хвалѹ оц҃ѧ и с҃на и с҃тааго д҃ха: въ вѣкꙑ вѣкомъ аминь⸱ Тогожде антиѡха⸱ къ томѹжде евъстаѳю⸱ главꙑ раꙁличнꙑ :р҃л: и млт҃ва исповѣданиѭ ⸱а҃⸱ ѡ вѣрѣ ⁘ ⸱ ⸱ ⸱ ⸱в҃⸱ ѡ ѹпъвании ⁘ ⸱ ⸱ ⸱ ⸱г҃⸱ ѡ ꙗдении ⁘ ⸱ ⸱ ⸱ ⸱д҃⸱ ѡ обѣдании ⁘ ⸱ ⸱ ⸱ ⸱е҃⸱ ѡ пьꙗньствѣ ⁘ ⸱ ⸱ ⸱ ⸱ꙅ҃⸱ ѡ въꙁдрьжании ⁘ ⸱ ⸱ ⸱|
9a| да съгрѣѥти и: саманитѣнꙑнѧ: нъ не поꙁна ѥꙗ црⷭь: сирѣчъ не истьли ѹпъваниꙗ своѥго небесьнааго: Виждъ чъто ти гл҃еть ѱаниѥ⸱ аще бѹдете дъва: то тепло има бѹдеть: Вѣрѣ аще имать ѹпъваниѥ: имать своѥ дѣло: и тепла ѥсть: имѹщѹмѫ ѭ: ꙗкоже рече блаженꙑи петръ въспоꙗсавъше чрѣсла мꙑсли вашеꙗ:|
9b| трѣꙁвѧще сѧ коньчинѣ ѹпъваите на приносимѹѭ вамъ благодѣть: ꙗвлениѥмь і҃у хв҃омь: ꙗко чѧда послѹшаниꙗ: И сираховичъ: къто ѹпъва на г҃а и небрѣженъ бꙑсть: или къто прѣбꙑ въ страсѣ ѥго и прѣꙁьрѣ и: Пѣснивьць же: блаженъ мѹжъ ѥмѹже есть имѧ гн҃е ѹпъваниѥ ѥго: и да въꙁдрадѹѭть сѧ вьси|
9c| ѹпъваѭщии на тѧ: и потомь на нь ѹпъва срд҃це моѥ и поможе ми: и въцвьте плъть моꙗ: и отъ своѥго поможениꙗ: и инꙑ наставлѧаше гл҃ѧ ѹпъваите на нь вьсь съборъ людии: иꙁлѣите прѣдъ нимь ср҃дьцѧ ваша ꙗко б҃ъ помощъникъ нашъ: и ѹпъваи на г҃а и твори благостꙑню и отъкрꙑи къ г҃ѹ пѹть свои и оупъваи|
9d| на нь: И исаиꙗ: ѹпъвахъ на имѧ твоѥ и на памѧть твоѭ похоть наша: и п҇ⷦа павьлъ: ѹпъваниѥмь бо съпасени бꙑхомъ: и ѹпъваниѥ же видимо нѣсть ѹпъваниѥ: ѥже бо видить къто: чъто и ѹпъваѥть: аще ли ѥгоже не видимъ: трьпѣниѥмь чаѥмъ: И п҇ⷦа: Крѣпъко ѹтѣшениѥ имамъ прибѣгъшеи ꙗти сѧ ꙁа прѣдълежѧщеѥ ѹпъваниѥ:|
10a| ѥже ꙗко ставило имамъ твръдо же и иꙁвѣстьно: И наводить: ꙗко ѹпъваниѥмь длъжънѹѥть орѧи орати: и врьхꙑи на ѹпъваниѥ приимати: И въ еван͗гелии ѥже отъ лѹкꙑ о семуонѣ рече: бѧаше ѥмѹ провѣщано дх҃омь ст҃ꙑимь не видѣти съмрьти: донъдеже видиши кръста гн҃ѧ: и не ѹмрьтви ѹпъваниꙗ:|
10b| нъ бѧше чѧꙗ желаѥмааго иꙁбава: и сп҃са мирьна: и приимꙑ и радъ на рѹкѹ гл҃ааше: пѹсти мѧ владꙑко приити къ тебѣ це҇ⷭру моѥмѹ: въсприꙗхъ бо ѹпъваниѥ моѥ: томѹ слава въ вѣкꙑ вѣкомъ: АМИН|
10c| •г҃• ⁘ Ꙍ ꙖДЕНИИ⁘ О ꙗдении рече притъчъникъ: аще сѧдеши вечерѧти на трапеꙁѣ сильнꙑихъ: раꙁѹмьнѣ раꙁѹмѣваи прѣдъполагаѥмаꙗ ти: и въꙁдрьжи рѹкѹ си: вѣдꙑи ꙗко тебе ради си приготоваѥть: аще ли несꙑтьнѣи ѥси не похощи сластьмъ ѥго: И дрѹгꙑи рече: на трапеꙁѣ ли велицѣ сѣлъ ѥси:|
10d| не раꙁдвигни грьтани своѥго на неи: и не рьци мъногоѥ на неи: помѧни ꙗко ꙁъло ѥсть око лѹкаво: ꙗможе аще въꙁьриши: не простьри рѹкꙑ си: и не гнети + съ нимь въ солилѣ: раꙁѫмѣи еже ѥсть искрьнѧаго ѡтъ себе: и о вьсѣхъ вещахъ раꙁмꙑшлѧи: ꙗждь ꙗко и чл҃вѣкъ прѣдълежѧщаꙗ ти ++: а не дрѧꙁгъни да не въꙁненавидѣнъ бѹдеши: прѣстани прьвоѥ на|+ сѧ     ++ а не жиї
11a| каꙁаниꙗ ради: и не ꙗждъ лихо сꙑти да не прѣтъкнеши сѧ: и аще посрѣдѣ мъногъ сѣдиши: пьрьвѣѥ ихъ не простираи рѹкꙑ своѥꙗ: ꙗко довьльно чл҃кѹ накаꙁанѹ малоѥ: моси же: вънемли себѣ самъ г҃лѧ: еда ꙗдъи насꙑщъ сѧ⸱ ꙁабѹдеши г҃а б҃а своѥго: Такожде и апостолъ аще ꙗсте: аще ли пиѥтѥ: аще ли чъто творите: вьсе въ славѹ|
11b| бж҃иѭ творите: а не въ сѹмьнѣниꙗ раꙁмꙑшлении: овъ бо вѣрѹѥть ꙗсти вьсе: а иꙁнемагаꙗи ꙁелиѥ да ꙗсть: и наводить: ꙗдꙑи неꙗдѹщааго да не ѹкарѧѥть: и неꙗдꙑи ꙗдѹщааго да не осѹждаѥть: тꙑ бо къто ѥси осѹждаꙗ тѹждего раба: своѥмѹ г҃ѹ стоить⸱ или падаѥть: И па҇ⷦ: ꙗдꙑи г҃ѹ ꙗсть: и хвалить б҃а: и неꙗдꙑи г҃ѹ не ꙗсть⸱|
11c| и хвалить б҃а: И пакꙑ: не брашъна ради раꙁарѧи дѣло бж҃иѥ: И наводить: вьсе ѹбо чисто: нъ ꙁъло прѣтꙑниѥмь ꙗсти: И блаженъ не осѹждаꙗи себе о немьже покѹшаѥть сѧ: а сѹмьнѧи сѧ: аще ꙗсть осѹждѧѥть сѧ: ꙁане не отъ вѣрꙑ: обаче брашъно насъ не поставить прѣдъ бо҃мь: ибо аще ꙗмъ иꙁбꙑтъкѹѥмъ:|
11d| ни аще не ꙗмъ: лишимъ сѧ: И притъчъникъ: не прѣлъсти себе сꙑтостиѭ чрѣва: дш҃а бо въ сꙑтости сѹщи: медѫ рѹгаѥть сѧ: дш҃и же скѹдьнѣ и горькоѥ сладъко бꙑваѥть: Апостолъ же: очищаꙗ брашъна рече: ꙗже б҃ъ сътвори на сънѣданиѥ съ похвалениѥмь: вѣрьнꙑимъ: и поꙁнавъшиимъ истинѹ: ꙗко вьсе съꙁьданиѥ божиѥ|
12a| ѥ добро: и ничътоже отъметьно съ благодариѥмь ꙗдомо: свѧщаѥть бо сѧ словомь бж҃иѥмь: и молитвоѭ: и вьсе чисто чистꙑимъ: и на ꙗдениѥ дрѹгъ дрѹга жидѣте: рече же и ꙁаконъ: ꙗдъ и насꙑщъ сѧ благословестви г҃а б҃а своѥго: И дв҃дъ благодарѧ дасть веселиѥ въ срьдьце моѥ: отъ плода пьше ницѧ|
12b| и вина и масла: И па҇ⷦ: ꙗко насꙑти д҃шѧ тъщѧ: и дш҃ѧ ал͗чѹща наплъни благъ: Благꙑи же г҃ь хотѧи намъ съмѣреномъ бꙑти рече: ѥгда въꙁъванъ бѹдеши на пиръ: не сѧди на прѣдьниїмь мѣстѣ: еда чъстьнѣи тебе бѹдеть ꙁъванꙑ имъ: и шъдъ ꙁъвавꙑи тѧ и оного: речеть ти даждъ семѹ мѣсто: и тъгда|
12c| начънеши съ стѹдомь послѣдьнеѥ мѣсто дрьжѧти: нъ ѥгда ꙁъванъ бѹдеши: шъдъ сѧди на послѣдьниїмь мѣстѣ: да егда придеть ꙁъвавꙑи тѧ: речеть ти: дрѹже: посѧди вꙑше: тъгда бѹдеть ти слава прѣдъ вьсѣми сѣдѧщиими съ тобоѭ: ꙗко вьсь вꙑсѧи сѧ обниꙁѣѥть: и ниꙁѧи сѧ въꙁвꙑсить сѧ:|
12d| и се же на раꙁѫмъ и польꙁѹ довьлѣло бꙑ: добро же ѥ припомѧнѫти и їовлеѥ: рече бо: аще ли и хлѣбъ свои единъ ꙗхъ: а сиротѣ не подахъ: ꙗко отъ ѹности моѥꙗ кръмлѧахъ ꙗко отьць: И па҇ⷦ: г҃ь: ѥгда твориши обѣдъ: или вечерю: не ꙁови дрѹгъ твоихъ: ни сѹсѣдъ богатъ: еда коли и ти тѧ такожде въꙁовѹть: и бѹдеть ти въꙁдатва:|
13a| нъ егда твориши пиръ: ꙁови + ѹбогꙑꙗ: маломощи: хромꙑ: слѣпꙑ: и блаженъ бѹдеши ꙗко не имѹть въꙁдати ти: въꙁдасть же ти сѧ въ въстаниѥ правьдьнꙑихъ: томѹ г҃ѹ нашемѹ іс҃у х҃ѫ слава въ вѣкꙑ АМИН|+ нищаѧ
13b| д҃ ⁘ Ꙍ ꙌБѢДАНИИ Вьсѣмъ ѹбо ѥсть еже нѹди сѧ и въꙁдрьжати ѭтробѹ: паче же хотѧщиимъ б҃ѹ работати: добро бо ѥсть вьсе въ мѣрѹ лагоню: а еже невъꙁдрьжънѣ ꙗсти: подобьно ѥсть кораблю обрѣмененѹ: тѣло бо пища трѣбѹѥть а не сласти: малотрѣбиꙗ а не прѣсꙑтьꙗ: довъла• а не мъногоꙗдиꙗ: овꙑ бо и дш҃и и тѣлѹ польꙁѹ творѧща: съдравиѥ|
13c| и крѣпость и добронравиѥ раждаѭть: овꙑ же: обоѥ поврѣждаѭть: не тъчиѭ съдравиѥ тьлѧ: нъ и недѫгъ пакостьнꙑи раждѧѭть: ѹкаꙁаниѥ же ꙗвѣ мало трѣбованиѥ приѥмлющиїхъ: подвижъникъ: волѧщиихъ мѧкъкоѥ и жировьноѥ житиѥ: и раꙁѹмьнѣиша: и цѣломѹдрьнѣишѧ и съдравѣиша сѹща: не тъкъможе се: нъ и|
13d| хѹдить страсти⸱ сдрьжаи чрѣво: побѣждаѥмꙑи бо брашънꙑ: растить + похоти: ꙗкоже бо дръва великъ въꙁдвижѹ пламꙑ: тако множъство брашънъ мꙑсли ꙁълꙑꙗ: мъногобрашъниѥ: грьтань ѹбо веселить: кръмить же чрьвь неѹмѹченъ и неѹсꙑпѫщъ: ꙗкоже бо ѡпѫстѣвъшиꙗ ꙁемлꙗ⸱ трьниѥ раждаѥть: тако и ѹмъ вельꙗдааго:|+ сласти:
14a| ꙁ­ѧбить мꙑсли нелѣпꙑꙗ: чл҃вкъ ласкръдивъ: ничътоже ино: нъ тъчиѭ чрѣвѫ повиньнъ бꙑваѥть: и памѧти ст҃ꙑихъ чътеть: а въꙁдрьживꙑи: житиѥмь ихъ подобить сѧ: обьѣстивꙑи: ничимьже инѣмь хвалить сѧ: нъ широкꙑимь и пространꙑимь чрѣвомь: храмомь чьстьнꙑхъ ѥмѫ мотꙑлъ и вълагалищемь: нъ и дх҃ъ|
14b| живꙑи въ ласкръдѣмь чловѣцѣ скръбить: и не трьпѧ смрьдѣниꙗ оходить отъ него: ꙗкоже бо дꙑмъ прогонить бъчелꙑ: тако и обьѣстивꙑи благодѣть ст҃ааго д҃ха: лѹче ѹбо ѥсть мимотещи сладости чрѣвьнꙑꙗ: и простоѭ пищеѭ: трѣбованиѥ съврьшити тѣлесьноѥ: да не ѹподобимъ сѧ на пѹстꙑни чрѣвѹ работавъшимъ|
14c| людьмъ: сѣдоша бо рече людиѥ ꙗсти и пити: и въсташа игратъ• Ѥгда бо беꙁ мѣрꙑ начѧшѧ ꙗсти и пити: ꙁаповѣдь бж҃иѭ ꙁабꙑша: и на идолобѣсиѥ ѹринѹша сѧ: Добрѣ ѹбо наслѣдьнико ихъ пишеть апс҃тлъ павлъ: ихъ же б҃ъ чрѣво: и слава въ стѹдѣ ихъ: мꙑслѧщеи ꙁемльнаꙗ: и па҇ⷦ: брашъна чрѣвѫ: а чрѣво|
14d| брашъномъ: б҃ъ же и се и си: да ѹпраꙁнить: и па҇ⷦ: аще брашъна ради скръбить братъ твои: ѹже не по любъви ходиши: не брашъномь своимь того погѹблѧи: ꙁа негоже х҃ъ ѹмрѣ: И наводить: таковии бо г҃ѹ нашемѹ не работаѭть: нъ своѥмѫ чрѣвѹ: и брославиѥмь и благословиѥмь: прѣльщаѭть ср҃цѧ беꙁълобивꙑихъ:|
