torot_word|pos|lemma|morph_tag|deep_cleaned|lemma_id|sentence_no|pres_before|pres_after|text_id|subtitle_id|autotagged
и|C-|и|---------n|і|5|277287|| |1|1|0
зача|V-|зачати|3saia----i|зача|81|277287|| |1|1|0
отъ|R-|отъ|---------n|отъ|57|277287|| |1|1|0
неꙗ|Pp|и|3s---fg--i|неꙗ|21|277287|| |1|1|0
сего|Pd|сии|-s---mg--i|сего|28|277287|| |1|1|0
ст҃опълка|Ne|святопълкъ|-s---mg--i|стопълка|67|277287|| |1|1|0
оканьнааго|A-|оканьныи|-s---mgpwi|оканьнааго|82|277287||· |1|1|0
володимиръ|Ne|володимиръ|-s---mn--i|володіміръ|33|277288|| |1|1|0
же|Df|же|---------n|же|37|277288|| |1|1|0
поганъи|A-|поганыи|-s---mnpwi|поганъі|83|277288|| |1|1|0
ѥще|Df|еще|---------n|еще|84|277288|| |1|1|0
ѹбивъ|V-|убити|-supamn-si|оубівъ|85|277288|| |1|1|0
ꙗропълка|Ne|яропълкъ|-s---mg--i|ꙗропълка|74|277288||· |1|1|0
и|C-|и|---------n|і|5|277288|| |1|1|0
поꙗтъ|V-|пояти|3saia----i|поꙗтъ|73|277288|| |1|1|0
женѹ|Nb|жена|-s---fa--i|женоу|59|277288|| |1|1|0
ѥго|Pp|и|3s---mg--i|его|21|277288|| |1|1|0
непраздьнѹ|A-|непраздьныи|-s---fapsi|непраздьноу|86|277288|| |1|1|0
сѹщю|V-|быти|-sppafa-si|соущоу|23|277288||· |1|1|0
отъ|R-|отъ|---------n|отъ|57|277289|| |1|1|0
неꙗ|Pp|и|3s---fg--i|неꙗ|21|277289|| |1|1|0
же|Df|же|---------n|же|37|277289|| |1|1|0
роди|V-|родити|3saia----i|роді|87|277289|| |1|1|0
сꙗ|Pk|себе|3s---qa--i|сꙗ|17|277289|| |1|1|0
сии|Pd|сии|-s---mn--i|сіі|28|277289|| |1|1|0
оканьнꙑи|A-|оканьныи|-s---mnpwi|оканьнъіі|82|277289|| |1|1|0
ст҃опълкъ|Ne|святопълкъ|-s---mn--i|стопълкъ|67|277289||· |1|1|0
и|C-|и|---------n|і|5|277290|| |1|1|0
бꙑсть|V-|быти|3saia----i|бъість|23|277290|| |1|1|0
отъ|R-|отъ|---------n|отъ|57|277290|| |1|1|0
дъвою|Ma|дъва|-d---mg--i|дъвою|88|277290|| |1|1|0
ц҃ю|Nb|цѣсарь|-d---mg--i|цоу|89|277290|| |1|1|0
и|C-|и|---------n|і|5|277290|| |1|1|0
братѹ|Nb|братъ|-d---mg--i|братоу|75|277290|| |1|1|0
сѹщю|V-|быти|-dppamg-si|соущоу|23|277290||· |1|1|0
тѣмь|Pd|тыи|-s---ni--i|тѣмь|90|277291|| |1|1|0
же|Df|же|---------n|же|37|277291|| |1|1|0
и|Df|и|---------n|і|40|277291|| |1|1|0
не|Df|не|---------n|не|56|277291|| |1|1|0
люблꙗаше|V-|любити|3siia----i|люблꙗаше|91|277291|| |1|1|0
ѥго|Pp|и|3s---mg--i|его|21|277291|| |1|1|0
володимиръ|Ne|володимиръ|-s---mn--i|володіміръ|33|277291||· |1|1|0
акꙑ|G-|акы|---------n|акъі|92|277291|| |1|1|0
не|Df|не|---------n|не|56|277291|| |1|1|0
отъ|R-|отъ|---------n|отъ|57|277291|| |1|1|0
себе|Pk|себе|3s---mg--i|себе|17|277291|| |1|1|0
ѥмѹ|Pp|и|3s---md--i|емоу|21|277291|| |1|1|0
сѹщю|V-|быти|-sppamd-si|соущоу|23|277291||· |1|1|0
а|C-|а|---------n|а|50|277292|| |1|1|0
отъ|R-|отъ|---------n|отъ|57|277292|| |1|1|0
рогнѣди|Ne|рогънѣдь|-s---fg--i|рогнѣді|93|277292|| |1|1|0
д҃|Ma|четыре|---------n|д|94|277292|·|· |1|1|0
сн҃ꙑ|Nb|сынъ|-p---ma--i|снъі|34|277292|| |1|1|0
имѣꙗше|V-|имѣти|3siia----i|імѣꙗше|54|277292||· |1|1|0
изꙗслава|Ne|изъяславъ|-s---mg--i|ізꙗслава|65|277292||· |1|1|0
и|C-|и|---------n|і|5|277292|| |1|1|0
мьстислава|Ne|мьстиславъ|-s---mg--i|мьстіслава|95|277292||· |1|1|0
и|C-|и|---------n|і|5|277292|| |1|1|0
ꙗрослава|Ne|ярославъ|-s---mg--i|ꙗрослава|96|277292||· |1|1|0
и|C-|и|---------n|і|5|277292|| |1|1|0
всеволода|Ne|вьсеволодъ|-s---mg--i|всеволода|97|277292||· |1|1|0
а|C-|а|---------n|а|50|277292|| |1|1|0
отъ|R-|отъ|---------n|отъ|57|277292|| |1|1|0
иноꙗ|Px|иныи|-s---fg--i|іноꙗ|98|277292|| |1|1|0
ст҃ослава|Ne|святославъ|-s---mg--i|стослава|99|277292|| |1|1|0
и|C-|и|---------n|і|5|277292|| |1|1|0
мьстислава|Ne|мьстиславъ|-s---mg--i|мьстіслава|95|277292||· |1|1|0
а|C-|а|---------n|а|50|277292|| |1|1|0
отъ|R-|отъ|---------n|отъ|57|277292|| |1|1|0
българꙑнѣ|Nb|българыни|-s---fg--i|българъінѣ|100|277292|| |1|1|0
бориса|Ne|борисъ|-s---mg--i|боріса|10|277292|| |1|1|0
и|C-|и|---------n|і|5|277292|| |1|1|0
глѣба|Ne|гълѣбъ|-s---mg--i|глѣба|11|277292||· |1|1|0
и|C-|и|---------n|і|5|277293|| |1|1|0
посажа|V-|посажати|3saia----i|посажа|101|277293|| |1|1|0
всꙗ|Px|вьсь|-p---ma--i|всꙗ|30|277293|| |1|1|0
по|R-|по|---------n|по|52|277293|| |1|1|0
роснамъ|A-|розьныи|-p---fdpwi|роснамъ|102|277293|| |1|1|0
землꙗмъ|Nb|земля|-p---fd--i|землꙗмъ|32|277293|| |1|1|0
въ|R-|въ|---------n|въ|1|277293|| |1|1|0
кнꙗжении|Nb|къняжение|-s---nl--i|кнꙗженіі|103|277293||· |1|1|0
иже|Pr|иже|-s---ma--i|іже|39|277293|| |1|1|0
инъде|Df|инъдѣ|---------n|інъде|45|277293|| |1|1|0
съкажемъ|V-|съказати|1ppia----i|съкажемъ|46|277293|| |1|1|0
сихъ|Pd|сии|-p---mg--i|сіхъ|28|277294|| |1|1|0
же|Df|же|---------n|же|37|277294|| |1|1|0
съповѣмꙑ|V-|съповѣдати|1ppia----i|съповѣмъі|104|277294|| |1|1|0
ѹбо|Df|убо|---------n|оубо|25|277294||· |1|1|0
о|R-|о|---------n|о|51|277294|| |1|1|0
нихъ|Pp|и|3p---ml--i|ніхъ|21|277294|| |1|1|0
же|Df|же|---------n|же|37|277294|| |1|1|0
и|Df|и|---------n|і|40|277294|| |1|1|0
повѣсть|Nb|повѣсть|-s---fn--i|повѣсть|105|277294|| |1|1|0
си|Pd|сии|-s---fn--i|сі|28|277294|| |1|1|0
ѥсть|V-|быти|3spia----i|есть|23|277294||· |1|1|0
посади|V-|посадити|3saia----i|посаді|106|277295|| |1|1|0
убо|Df|убо|---------n|убо|25|277295|| |1|1|0
сего|Pd|сии|-s---mg--i|сего|28|277295|| |1|1|0
оканьнааго|A-|оканьныи|-s---mgpwi|оканьнааго|82|277295|| |1|1|0
Свꙗтопълка|Ne|святопълкъ|-s---mg--i|свꙗтопълка|67|277295|| |1|1|0
въ|R-|въ|---------n|въ|1|277295|| |1|1|0
кнꙗжении|Nb|къняжение|-s---nl--i|кнꙗженіі|103|277295|| |1|1|0
Пиньскѣ|Ne|пиньскъ|-s---ml--i|піньскѣ|107|277295||· |1|1|0
а|C-|а|---------n|а|50|277295|| |1|1|0
Ꙗрослава|Ne|ярославъ|-s---mg--i|Ꙗрослава|96|277295||· |1|1|0
Новѣгородѣ|Ne|новъгородъ|-s---ml--i|новѣгородѣ|108|277295||· |1|1|0
а|C-|а|---------n|а|50|277295|| |1|1|0
Бориса|Ne|борисъ|-s---mg--i|боріса|10|277295||· |1|1|0
Ростовѣ|Ne|ростовъ|-s---ml--i|ростовѣ|109|277295||· |1|1|0
а|C-|а|---------n|а|50|277295|| |1|1|0
Глѣба|Ne|гълѣбъ|-s---mg--i|глѣба|11|277295||· |1|1|0
Муромѣ|Ne|муромъ|-s---ml--i|муромѣ|110|277295||· |1|1|0
нъ|C-|нъ|---------n|нъ|60|277296|| |1|1|0
се|I-|се|---------n|се|111|277296|| |1|1|0
остаану|V-|остати|1spia----i|остаану|112|277296|| |1|1|0
много|A-|мъногыи|-s---napsi|много|113|277296|| |1|1|0
глаголати|V-|глаголати|--pna----i|глаголаті|114|277296||· |1|1|0
да|G-|да|---------n|да|115|277296|| |1|1|0
не|Df|не|---------n|не|56|277296|| |1|1|0
многописании|Nb|мъногописание|-s---nl--i|многопісаніі|116|277296|| |1|1|0
въ|R-|въ|---------n|въ|1|277296|| |1|1|0
забыть|Nb|забыть|-s---ma--i|забьіть|117|277296|| |1|1|0
вълѣземъ|V-|вълѣзти|1ppia----i|вълѣземъ|118|277296||· |1|1|0
нъ|C-|нъ|---------n|нъ|60|277297|| |1|1|0
о|R-|о|---------n|о|51|277297|| |1|1|0
немьже|Pr|иже|-s---ml--i|немьже|39|277297|| |1|1|0
начахъ|V-|начати|1saia----i|начахъ|119|277297|| |1|1|0
си|Pd|сии|-p---na--i|сі|28|277297|| |1|1|0
съкажемъ|V-|съказати|1ppia----i|съкажемъ|46|277297|| |1|1|0
убо|Df|убо|---------n|убо|25|277297|| |1|1|0
сице|Df|сице|---------n|сіце|24|277297||· |1|1|0
многомъ|A-|мъногыи|-p---mdpsi|многомъ|113|277298|| |1|1|0
же|Df|же|---------n|же|37|277298|| |1|1|0
уже|Df|уже|---------n|уже|120|277298|| |1|1|0
дн҃ьмъ|Nb|дьнь|-p---md--i|дньмъ|3|277298|| |1|1|0
минѹвъшемъ|V-|минути|-pupamd-si|міноувъшемъ|121|277298||· |1|1|0
и|C-|и|---------n|і|5|277298|| |1|1|0
ꙗко|Dq|яко|---------n|ꙗко|122|277298|| |1|1|0
съконьчаша|V-|съконьчати|3paia----i|съконьчаша|123|277298|| |1|1|0
сꙗ|Pk|себе|3s---qa--i|сꙗ|17|277298|| |1|1|0
дн҃иѥ|Nb|дьнь|-p---mn--i|дніе|3|277298|| |1|1|0
володимирѹ|Ne|володимиръ|-s---md--i|володіміроу|33|277298||· |1|1|0
ѹже|Df|уже|---------n|оуже|120|277298|| |1|1|0
минѹвъшемъ|V-|минути|-pupamd-si|міноувъшемъ|121|277298|| |1|1|0
лѣтомъ|Nb|лѣто|-p---nd--i|лѣтомъ|124|277298|| |1|1|0
к҃|Ma|дъвадесяти|---------n|к|125|277298|·||1|1|0
и҃|Ma|осмь|---------n|і|126|277298||· |1|1|0
по|R-|по|---------n|по|52|277298|| |1|1|0
ст҃ѣмь|A-|святыи|-s---nlpwi|стѣмь|8|277298|| |1|1|0
кр҃щении|Nb|крьщение|-s---nl--i|крщеніі|41|277298||· |1|1|0
въпаде|V-|въпасти|3saia----i|въпаде|127|277298|| |1|1|0
въ|R-|въ|---------n|въ|1|277298|| |1|1|0
недѹгь|Nb|недугъ|-s---ma--i|недоугь|128|277298|| |1|1|0
крѣпъкъ|A-|крѣпъкыи|-s---mapsi|крѣпъкъ|129|277298||· |1|1|0
въ|R-|въ|---------n|въ|1|277299|| |1|1|0
то же|Pd|тыиже|-s---na--i|тоже|2|277299|| |1|1|0
времꙗ|Nb|врѣмя|-s---na--i|времꙗ|49|277299|| |1|1|0
бꙗше|V-|быти|3siia----i|бꙗше|23|277299|| |1|1|0
пришелъ|V-|приити|-sspamn-si|прішелъ|130|277299|| |1|1|0
борисъ|Ne|борисъ|-s---mn--i|борісъ|10|277299|| |1|1|0
изд|R-|из|---------n|ізд|131|277299||-|1|1|0
ростова|Ne|ростовъ|-s---mg--i|ростова|109|277299||· |1|1|0
печенегомъ|Nb|печенѣгъ|-p---md--i|печенегомъ|132|277300|| |1|1|0
же|Df|же|---------n|же|37|277300|| |1|1|0
о|R-|о|---------n|о|51|277300|| |1|1|0
онѹду|Df|онуду|---------n|оноуду|133|277300|| |1|1|0
пакы|Df|пакы|---------n|пакьі|134|277300|| |1|1|0
идущемъ|V-|ити|-pppamd-si|ідущемъ|135|277300|| |1|1|0
ратию|Nb|рать|-s---fi--i|ратію|136|277300|| |1|1|0
на|R-|на|---------n|на|137|277300|| |1|1|0
рѹсь|Ne|русь|-s---fa--i|роусь|138|277300||· |1|1|0
въ|R-|въ|---------n|въ|1|277300|| |1|1|0
велицѣ|A-|великыи|-s---flpsi|веліцѣ|139|277300|| |1|1|0
печали|Nb|печаль|-s---fl--i|печалі|140|277300|| |1|1|0
бꙗаше|V-|быти|3siia----i|бꙗаше|23|277300|| |1|1|0
володимиръ|Ne|володимиръ|-s---mn--i|володіміръ|33|277300||· |1|1|0
зане|G-|зане|---------n|зане|141|277300|| |1|1|0
не|Df|не|---------n|не|56|277300|| |1|1|0
можааше|V-|мощи|3siia----i|можааше|142|277300|| |1|1|0
изити|V-|изити|--pna----i|ізіті|143|277300|| |1|1|0
противу|R-|противу|---------n|протіву|144|277300|| |1|1|0
имъ|Pp|и|3p---md--i|імъ|21|277300||· |1|1|0
и|C-|и|---------n|і|5|277301|| |1|1|0
много|Df|мъного|-------p-i|много|145|277301|| |1|1|0
печалѧаше|V-|печалити|3siia----i|печалꙗаше|146|277301|| |1|1|0
сꙗ|Pk|себе|3s---qa--i|сꙗ|17|277301||· |1|1|0
и|C-|и|---------n|і|5|277302|| |1|1|0
призъвавъ|V-|призъвати|-supamn-si|прізъвавъ|147|277302|| |1|1|0
бориса|Ne|борисъ|-s---mg--i|боріса|10|277302||· |1|1|0
ѥмуже|Pr|иже|-s---md--i|емуже|39|277302|| |1|1|0
бѣ|V-|быти|3siia----i|бѣ|23|277302|| |1|1|0
имꙗ|Nb|имя|-s---nn--i|імꙗ|148|277302|| |1|1|0
наречено|V-|нарещи|-suppnn-si|наречено|149|277302|| |1|1|0
въ|R-|въ|---------n|въ|1|277302|| |1|1|0
свѧтѣмь|A-|святыи|-s---nlpwi|свꙗтѣмь|8|277302|| |1|1|0
крьщении|Nb|крьщение|-s---nl--i|крьщеніі|41|277302|| |1|1|0
романъ|Ne|романъ|-s---ma--i|романъ|150|277302||· |1|1|0
блаженааго|A-|блаженыи|-s---mgpwi|блаженааго|151|277302|| |1|1|0
и|C-|и|---------n|і|5|277302|| |1|1|0
скоропослушьливааго|A-|скоропослушьливыи|-s---mgpwi|скоропослушьлівааго|152|277302||· |1|1|0
предавъ|V-|прѣдати|-supamn-si|предавъ|153|277302|| |1|1|0
воѣ|Nb|вои|-p---ma--i|воѣ|154|277302|| |1|1|0
мъногы|A-|мъногыи|-p---mapsi|мъногьі|113|277302|| |1|1|0
въ|R-|въ|---------n|въ|1|277302|| |1|1|0
руцѣ|Nb|рука|-d---fa--i|руцѣ|155|277302|| |1|1|0
ѥго|Pp|и|3s---mg--i|его|21|277302|| |1|1|0
посъла|V-|посълати|3saia----i|посъла|156|277302|| |1|1|0
и|Pp|и|3s---ma--i|і|21|277302|| |1|1|0
противу|R-|противу|---------n|протіву|144|277302|| |1|1|0
безбожьнымъ|A-|безбожьныи|-p---mdpwi|безбожьньімъ|157|277302|| |1|1|0
печенѣгомъ|Nb|печенѣгъ|-p---md--i|печенѣгомъ|132|277302||· |1|1|0
онъ|Pd|онъ|-s---mn--i|онъ|158|277303|| |1|1|0
же|Df|же|---------n|же|37|277303|| |1|1|0
съ|R-|съ|---------n|съ|159|277303|| |1|1|0
радостию|Nb|радость|-s---fi--i|радостію|160|277303|| |1|1|0
въставъ|V-|въстати|-supamn-si|въставъ|161|277303|| |1|1|0
иде|V-|ити|3saia----i|іде|135|277303|| |1|1|0
рекъ|V-|рещи|-supamn-si|рекъ|18|277303||: |1|1|0
Се|I-|се|---------n|се|111|277304|| |1|1|0
готовъ|A-|готовыи|-s---mnpsi|готовъ|162|277304|| |1|1|0
есмь|V-|быти|1spia----i|есмь|23|277304|| |1|1|0
предъ|R-|прѣдъ|---------n|предъ|163|277304|| |1|1|0
очима|Nb|око|-d---ni--i|очіма|164|277304|| |1|1|0
твоима|Ps|твои|2d---ni--i|твоіма|165|277304|| |1|1|0
сътворити|V-|сътворити|--pna----i|сътворіті|166|277304||· |1|1|0
елико|Pr|елико|---------n|еліко|167|277304|| |1|1|0
велить|V-|велѣти|3spia----i|веліть|168|277304|| |1|1|0
волꙗ|Nb|воля|-s---fn--i|волꙗ|169|277304|| |1|1|0
сьрдьца|Nb|сьрдьце|-s---ng--i|сьрдьца|170|277304|| |1|1|0
твоѥго|Ps|твои|2s---ng--i|твоего|165|277304||· |1|1|0
О|R-|о|---------n|о|51|277305|| |1|1|0
таковыихъ|A-|таковыи|-p---mlpwi|таковьііхъ|171|277305|| |1|1|0
бо|Df|бо|---------n|бо|172|277305|| |1|1|0
рече|V-|рещи|3saia----i|рече|18|277305|| |1|1|0
Притъчьникъ|Nb|притъчьникъ|-s---mn--i|прітъчьнікъ|173|277305||: |1|1|0
Сынъ|Nb|сынъ|-s---mn--i|сьінъ|34|277306|| |1|1|0
быхъ|V-|быти|1saia----i|бьіхъ|23|277306|| |1|1|0
отьцю|Nb|отьць|-s---md--i|отьцоу|14|277306|| |1|1|0
послушьливъ|A-|послушьливыи|-s---mnpsi|послушьлівъ|174|277306|| |1|1|0
и|C-|и|---------n|і|5|277306|| |1|1|0
любиимъ|V-|любити|-spppmn-si|любіімъ|91|277306|| |1|1|0
предъ|R-|прѣдъ|---------n|предъ|163|277306|| |1|1|0
лицьмь|Nb|лице|-s---ni--i|ліцьмь|80|277306|| |1|1|0
матере|Nb|мати|-s---fg--i|матере|62|277306|| |1|1|0
своеꙗ|Pt|свои|3s---fg--i|своеꙗ|175|277306||· |1|1|0
Ошедъшю|V-|отъити|-supamd-si|ошедъшоу|176|277307|| |1|1|0
же|Df|же|---------n|же|37|277307|| |1|1|0
ѥму|Pp|и|3s---md--i|ему|21|277307|| |1|1|0
и|C-|и|---------n|і|5|277307|| |1|1|0
не|Df|не|---------n|не|56|277307|| |1|1|0
обрѣтъшю|V-|обрѣсти|-supamd-si|обрѣтъшоу|177|277307|| |1|1|0
супостатъ|Nb|супостатъ|-p---mg--i|супостатъ|178|277307|| |1|1|0
своихъ|Pt|свои|3p---mg--i|своіхъ|175|277307||· |1|1|0
възвративъшю|V-|възвратити|-supamd-si|възвратівъшоу|179|277307|| |1|1|0
