torot_word|deep_cleaned
господине|господіне
мои|моі
къ|къ
кому|кому
прибѣгну|прібѣгну
къ|къ
кому|кому
възьрю|възьрю
къде|къде
ли|лі
насыщю|насъіщоу
сꙗ|сꙗ
таковааго|таковааго
благааго|благааго
учениꙗ|ученіꙗ
и|і
назаниꙗ|назаніꙗ
разума|разума
твоѥго|твоего
увы|увъі
мнѣ|мнѣ
увы|увъі
мнѣ|мнѣ
како|како
заиде|заіде
свѣте|свѣте
мои|моі
не|не
сущу|сущу
ми|мі
ту|ту
да|да
быхъ|бъіхъ
понѣ|понѣ
самъ|самъ
чьстьное|чьстьное
твоѥ|твое
тѣло|тѣло
своима|своіма
рукама|рукама
съпрꙗтꙗлъ|съпрꙗтꙗлъ
и|і
гробу|гробу
предалъ|предалъ
нъ|нъ
то|то
ни|ні
понесохъ|понесохъ
красоты|красотъі
мужьства|мужьства
тѣла|тѣла
твоего|твоего
ни|ні
съподобленъ|съподобленъ
быхъ|бъіхъ
цѣловати|цѣловаті
добролѣпьныхъ|добролѣпьнъіхъ
твоихъ|твоіхъ
сѣдинъ|сѣдінъ
нъ|нъ
о|о
блажениче|блаженіче
помꙗни|помꙗні
мꙗ|мꙗ
въ|въ
покои|покоі
твои|твоі
сьрдьце|сьрдьце
ми|мі
горить|горіть
душа|душа
ми|мі
съмыслъ|съмъіслъ
съмущаѥть|съмущаеть
и|і
не|не
вѣмь|вѣмь
къ|къ
кому|кому
ѡбратити|обратіті
сꙗ|сꙗ
и|і
къ|къ
кому|кому
сию|сію
горькую|горькую
печаль|печаль
простерети|простереті
къ|къ
брату|брату
ли|лі
ѥгоже|егоже
быхъ|бъіхъ
имѣлъ|імѣлъ
въ|въ
отьца|отьца
мѣсто|мѣсто
нъ|нъ
тъ|тъ
мьню|мьню
о|о
суѥтии|суетіі
мирьскыихъ|мірьскъііхъ
поучаѥть|поучаеть
сꙗ|сꙗ
и|і
о|о
биѥнии|біеніі
моѥмь|моемь
помышлꙗеть|помъішлꙗеть
да|да
аще|аще
кръвь|кръвь
мою|мою
пролѣѥть|пролѣеть
и|і
на|на
убииство|убііство
моѥ|мое
потъщить|потъщіть
сꙗ|сꙗ
мученикъ|мученікъ
буду|буду
господу|господу
моѥму|моему
азъ|азъ
бо|бо
не|не
противлю|протівлю
сꙗ|сꙗ
зане|зане
пишеть|пішеть
сѧ|сѧ
г҃ь|г҃ь
гърдыимъ|гърдъіімъ
противить|протівіть
сѧ|сѧ
съмѣренымъ|съмѣренъімъ
же|же
даѥть|даеть
бл҃годать|бл҃годать
апc҇лъ|апслъ
же|же
иже|іже
рече|рече
б҃а|б҃а
люблю|люблю
а|а
брата|брата
своѥго|своего
ненавидить|ненавідіть
лъжь|лъжь
ѥсть|есть
и|і
пакы|пакъі
боꙗзни|боꙗзні
въ|въ
любъви|любъві
нѣсть|нѣсть
съвьршенаꙗ|съвьршенаꙗ
любы|любъі
вънъ|вънъ
измещеть|ізмещеть
страхъ|страхъ
тѣмь|тѣмь
же|же
что|что
реку|реку
или|ілі
чьто|чьто
сътворю|сътворю
се|се
да|да
иду|іду
къ|къ
брату|брату
моѥму|моему
и|і
рекѹ|рекоу
тꙑ|тъі
ми|мі
бѹди|боуді
оц҃ь|оц҃ь
тꙑ|тъі
ми|мі
братъ|братъ
и|і
старѣи|старѣі
чьто|чьто
ми|мі
велиши|веліші
г҃и|г҃і
мои|моі
и|і
си|сі
на|на
умѣ|умѣ
си|сі
помышлꙗѧ|помъішлꙗѧ
идꙗаше|ідꙗаше
къ|къ
брату|брату
своѥму|своему
и|і
глаголааше|глаголааше
въ|въ
сьрдьци|сьрдьці
своѥмъ|своемъ
То|то
понѣ|понѣ
узьрю|узьрю
ли|лі
си|сі
лице|ліце
братьца|братьца
моѥго|моего
мьньшааго|мьньшааго
Глѣба|глѣба
ꙗко|ꙗко
же|же
Иѡсифъ|іосіфъ
Вениꙗмина|веніꙗміна
и|і
та|та
вьсѧ|вьсѧ
полагаꙗ|полагаꙗ
въ|въ
сьрдьци|сьрдьці
си|сі
волꙗ|волꙗ
твоꙗ|твоꙗ
да|да
будеть|будеть
господи|господі
мои|моі
помышлꙗше|помъішлꙗше
же|же
въ|въ
умѣ|умѣ
своѥмь|своемь
аще|аще
поиду|поіду
въ|въ
домъ|домъ
отьца|отьца
своѥго|своего
то|то
ꙗзыци|ꙗзъіці
мнози|мнозі
превратꙗть|превратꙗть
сьрдьце|сьрдьце
моѥ|мое
ꙗко|ꙗко
прогнати|прогнаті
брата|брата
моѥго|моего
ѧкоже|ѧкоже
и|і
отьць|отьць
мои|моі
преже|преже
свѧтаго|свѧтаго
крещениꙗ|крещеніꙗ
славы|славъі
ради|раді
и|і
кнꙗжениꙗ|кнꙗженіꙗ
мира|міра
сего|сего
и|і
иже|іже
все|все
мимоходить|мімоходіть
и|і
хуже|хуже
паучины|паучінъі
то|то
камо|камо
имамъ|імамъ
приити|прііті
по|по
ѡшьствии|ошьствіі
моѥмь|моемь
ѡтсюду|отсюду
какъ|какъ
ли|лі
убо|убо
обрꙗщю|обрꙗщоу
сꙗ|сꙗ
тъгда|тъгда
кыи|къіі
ли|лі
ми|мі
будеть|будеть
ѡтвѣтъ|отвѣтъ
къде|къде
ли|лі
съкрыю|съкръію
мъножьство|мъножьство
грѣха|грѣха
моѥго|моего
чьто|чьто
бо|бо
приобрѣтоша|пріобрѣтоша
преже|преже
братиꙗ|братіꙗ
отьца|отьца
моѥго|моего
или|ілі
отьць|отьць
мои|моі
къде|къде
бо|бо
ихъ|іхъ
житиꙗ|жітіꙗ
и|і
слава|слава
мира|міра
сего|сего
и|і
багрꙗница|багрꙗніца
и|і
брꙗчины|брꙗчінъі
сребро|сребро
и|і
золото|золото
вина|віна
и|і
медове|медове
брашьна|брашьна
чьстьнаꙗ|чьстьнаꙗ
и|і
быстрии|бъістріі
кони|коні
и|і
домове|домове
красьнии|красьніі
и|і
велиции|веліціі
и|і
имѣниꙗ|імѣніꙗ
многа|многа
и|і
дани|дані
и|і
чьсти|чьсті
бещисльны|бещісльнъі
и|і
гърдѣниꙗ|гърдѣніꙗ
ꙗже|ꙗже
о|о
болꙗрѣхъ|болꙗрѣхъ
своихъ|своіхъ
уже|уже
все|все
се|се
имъ|імъ
акы|акъі
не|не
было|бъіло
николиже|ніколіже
всꙗ|всꙗ
съ|съ
нимь|німь
ищезоша|іщезоша
и|і
нѣсть|нѣсть
помощи|помощі
ни|ні
отъ|отъ
когоже|когоже
сихъ|сіхъ
ни|ні
отъ|отъ
имѣниꙗ|імѣніꙗ
ни|ні
отъ|отъ
множьства|множьства
рабъ|рабъ
ни|ні
отъ|отъ
славы|славъі
мира|міра
сего|сего
тѣмь|тѣмь
и|і
Соломонъ|соломонъ
все|все
прошьдъ|прошьдъ
вьсꙗ|вьсꙗ
видѣвъ|відѣвъ
всꙗ|всꙗ
сътꙗжавъ|сътꙗжавъ
и|і
съвъкупивъ|съвъкупівъ
рече|рече
расмотривъ|расмотрівъ
вьсе|вьсе
сѹѥта|соуета
и|і
сѹѥтиѥ|соуетіе
сѹѥтию|соуетію
буди|буді
тъкмо|тъкмо
помощь|помощь
ѡт|от
добръ|добръ
дѣлъ|дѣлъ
и|і
отъ|отъ
правовѣриꙗ|правовѣріꙗ
и|і
отъ|отъ
нелицемѣрьныꙗ|неліцемѣрьнъіꙗ
любъве|любъве
Идыи|ідъіі
же|же
путьмь|путьмь
помышлꙗаше|помъішлꙗаше
о|о
красотѣ|красотѣ
и|і
о|о
доброте|доброте
телесе|телесе
своѥго|своего
и|і
сльзами|сльзамі
разливааше|разлівааше
сꙗ|сꙗ
вьсь|вьсь
и|і
хотѧ|хотѧ
удрьжати|удрьжаті
сꙗ|сꙗ
и|і
не|не
можааше|можааше
и|і
вси|всі
зьрꙗще|зьрꙗще
ѥго|его
тако|тако
плакааше|плакааше
сꙗ|сꙗ
о|о
доброродьнѣмь|доброродьнѣмь
тѣлѣ|тѣлѣ
и|і
чьстьнѣмь|чьстьнѣмь
разумѣ|разумѣ
въздраста|въздраста
ѥго|его
и|і
къжьдо|къжьдо
въ|въ
души|душі
своѥи|своеі
стонааше|стонааше
горестию|горестію
сьрдьчьною|сьрдьчьною
и|і
вси|всі
съмущааху|съмущааху
сꙗ|сꙗ
о|о
печали|печалі
къто|къто
бо|бо
не|не
въсплачеть|въсплачеть
сѧ|сѧ
съмрьти|съмрьті
тоѣ|тоѣ
пагубьноѣ|пагубьноѣ
приводꙗ|пріводꙗ
предъ|предъ
очи|очі
сьрдьца|сьрдьца
своѥго|своего
образъ|образъ
бо|бо
бꙗаше|бꙗаше
унылъи|унъілъі
ѥго|его
възоръ|възоръ
и|і
скрушение|скрушеніе
сьрдьца|сьрдьца
ѥго|его
свѧтаго|свѧтаго
такъ|такъ
бо|бо
бѣ|бѣ
блаженыи|блаженъіі
тъ|тъ
правьдивъ|правьдівъ
и|і
щедръ|щедръ
тихъ|тіхъ
крътъкъ|крътъкъ
съмѣренъ|съмѣренъ
всѣхъ|всѣхъ
милуꙗ|мілуꙗ
и|і
вьсꙗ|вьсꙗ
набъдꙗ|набъдꙗ
помышлꙗть|помъішлꙗть
же|же
въ|въ
ср҃дци|ср҃дці
своемь|своемь
богоблаженыи|богоблаженъіі
Борисъ|борісъ
и|і
глаголааше|глаголааше
вѣдѣ|вѣдѣ
брата|брата
моѥго|моего
зълу ради|зълураді
чловѣци|чловѣці
понудꙗти|понудꙗті
и|і
на|на
ѹбииство|оубііство
моѥ|мое
и|і
погубить|погубіть
мѧ|мѧ
да|да
аще|аще
пролѣеть|пролѣеть
кръвь|кръвь
мою|мою
то|то
мученикъ|мученікъ
буду|буду
Господу|господу
моѥму|моему
а|а
духъ|духъ
мои|моі
прииметь|прііметь
владыка|владъіка
таче|таче
забывъ|забъівъ
скърбь|скърбь
съмьртьную|съмьртьную
тѣшааше|тѣшааше
сьрдьце|сьрдьце
свое|свое
словеси|словесі
божии|божіі
иже|іже
погубити|погубіті
душю|душоу
свою|свою
мене|мене
ради|раді
и|і
моихъ|моіхъ
словесъ|словесъ
обрꙗщети|обрꙗщеті
ю|ю
въ|въ
животѣ|жівотѣ
вѣчьнѣмь|вѣчьнѣмь
съхранить|съхраніть
ю|ю
и|і
поиде|поіде
радъстьнъмь|радъстьнъмь
срд҃цьмь|срд҃цьмь
не|не
презьри|презьрі
мене|мене
рекыи|рекъіі
г҃и|г҃і
премл҃стве|премл҃стве
уповающааго|уповающааго
на|на
тѧ|тѧ
нъ|нъ
сп҃си|сп҃сі
дш҃ю|дш҃ю
мою|мою
Ст҃опълкъ|ст҃опълкъ
же|же
сѣдꙗ|сѣдꙗ
Кыѥвѣ|къіевѣ
по|по
оц҃и|оц҃і
призвавъ|прізвавъ
кыꙗны|къіꙗнъі
многы|многъі
дары|даръі
имъ|імъ
давъ|давъ
ѡ҃пусти|о҃пусті
посла|посла
же|же
къ|къ
Борису|борісу
гл҃ꙗ|гл҃ꙗ
брате|брате
хочю|хочоу
съ|съ
тобою|тобою
любъвь|любъвь
имѣти|імѣті
и|і
къ|къ
отьню|отьню
ти|ті
придамь|прідамь
льстьно|льстьно
а|а
не|не
истину|істіну
гл҃ꙗ|гл҃ꙗ
пришедъ|прішедъ
Вышегороду|въішегороду
ночь|ночь
отаи|отаі
призъва|прізъва
Путьшю|путьшоу
и|і
вышегородьскыѣ|въішегородьскъіѣ
мужѣ|мужѣ
и|і
рече|рече
имъ|імъ
Повѣдите|повѣдіте
ми|мі
по|по
истинѣ|істінѣ
приꙗзньство|пріꙗзньство
имѣете|імѣете
ли|лі
къ|къ
мнѣ|мнѣ
Путьша|путьша
рече|рече
вьси|вьсі
мы|мъі
можемъ|можемъ
главы|главъі
своꙗ|своꙗ
положити|положіті
за|за
тѧ|тѧ
видѣвъ|відѣвъ
же|же
диꙗволъ|діꙗволъ
и|і
искони|ісконі
ненавидꙗи|ненавідꙗі
добра|добра
чл҃вка|чл҃вка
ꙗко|ꙗко
вьсю|вьсю
надежю|надежоу
свою|свою
на|на
г҃а|г҃а
положилъ|положілъ
есть|есть
ст҃ыи|ст҃ъіі
Борисъ|борісъ
начатъ|начатъ
подвижьнѣи|подвіжьнѣі
бываати|бъівааті
и|і
обрѣтъ|обрѣтъ
ꙗко|ꙗко
же|же
преже|преже
Каина|каіна
на|на
братоубииство|братоубііство
горꙗща|горꙗща
тако|тако
же|же
и|і
Ст҃опълка|ст҃опълка
по|по
истинѣ|істінѣ
въторааго|въторааго
Каина|каіна
улови|улові
мысль|мъісль
ѥго|его
ꙗко|ꙗко
да|да
избиѥть|ізбіеть
всꙗ|всꙗ
наслѣдьникы|наслѣдьнікъі
оц҃а|оц҃а
своѥго|своего
а|а
самъ|самъ
приимьть|пріімьть
единъ|едінъ
въсю|въсю
власть|власть
тъгда|тъгда
призъва|прізъва
къ|къ
себе|себе
оканьныи|оканьнъіі
трьклꙗтыи|трьклꙗтъіі
Свꙗтопълкъ|свꙗтопълкъ
съвѣтьникы|съвѣтьнікъі
всему|всему
злу|злу
и|і
началникы|началнікъі
всеи|всеі
неправьдѣ|неправьдѣ
и|і
отъвьрзъ|отъвьрзъ
пресквьрньнаꙗ|пресквьрньнаꙗ
уста|уста
рече|рече
испусти|іспусті
зълыи|зълъіі
гласъ|гласъ
Путьшинѣ|путьшінѣ
чади|чаді
аще|аще
убо|убо
главы|главъі
своꙗ|своꙗ
обѣщасте|обѣщасте
сꙗ|сꙗ
положити|положіті
за|за
мѧ|мѧ
шедъше|шедъше
убо|убо
братиꙗ|братіꙗ
моꙗ|моꙗ
отаи|отаі
къде|къде
обрѧщете|обрѧщете
брата|брата
моѥго|моего
Бориса|боріса
съмотрьше|съмотрьше
времѧ|времѧ
убиите|убііте
и|і
и|і
обѣщаша|обѣщаша
сꙗ|сꙗ
ѥму|ему
тако|тако
створити|створіті
О|о
таковыихъ|таковъііхъ
бо|бо
рече|рече
пророкъ|пророкъ
Скори|скорі
суть|суть
кръвь|кръвь
пролиꙗти|проліꙗті
бес|бес
правьды|правьдъі
Си|сі
бо|бо
обѣщавають|обѣщавають
сꙗ|сꙗ
кръви|кръві
и|і
събирають|събірають
себе|себе
злаꙗ|злаꙗ
Сихъ|сіхъ
путьѥ|путье
суть|суть
събирающеи|събірающеі
безаконие|безаконіе
нечистиемь|нечістіемь
свою|свою
душю|душоу
обиемлють|обіемлють
блаженыи|блаженъіі
же|же
Борисъ|борісъ
ꙗкоже|ꙗкоже
сꙗ|сꙗ
бѣ|бѣ
воротилъ|воротілъ
и|і
сталъ|сталъ
бѣ|бѣ
на|на
Льтѣ|льтѣ
шатьры|шатьръі
и|і
рѣша|рѣша
къ|къ
нему|нему
дружина|дружіна
поиди|поіді
сѧди|сѧді
Кыевѣ|къіевѣ
на|на
столѣ|столѣ
отьни|отьні
се|се
бо|бо
вси|всі
вои|воі
въ|въ
руку|руку
твоѥю|твоею
суть|суть
онъ|онъ
же|же
имъ|імъ
отъвѣщааваше|отъвѣщааваше
Не|не
буди|буді
ми|мі
възꙗти|възꙗті
рукы|рукъі
на|на
брата|брата
своѥго|своего
и|і
еще|еще
же|же
и|і
на|на
старѣиша|старѣіша
мене|мене
егоже|егоже
быхъ|бъіхъ
имѣлъ|імѣлъ
акы|акъі
отьца|отьца
си|сі
слышавъше|слъішавъше
вои|воі
разидоша|разідоша
сꙗ|сꙗ
от|от
него|него
а|а
самъ|самъ
оста|оста
тъкъмо|тъкъмо
съ|съ
отрокы|отрокъі
своими|своімі
и|і
бꙗаше|бꙗаше
въ|въ
дьнь|дьнь
суботьныи|суботьнъіі
въ|въ
тузѣ|тузѣ
и|і
печали|печалі
удручьнъмь|удручьнъмь
сьрдьцьмь|сьрдьцьмь
и|і
вълѣзъ|вълѣзъ
въ|въ
шатьръ|шатьръ
свои|своі
плакаше|плакаше
сꙗ|сꙗ
съкрушенъмь|съкрушенъмь
сьрдьцьмь|сьрдьцьмь
а|а
душею|душею
радостьною|радостьною
жалостьно|жалостьно
гласъ|гласъ
испущааше|іспущааше
Сльзъ|сльзъ
моихъ|моіхъ
не|не
презьри|презьрі
владыко|владъіко
да|да
ꙗко|ꙗко
же|же
уповаю|уповаю
на|на
тѧ|тѧ
тако|тако
да|да
с|с
твоими|твоімі
рабы|рабъі
прииму|прііму
часть|часть
и|і
жребии|жребіі
съ|съ
вьсѣми|вьсѣмі
свѧтыими|свѧтъіімі
твоими|твоімі
ꙗко|ꙗко
ты|тъі
еси|есі
богъ|богъ
милостивъ|мілостівъ
и|і
тебе|тебе
славу|славу
въсылаемъ|въсъілаемъ
въ|въ
вѣкы|вѣкъі
Аминь|амінь
помышлꙗшеть|помъішлꙗшеть
же|же
мучение|мученіе
и|і
страсть|страсть
свꙗтаго|свꙗтаго
мученика|мученіка
Никиты|нікітъі
и|і
свꙗтаго|свꙗтаго
Вꙗчеслава|вꙗчеслава
подобно|подобно
же|же
сему|сему
бывъшю|бъівъшоу
убиению|убіенію
бывъшю|бъівъшоу
и|і
како|како
свѧтѣи|свѧтѣі
Варварѣ|варварѣ
отьць|отьць
свои|своі
убоица|убоіца
бысть|бъість
и|і
помышлꙗаше|помъішлꙗаше
слово|слово
премудрааго|премудрааго
Соломона|соломона
правьдьници|правьдьніці
въ|въ
вѣкы|вѣкъі
живуть|жівуть
и|і
отъ|отъ
господа|господа
мьзда|мьзда
имъ|імъ
и|і
строение|строеніе
имъ|імъ
от|от
вышьнꙗаго|въішьнꙗаго
и|і
о|о
семь|семь
словеси|словесі
тъчию|тъчію
утѣшааше|утѣшааше
сꙗ|сꙗ
и|і
радовааше|радовааше
сꙗ|сꙗ
таче|таче
бысть|бъість
вечеръ|вечеръ
и|і
повелѣ|повелѣ
пѣти|пѣті
вечерънюю|вечерънюю
а|а
самъ|самъ
вълѣзъ|вълѣзъ
въ|въ
шатьръ|шатьръ
свои|своі
начатъ|начатъ
молитву|молітву
творити|творіті
вечернюю|вечернюю
съ|съ
сльзами|сльзамі
горькыми|горькъімі
и|і
частыимь|частъіімь
въздыханиѥмь|въздъіханіемь
и|і
стонаниѥмь|стонаніемь
многымь|многъімь
по|по
сихъ|сіхъ
леже|леже
съпати|съпаті
и|і
бꙗше|бꙗше
сънъ|сънъ
его|его
въ|въ
