3563,кьнігъі
75,се
2130,англъ
2165,гнь
60,вь
3024,сьнѣ
1009,ѣві
57,сѧ
119,емоу
350,глѧ
1025 10,іосіф|е
3144,сне
33 2393,д|двъ
46,не
3171,оубоі
57,сѧ
1361,пріѧті
1605,женъі
1352,твоеѧ
585 23,марі|ѧ
1790 10,сѫште|е
66,бо
60,вь
753,неі
179,от
1830,дха
118,ста
140,естъ
543 31,роді|т
41,же
560,сна
15,і
5021,наречеші
385,імѧ
119,емоу
258,ісъ
38,тъ
66,бо
2110 38,спсе|тъ
673,люді
504,своѧ
297,оть
1569,грѣхъ
123,іхъ
75,се
41,же
346,вьсе
649,бъіс
55,да
54 4077,съ|бѫдет
57,сѧ
2745,реченое
74,отъ
152,га
296 336 13,іса|іе|м
1681 2320,прр|кмъ
155 711,гл|штемъ
75,се
91 64,дѣ|ва
39,въ
3834,чрѣвѣ
1989,прііметъ
15,і
4429,родітъ
560,сна
15,і
47 1838,на|рекѫтъ
385,імѧ
119,емоу
10 9 105 210 15 134,е|н|ма|ноу|і|ль
234,еже
140,естъ
131 763 1889,сь|каза|емо
131,сь
1363,намі
189,бъ
1165,въставъ
41,же
1025 24,іосіф|ь
74,отъ
131 47,сь|на
2798,сьтворі
242,ѣкоже
370,повелѣ
119,емоу
2130,англъ
15,і
1308,пріѧтъ
1174,женѫ
554,своѭ
15,і
46,не
316 148,зна|аше
758,еѧ
2161,дондеже
543,роді
325,снъ
371,своі
505 59 3910,пръ|вѣ|нець
15,і
1266,нарече
385,імѧ
119,емоу
258,ісъ
15,і
47 82 7,на|ре|ч
385,імѧ
119,емоу
258,ісъ
925,ісоу
100 762 284,ро|ждь|шоу
57,сѧ
39,въ
4911 117 11 89,віѳ|ле|о|мі
892 369 87,іюдеі|стѣ|мь
39,въ
416,дьні
15 1537,і|рода
2221,црѣ
75,се
1130 1023,влъ|сві
74,отъ
2912 260,въсто|кь
823,прідѫ
39,въ
2227 1207,іер|лмъ
1246,глште
3755,кьде
140,естъ
2069 15,рожде|і
57,сѧ
658,црь
479 98 260,іюде|іс|кь
1973,відѣхомъ
66,бо
2785 146,звѣз|дѫ
102,его
47,на
60 160 162,вь|сто|цѣ
15,і
78 403,прі|домъ
1424 38,поклоні|тъ
57,сѧ
119,емоу
788,слъішавъ
41,же
2099,іродъ
658,црь
131 1799,сь|мѧте
57,сѧ
15,і
1107,весь
2227 3463,іер|слмъ
54,съ
409,німъ
15,і
3344 39,събьра|въ
530,вьсѧ
564 23,архіере|ѧ
15,і
3464 889,кьніжь|нікъі
1281 1143,людь|скъіѧ
2568,въпрашааше
23,ѧ
3755,кьде
62,хъ
53 3668,ра|ждаетъ
57,сѧ
493,оні
41,же
390,рѣшѧ
119,емоу
39,въ
4911 117 11 89,віѳ|ле|о|мі
892 1962,іюдеі|стѣі
244,тако
66,бо
1928,пісано
140,естъ
15,і
183,тъі
4911 117 10 137,віѳ|ле|е|ме
3258,земле
326 691,ію|дова
1751 114,ніч|імъ
41,же
2673 106,мень|ші
243,есі
60,вь
3355 33 97 62,вл|д|ка|хъ
326 691 62,ію|дова|хъ
98,іс
523,тебе
66,бо
4438,ізідетъ
52 599,во|ждъ
182,іже
37 2867 38,оу|пасе|тъ
673,люді
504,своѧ
15 94,і|лѣ
783,тогда
2099,іродъ
695,таі
78 2370 39,прі|зьва|въ
927 8 138,вль|х|въі
2983,іспъіта
179,от
400,ніхъ
666,врѣмѧ
32 927 1715,ѣ|вль|шѧѧ
57,сѧ
4771,звѣздъі
15,і
3030 60,посьла|вь
23,ѧ
39,въ
4911 117 1018,віѳ|ле|омъ
120,рече
71 126 71,ше|дь|ше
2983 334,іспъіта|іте
144 1042 69,із|вѣстъ|но
11,о
1647 58,отрочѧ|ті
15,і
246,егда
3156,обрѧштете
2011 65,вьзвѣсті|те
89,мі
55,да
15,і
582,азь
383,шедъ
1893 877,покло|нѭ
57,сѧ
119,емоу
493,оні
41,же
562 248,послоуша|въше
2221,црѣ
478,ідѫ
15,і
75,се
2785 55,звѣз|да
1100,ѭже
1054,відѣшѧ
47,на
60 160 162,вь|сто|цѣ
1437,ідѣаше
1602,прѣдь
864,німі
2882,доідеже
1582 2718,пріше|дші
118,ста
3277,връхоу
579,ідеже
103,бѣ
1647,отрочѧ
989,відѣвъше
41,же
2785 146,звѣз|дѫ
963 90 580,въздра|до|ваше
57,сѧ
2387,радостіѭ
2387,радостіѭ
267 1932,велі|еѭ
646,зѣло
15,і
1730 71,въшедъ|ше
39,въ
4176,храмінѫ
1054,відѣшѧ
1647,отрочѧ
54,съ
585 1932,марі|еѭ
13 464 2,м|трі|ѭ
102,его
15,і
1163 71,падъ|ше
4432,поклонішѧ
57,сѧ
119,емоу
15,і
1003 198 71,отвръ|зь|ше
3057,съкровішта
1410,своѣ
78 3417,прі|нѣсѧ
119,емоу
2751,даръі
2637,злато
15,і
2531 68,ліва|нъ
15,і
18 1504 20 147,з|му|р|нѫ
15,і
3845,отъвѣтъ
1526 71,пріемъ|ше
39,въ
3024,сьнѣ
46,не
4185,възвратішѧ
57,сѧ
260,кь
15 2684,і|родоу
68,нъ
3261,інѣмъ
372 4537,пѫ|темъ
4940,отідѫ
39,въ
1912,странѫ
554,своѭ
11 383 1399,о|шедъ|шемъ
1130 8 1535,влъ|х|вомъ
75,се
2130,англъ
2165,гнь
1009,ѣві
57,сѧ
39,въ
3909,сънѣ
1025 37,іосіф|оу
350,глѧ
1165,въставъ
51 792,по|імі
1647,отрочѧ
15,і
13 436,м|трь
102,его
15,і
103 111,бѣ|жі
39,въ
2846 211 38,егу|пе|тъ
15,і
869,бѫді
247,тоу
2882,доідеже
997,рекѫ
58,ті
1213,хоштетъ
66,бо
2099,іродъ
453 58,іска|ті
1647 65,отрочѧ|те
55,да
1406,погоубітъ
10,е
11 2150 13,о|шедъше|м
274,онъ
41,же
1165,въставъ
2669,поѧтъ
1647,отрочѧ
15,і
13 328,м|тръ
102,его
2302,ноштіѭ
15,і
1157,отіде
39,въ
2846 211 38,егу|пе|тъ
15,і
103,бѣ
247,тоу
90,до
37 716 70 32,оу|мрът|ві|ѣ
4155 691,іро|дова
55,да
3695,събѫдетъ
57,сѧ
2745,реченое
179,от
152,га
1681 2320,прр|кмъ
155 711,гл|штемъ
179,от
3201 116,егуп|та
2457 62,възъва|хъ
325,снъ
250,моі
783,тогда
2099,іродъ
553,відѣвъ
86,ѣко
3102 68,порѫга|нъ
649,бъіс
74,отъ
1130 8 39,влъ|х|въ
4773,ізбі
2186,всѧ
681 130,отро|къі
4294,сѫштѧѧ
39,въ
4911 117 2620,віѳ|ле|емі
15,і
39,въ
1852,всѣхъ
109 2025 62,прѣ|дѣлѣ|хъ
758,еѧ
74,отъ
3809,двою
3167,лѣтоу
15,і
43 41,ні|же
51,по
3167,лѣтоу
234,еже
2983,іспъіта
74,отъ
1130 8 39,влъ|х|въ
783,тогда
54 649,съ|бъіс
57,сѧ
2745,реченое
494 89 602,іере|мі|емь
1681 2320,прр|кмъ
155 711,гл|штемъ
2827,глас
39,въ
53 133,ра|мѣ
270 68,слъіша|нъ
649,бъіс
2985,плачь
15,і
4633 161,ръіда|ніе
15,і
39 483,въ|пль
4606,многь
53 1835 134,ра|хі|ль
2021 150,плачѫ|шті
57,сѧ
2317,чѧдъ
686,своіхъ
15,і
46,не
1216,хотѣаше
1804 2628,оутѣ|шіті
57,сѧ
86,ѣко
46,не
331,сѫтъ
4079 20 284,оуме|р|шоу
41,же
15 2684,і|родоу
75,се
2130,англъ
1873,гнъ
39,въ
3024,сьнѣ
1009,ѣві
57,сѧ
1025 37,іосіф|оу
39,въ
3201 171,егуп|тѣ
350,глѧ
1165,въставъ
51 792,по|імі
1647,отрочѧ
15,і
380,мрь
102,его
15,і
733,іді
39,въ
1198,землѭ
144 35 263,із|л|вѫ
144 13 390,із|м|рѣшѧ
66,бо
2029 488,іскѫ|штіі
1587,дшѧ
1647 65,отрочѧ|те
274,онъ
41,же
1165,въставъ
2669,поѧтъ
1647,отрочѧ
15,і
13 328,м|тръ
102,его
15,і
1576,въніде
39,въ
1198,землѭ
144 117 263,із|ле|вѫ
788,слъішавъ
41,же
86,ѣко
466 15 56 15,арх|і|ла|і
393 514 217,цр|ствоу|етъ
39,въ
892,іюдеі
39,въ
15 1537,і|рода
592,мѣсто
539,оца
435,своего
1386,оубоѣ
57,сѧ
2044,тамо
741,іті
3551,вѣсть
41,же
1526,пріемъ
39,въ
3909,сънѣ
1157,отіде
39,въ
1912,странѫ
804 2029,галіле|іскѫ
15,і
746,прішедъ
1085 61,въсе|лі
57,сѧ
39,въ
533,градъ
2506,наріцаемъі
5014,назаретъ
55,да
3695,събѫдетъ
57,сѧ
2745,реченое
1681 2320,прр|кмъ
86,ѣко
3596 15,назаре|і
3051,наречетъ
57,сѧ
338,пріде
1058,іоанъ
815 42 134,кр|ст|ль
2909,проповѣдаѧ
39,въ
1374,поустъіні
2227 55 9 1962,іер|да|н|стѣі
350,глѧ
446 334,пока|іте
57,сѧ
1408,прібліжі
66,бо
57,сѧ
2405,црство
9 156 131 373,н|бе|сь|ное
131,сь
66,бо
140,естъ
120 329,рече|нъіі
2416 286,ісаі|емъ
1681 2320,прр|кмъ
155 711,гл|штемъ
2827,глас
1714 2034,въпі|ѭштааго
39,въ
1374,поустъіні
939 334,оуготова|іте
882,пѫть
2165,гнь
186 138,пра|въі
1192,творіте
169 1465,сть|зѧ
102,его
125 913,са|мже
1058,іоанъ
1664,імѣаше
3038,різѫ
554,своѭ
179,от
348 54,вла|съ
3894 599,вельбѫ|ждъ
15,і
1709 54,поѣ|съ
37 22 236 68,оу|с|ніѣ|нъ
11,о
1161 315 62,чрѣ|слѣ|хъ
686,своіхъ
4847,ѣдь
41,же
102,его
103,бѣ
16 1722 73,а|крі|ді
15,і
137 95,ме|дъ
73 1262,ді|віі
783,тогда
3800,ісхождааше
260,кь
321,немоу
1107,весь
2227 1207,іер|лмъ
15,і
892,іюдеі
15,і
516,всѣ
238 47,стра|на
2227 55 9 382,іер|да|н|ска
15,і
815 129 158,кр|шта|хѫ
57,сѧ
179,от
426,него
39,въ
2227 3895 1962,іер|данъ|стѣі
76 162,рѣ|цѣ
899 310,ісповѣда|ѭште
1627,грѣхъі
504,своѧ
553,відѣвъ
41,же
706,многъі
529 2462,фарі|сеѧ
15,і
4320 12 758,садоу|к|еѧ
979 285,грѧдѫ|штѧ
47,на
815 1209,кр|штеніе
102,его
120,рече
114,імъ
2731 608,іштѧ|діѣ
10 1835 95 1710,е|хі|дъ|нова
292,кто
1127,съказа
207,вамъ
4274,бѣжаті
179,от
979 1004,грѧдѫ|штааго
773,гнѣва
2340,сътворіте
180,оубо
3848,плодъі
855 108,достоі|нъі
1258 588,покаа|нію
15,і
46,не
3311 334,начіна|іте
1188,глаті
39,въ
356,себѣ
539,оца
985,імамъ
4277,авраама
223,глѭ
66,бо
207,вамъ
86,ѣко
612,можетъ
189,бъ
179,от
589 236,каме|ніѣ
275,сего
2026 3590,въздві|гнѫті
1297,чѧда
1131 77,авраа|моу
1062,юже
66,бо
15,і
75 130 53,се|къі|ра
78,прі
1802 43,коре|ні
3526,дрѣва
3224,лежітъ
2780,всѣко
180,оубо
1307,дрѣво
234,еже
46,не
880,творітъ
1367,плода
1521,добра
2062 97 1889,посѣ|ка|емо
3587,бъіваетъ
15,і
39,въ
4766,огнъ
4076 1889,въмѣта|емо
231,азъ
180,оубо
815 3481,кр|штаѭ
138,въі
2909,проповѣдаѧ
3536,покааніе
1387,грѧдъі
41,же
51,по
485,мнѣ
754 1283 15,крѣ|пле|і
227,мене
140,естъ
862,емоуже
1915,нѣсмъ
855,достоі
125 618,са|погоу
4060 115,поне|сті
38,тъ
138,въі
815 2969,кр|стітъ
2564,дхмъ
42 13,ст|м
338,пріде
258,ісъ
179,от
2764,галілеѧ
47,на
2227 3895,іер|данъ
1466 31,кръсті|т
57,сѧ
179,от
426,него
338,пріде
98,іс
179,от
16 82 116,а|ре|та
804 453 172,галіле|іска|аго
15,і
4638,крсті
57,сѧ
11,о
1242,іоана
39,въ
3133 55 96,ер|да|нѣ
1058,іоанъ
41,же
143 235 3728,въз|бра|нѣаше
119,емоу
350,глѧ
231,азъ
1338 2,трѣбоу|ѭ
81 30 2,то|б|ѭ
815 1960,кр|стіті
57,сѧ
16,а
183,тъі
61,лі
410 3160,грѧ|деші
260,кь
1964,мънѣ
4899,отвѣштавъ
41,же
258,ісъ
120,рече
260,кь
321,немоу
4306,остані
377,нъінѣ
244,тако
66,бо
1856 69,подоб|но
140,естъ
378,намъ
794 1325,ісплъ|ніті
2526 2,вс|ѭ
2717,правьдѫ
783,тогда
15,і
550,оставі
349 513,кръ|штъ
41,же
57,сѧ
258,ісъ
4180,възіде
503,абіе
74,отъ
1158,водъі
15,і
75,се
3550 57,отврѣ|сѧ
57,сѧ
119,емоу
4129,нбса
15,і
196,відѣ
647,дхъ
659,бжіі
2567 513,съходѧ|штъ
86,ѣко
2793 189,голѫ|бъ
15,і
979 304,грѧдѫ|шть
47,на
104,нь
15,і
503,абіе
2529,въсходѧ
179,от
1158,водъі
196,відѣ
174 3994 129,раз|водѧ|шта
57,сѧ
4129,нбса
15,і
647,дхъ
86,ѣко
2793 215,голѫ|бь
2567 513,съходѧ|штъ
47,на
104,нь
15,і
75,се
2827,глас
54,съ
1414,нбсе
350,глѧ
131,сь
140,естъ
325,снъ
250,моі
3174 329,възлюбле|нъіі
11,о
3398,немъже
4154 62,благоволі|хъ
15,і
2827,глас
649,бъіс
54,съ
1414,нбсе
183,тъі
243,есі
325,снъ
250,моі
143 154 156 329,въз|лю|бе|нъіі
11,о
281,тебѣ
4154 62,благоволі|хъ
4986 68,възведе|нъ
649,бъіс
98,іс
2564,дхмъ
39,въ
4097,поустъінѭ
3573 38,іскоусі|тъ
57,сѧ
179,от
4254,діѣвола
15,і
2588,пості
57,сѧ
1044,дьніі
12,к
15,і
69 488,но|штіі
12,к
65,те
770 73,послѣ|ді
41,же
737 1333 97,възь|ал|ка
15,і
3448,прістѫпль
3573 398,іскоусі|тель
120,рече
119,емоу
163,аште
325,снъ
243,есі
659,бжіі
1148,рьці
55,да
2908,каменіе
75,се
452 141,хлѣ|бі
1118 31,бѫдѫ|т
274,онъ
41,же
17 3083,в|ставъ
120,рече
1928,пісано
140,естъ
46,не
11,о
452 103,хлѣ|бѣ
431 44,едіно|мъ
1202,жівъ
273,бѫдетъ
1119,члкъ
68,нъ
15,і
11,о
1356 44,вьсѣко|мъ
27 94,г|лѣ
1607 496,ісходѧ|штіімъ
1660,ізъ
1224,оустъ
659,бжіі
783,тогда
2669 15,поѧтъ|і
1970,діѣволъ
39,въ
228,стъі
533,градъ
15,і
1088,поставі
15,і
47,на
1722 94,крі|лѣ
393 50 1196 3029,цр|ко|вьнѣ|ам
15,і
120,рече
119,емоу
163,аште
325,снъ
243,есі
659,бжіі
230 232,връ|зі
57,сѧ
43 2012,ні|зоу
1928,пісано
66,бо
140,естъ
86,ѣко
317 27 871,ан|г|ломъ
607,своімъ
583 80,заповѣ|стъ
11,о
281,тебѣ
15,і
47,на
1180 62,рѫка|хъ
737 3591,възь|мѫтъ
229,тѧ
55,да
46,не
109 38 12 2887,прѣ|тъ|к|неші
11,о
1309,камень
5016,ногъі
1352,твоеѧ
120,рече
119,емоу
258,ісъ
323,пакъі
1928,пісано
140,естъ
46,не
3573 106,іскоусі|ші
152,га
193,ба
435,своего
323,пакъі
2669 15,поѧтъ|і
1970,діѣволъ
47,на
1538,горѫ
3283 266,въісо|кѫ
646,зѣло
15,і
1189,показа
119,емоу
516,всѣ
4264,црствіѣ
3708,въсего
704,міра
15,і
1090,славѫ
123,іхъ
15,і
120,рече
119,емоу
1621,въса
495,сіі
281,тебѣ
2848,дамъ
163,аште
1163,падъ
1424 106,поклоні|ші
89,мі
57,сѧ
783,тогда
120,рече
119,емоу
258,ісъ
722 73,оті|ді
1548 69,сото|но
1928,пісано
66,бо
140,естъ
1154,гю
347,боу
1215,своемоу
1424 106,поклоні|ші
57,сѧ
15,і
546,томоу
2046,едіномоу
1967 111 106,послоу|жі|ші
783,тогда
15,і
550,оставі
1970,діѣволъ
15,і
75,се
2272,прістѫпішѧ
4341,англі
659,бжіі
15,і
261 2024,слоу|жаахѫ
119,емоу
788,слъішавъ
258,ісъ
86,ѣко
1058,іоанъ
3003,прѣданъ
649,бъіс
1157,отіде
39,въ
2471,галілеѭ
4800,оставль
5014,назаретъ
15,і
746,прішедъ
1085 61,въсе|лі
57,сѧ
39,въ
2327 20 2794,капе|р|наоумъ
39,въ
752 2400,помо|ріе
39,въ
109 2025 62,прѣ|дѣлѣ|хъ
107 60 756 123,за|вь|лоні|іхъ
15,і
46 17 116 61 13 61 62,не|в|та|лі|м|лі|хъ
55,да
3695,събѫдетъ
57,сѧ
2745,реченое
2416 286,ісаі|емъ
1681 2320,прр|кмъ
155 711,гл|штемъ
1527,землѣ
107 17 88 47,за|в|ло|на
15,і
1527,землѣ
46 17 116 61 133,не|в|та|лі|мѣ
4124,пѫтъ
2570,морѣ
151,об
274,онъ
1532,полъ
3883 3067,іор|дана
804 16,галіле|а
2590,ѧзкъ
1942,людіе
911 488,сѣдѧ|штіі
39,въ
3371,тьмѣ
1054,відѣшѧ
3592,свѣт
2633,веліі
15,і
911 219 488,сѣдѧ|дѧ|штіі
39,въ
3522,странѣ
3592,свѣт
1190 32,въсі|ѣ
114,імъ
179,от
81 94,то|лѣ
1037,начѧтъ
258,ісъ
3799,проповѣдаті
15,і
1188,глаті
446 334,пока|іте
57,сѧ
1408,прібліжі
66,бо
57,сѧ
2405,црство
1358 373,нбс|ное
397,ходѧ
258,ісъ
78,прі
1522,морі
2464 369 16 87,галілеі|стѣ|а|мь
196,відѣ
819,дъва
2561,брата
2642,сімона
4308,наріцаемааго
1876,петра
15,і
317 1653 16,ан|дре|а
2561,брата
102,его
4076 625,въмѣта|ѭшта
3054,мрѣжѧ
39,въ
1270,море
5006,бѣсте
66,бо
88 17 175,ло|в|ца
15,і
120,рече
202,іма
410 3714,грѧ|дѣта
51,по
343,мьнѣ
15,і
2300,сътворѭ
138,въі
88 17 175,ло|в|ца
3816,чкомъ
832,она
41,же
503,абіе
544 1130 139,оста|влъ|ша
3054,мрѣжѧ
51,по
623,немъ
3881,ідете
15,і
109 383,прѣ|шедъ
74,отъ
345 91,тѫ|дѣ
2608,оузьрѣ
1449,іна
819,дъва
2233,братра
3128 64,іако|ва
560,сна
4135,зеведеова
15,і
1242,іоана
2561,брата
102,его
39,въ
3070,корабі
54,съ
3105 1018,зеведе|омъ
4240 44,оц|мъ
1695,ею
107 848 625,за|вѧза|ѭшта
3054,мрѣжѧ
504,своѧ
15,і
737 64,възь|ва
32,ѣ
832,она
503,абіе
544 1130 139,оста|влъ|ша
1729,корабь
15,і
539,оца
435,своего
51,по
442,немь
3881,ідете
15,і
4484,прохождааше
394 2,въс|ѭ
2471,галілеѭ
258,ісъ
1223,оучѧ
47,на
131 68 89 1687 8,сь|нъ|мі|шіі|х
15,і
2909,проповѣдаѧ
2229 3729,ев|гліе
393 361 6,цр|стві|ю
15,і
2113 23,іцѣлѣ|ѧ
840 83,въсѣ|къ
1091 300,недѫ|гь
15,і
516 266,всѣ|кѫ
23 828,ѧ|зѫ
39,въ
3239,людехъ
39,въ
1087,слѣдъ
296,іса
478,ідѫ
1178,народі
765,мнозі
179,от
2764,галілеѧ
15,і
63 97 51 94,де|ка|по|лѣ
15,і
179,от
2227 941,іер|лма
15,і
4494,іюдеѧ
54,съ
2963,оного
1354,полоу
2227 3067,іер|дана
17,в
315 33,слѣ|д
296,іса
478,ідѫ
17,в
315 33,слѣ|д
296,іса
478,ідѫ
17,в
1087,слѣдъ
296,іса
478,ідѫ
306 33,наро|д
15,і
4745,оузьрѣвъ
41,же
2222,народъі
4180,възіде
47,на
1538,горѫ
15,і
86,ѣко
2776,сѣде
2272,прістѫпішѧ
260,кь
321,немоу
465,оученіці
102,его
15,і
1003 198,отвръ|зь
973,оуста
1410,своѣ
2756,оучааше
23,ѧ
350,глѧ
1701,блажені
43 150,ні|шті
2564,дхмъ
86,ѣко
171 8,тѣ|х
140,естъ
2405,црство
4647 373,нбсъ|ное
1701,блажені
476 249 488,пла|чѧ|штіі
57,сѧ
86,ѣко
58,ті
1804 4614,оутѣ|шѧтъ
57,сѧ
1701,блажені
577 31 2417,кро|т|ціі
86,ѣко
58,ті
2611 219 31,наслѣ|дѧ|т
1198,землѭ
1701,блажені
1333 668 488,ал|чѫ|штіі
15,і
3272 488,жѧждѫ|штіі
2517,правъдъі
86,ѣко
58,ті
4931,насъітѧтъ
57,сѧ
1701,блажені
934 1262,мілості|віі
86,ѣко
58,ті
4196 43,помілова|ні
705,бѫдѫтъ
1701,блажені
2356,чісті
822 25 44,срд|ц|мъ
86,ѣко
58,ті
193,ба
3892,оузьрѧтъ
1701,блажені
131 1761 1683,сь|мірѣ|ѭштеі
86,ѣко
58,ті
2729,снве
659,бжіі
47 997 31,на|рекѫ|т
57,сѧ
1701,блажені
4747 220,ізгьна|ніі
2945 213,прав|дъі
290,раді
86,ѣко
968,тѣхъ
10 42,е|ст
2405,црство
1358 373,нбс|ное
1701,блажені
805,есте
246,егда
51 1097 38,по|носѧ|тъ
207,вамъ
4452,члці
15,і
3956,іжденѫтъ
138,въі
15,і
1838,рекѫтъ
39 131,въ|сь
198 134,зь|ль
1105,глъ
47,на
138,въі
121 352 84,лъ|жѧ|ште
227,мене
290,раді
2960,радоуіте
57,сѧ
15,і
1342 65,веселі|те
86,ѣко
3295 55,мьз|да
1389,ваша
891,многа
140,естъ
47,на
1414 62,нбсе|хъ
138,въі
805,есте
818,свѣтъ
39 903,въ|семоу
1580,міроу
46,не
612,можетъ
533,градъ
1376 239 58,оук|ръі|ті
57,сѧ
3277,връхоу
1590,горъі
781,стоѧ
138,въі
805,есте
3592,свѣт
138,въі
805,есте
3592,свѣт
138,въі
805,есте
3592,свѣт
138,въі
10 3592,е|свѣт
43,ні
39 221 152 241,въ|жа|га|ѭтъ
2143 1077,свѣтіль|ніка
15,і
1600 491 241,поста|влѣ|ѭтъ
714,подъ
22 372 403,с|пѫ|домъ
68,нъ
47,на
341 304 3879,свѣ|шть|ніцѣ
15,і
1020 38,свѣті|тъ
751,вьсѣмъ
182,іже
39,въ
2994 96,храмі|нѣ
331,сѫтъ
244,тако
55,да
3212 38,просвѣті|тъ
57,сѧ
818,свѣтъ
1669,вашъ
319,прѣдъ
3783,члкъі
55,да
3892,оузьрѧтъ
1389,ваша
1521 32,добра|ѣ
472,дѣла
15,і
904 597,просла|вѧтъ
539,оца
1551,вашего
182,іже
140,естъ
47,на
1414 62,нбсе|хъ
