torot_word|pos|lemma|morph_tag|deep_cleaned|lemma_id|sentence_no|pres_before|pres_after|text_id|subtitle_id|autotagged
гл҃ати|V-|глаголати|--pna----i|глаті|102|310010||. |1|1|0
а҃|Nb|а|---------n|а|129|310011|| |1|1|0
б҃|Nb|б|---------n|б|130|310011|| |1|1|0
в҃|Nb|в|---------n|в|131|310011|| |1|1|0
г҃|Nb|г|---------n|г|132|310011||. |1|1|0
дрѹѕии|A-|дроугъ|-p---mnpwi|дроузіі|133|310012|| |1|1|0
же|Df|же|---------n|же|20|310012|| |1|1|0
гл҃ѧть|V-|глаголати|3ppia----i|глѧть|102|310012|| |1|1|0
по|R-|по|---------n|по|77|310013|| |1|1|0
что|Pi|чьто|-s---na--i|что|134|310013|| |1|1|0
есть|V-|бꙑти|3spia----i|есть|18|310013||, |1|1|0
л҃|Ma|тридесѧть|---------n|л|74|310013|||1|1|0
и|Ma|осмь|---------n|і|75|310013|| |1|1|0
писменъ|Nb|писмѧ|-p---ng--i|пісменъ|2|310013|| |1|1|0
створилъ|V-|сътворити|-sspamn-si|створілъ|73|310013||. |1|1|0
а|C-|а|---------n|а|85|310014|| |1|1|0
можеть|V-|мощи|3spia----i|можеть|31|310014|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|310014|| |1|1|0
и|Df|и|---------n|і|91|310014|| |1|1|0
менꙿшимь|A-|мьнии|-s---nicwi|меншімь|135|310014|| |1|1|0
того|Pd|тъ|-s---ng--i|того|105|310014|| |1|1|0
писати|V-|пьсати|--pna----i|пісаті|32|310014||. |1|1|0
ꙗкоже|Dq|ꙗкоже|---------n|ѣкоже|88|310014|| |1|1|0
и|Df|и|---------n|і|91|310014|| |1|1|0
гръци|Nb|грьци|-p---mn--i|гръці|104|310014|| |1|1|0
к҃|Ma|дъва десѧти|---------n|к|136|310014|||1|1|0
д|Ma|четꙑрe|---------n|д|137|310014|| |1|1|0
пишѫть|V-|пьсати|3ppia----i|пішѫть|32|310014||. |1|1|0
и|C-|и|---------n|і|13|310015|| |1|1|0
не|Df|не|---------n|не|8|310015|| |1|1|0
вѣдѧть|V-|вѣдѣти|3ppia----i|вѣдѧть|138|310015|| |1|1|0
колицѣмь|Pi|коликъ|-s---ni--i|коліцѣмь|139|310015|| |1|1|0
пишѫть|V-|пьсати|3ppia----i|пішѫть|32|310015|| |1|1|0
гръци|Nb|грьци|-p---mn--i|гръці|104|310015||. |1|1|0
есть|V-|бꙑти|3spia----i|есть|18|310016|| |1|1|0
бо|Df|бо|---------n|бо|94|310016|| |1|1|0
ꙋбѡ|Df|оубо|---------n|оубо|6|310016||, |1|1|0
к|Ma|дъва десѧти|---------n|к|136|310016|||1|1|0
д҃|Ma|четꙑрe|---------n|д|137|310016||. |1|1|0
писменъ|Nb|писмѧ|-p---ng--i|пісменъ|2|310016||. |1|1|0
нѫ|C-|нъ|---------n|нѫ|11|310017|| |1|1|0
не|Df|не|---------n|не|8|310017|| |1|1|0
наплънѣѫтꙿ|V-|напльнꙗти|3ppia----i|наплънѣѫт|140|310017|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|310017|| |1|1|0
тѣми|Pd|тъ|-p---ni--i|тѣмі|105|310017|| |1|1|0
книгꙑ|Nb|кънигꙑ|-p---fn--i|кнігъі|10|310017||. |1|1|0
нѫ|C-|нъ|---------n|нѫ|11|310018|| |1|1|0
приложили|V-|приложити|-pspamn-si|пріложілі|141|310018|| |1|1|0
сѫтъ|V-|бꙑти|3ppia----i|сѫтъ|18|310018|| |1|1|0
двогласнꙑхь|A-|дъвогласьнъ|-p---ngpwi|двогласнъіхь|142|310018||, |1|1|0
а҃і|Ma|ѥдинъ на десѧте|---------n|аі|143|310018||. |1|1|0
и|C-|и|---------n|і|13|310018|| |1|1|0
въ|R-|въ|---------n|въ|111|310018||￼ |1|1|0
чисменех|Nb|чисмѧ|-p---nl--i|чісменех|144|310018|| |1|1|0
же|Df|же|---------n|же|20|310018||, |1|1|0
г҃|Ma|триѥ|---------n|г|145|310018|| |1|1|0
҃s|Ma|шесть|---------n|s|146|310018|| |1|1|0
е҃|Ma|пѧтъ|---------n|е|147|310018||. |1|1|0
и|C-|и|---------n|і|13|310018|| |1|1|0
ѳ҃|Ma|девѧть|---------n|ѳ|148|310018|| |1|1|0
десѧтное|A-|десѧтьнъ|-s---napwi|десѧтное|149|310018||. |1|1|0
и|C-|и|---------n|і|13|310018|| |1|1|0
ѳ҃|Ma|девѧтъ|---------n|ѳ|150|310018|| |1|1|0
сътное|A-|сътьнъ|-s---napwi|сътное|151|310018||. |1|1|0
и|C-|и|---------n|і|13|310019|| |1|1|0
събираѫт|V-|събирати|3ppia----i|събіраѫт|152|310019|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|310019|| |1|1|0
ихь|Pp|и|3p---ng--i|іхь|64|310019||, |1|1|0
л҃|Ma|тридесѧть|---------n|л|74|310019|||1|1|0
и|Ma|осмь|---------n|і|75|310019||. |1|1|0
тѣмже|Df|тѣмьже|---------n|тѣмже|153|310020|| |1|1|0
по|R-|по|---------n|по|77|310020|||1|1|0
томѹ|Pd|тъ|-s---nd--i|томоу|105|310020|| |1|1|0
подбно|Df|подобьно|-------p-i|подбно|154|310020||. |1|1|0
и|C-|и|---------n|і|13|310020|| |1|1|0
въ|R-|въ|---------n|въ|111|310020|| |1|1|0
тьжде|Pd|тъжде|-s---ma--i|тьжде|155|310020|| |1|1|0
ѡбразъ|Nb|образъ|-s---ma--i|образъ|156|310020|| |1|1|0
створи|V-|сътворити|3saia----i|створі|73|310020|| |1|1|0
ст҃ꙑи|A-|свѧтъ|-s---mnpwi|стъіі|65|310020|| |1|1|0
кирилъ|Ne|кѵрилъ|-s---mn--i|кірілъ|69|310020||, |1|1|0
л҃|Ma|тридесѧть|---------n|л|74|310020|||1|1|0
и|Ma|осмь|---------n|і|75|310020||. |1|1|0
писменъ|Nb|писмѧ|-p---ng--i|пісменъ|2|310020||. |1|1|0
дрѹѕии|A-|дроугъ|-p---mnpwi|дроузіі|133|310021|| |1|1|0
же|Df|же|---------n|же|20|310021|| |1|1|0
гл҃ѧть|V-|глаголати|3ppia----i|глѧть|102|310021|| |1|1|0
чесомѹ|Pi|чьто|-s---nd--i|чесомоу|134|310022|| |1|1|0
же|Df|же|---------n|же|20|310022|| |1|1|0
сѫть|V-|бꙑти|3ppia----i|сѫть|18|310022|| |1|1|0
словѣнꙿскꙑ|A-|словѣньскъ|-p---fnpsi|словѣнскъі|79|310022|| |1|1|0
книгꙑ|Nb|кънигꙑ|-p---fn--i|кнігъі|10|310022||. |1|1|0
ни|C-|ни|---------n|ні|157|310023|| |1|1|0
того|Pd|тъ|-s---ng--i|того|105|310023|| |1|1|0
бо|Df|бо|---------n|бо|94|310023|| |1|1|0
есть|V-|бꙑти|3spia----i|есть|18|310023|| |1|1|0
б҃ъ|Nb|богъ|-s---mn--i|бъ|34|310023|| |1|1|0
створилъ|V-|сътворити|-sspamn-si|створілъ|73|310023||. |1|1|0
ни|C-|ни|---------n|ні|157|310023|| |1|1|0
то|Df|то|---------n|то|158|310023|| |1|1|0
аг҃гли|Nb|ангелъ|-p---mn--i|агглі|159|310023||. |1|1|0
ни|C-|ни|---------n|ні|157|310023|| |1|1|0
сѫть|V-|бꙑти|3ppia----i|сѫть|18|310023|| |1|1|0
ижде|Pr|ижде|-p---mn--i|іжде|160|310023|| |1|1|0
конни|A-|коньнъ|-p---mnpsi|конні|161|310023||. |1|1|0
ꙗко|Df|ꙗко|---------n|ѣко|162|310023|| |1|1|0
жидовьскꙑ|A-|жидовьскъ|-s---mnpwi|жідовьскъі|90|310023|| |1|1|0
и|C-|и|---------n|і|13|310023|| |1|1|0
римꙿскꙑ|A-|римьскъ|-s---mnpwi|рімскъі|22|310023|| |1|1|0
и|C-|и|---------n|і|13|310023|| |1|1|0
елинꙿскꙑ|A-|елиньскъ|-s---mnpwi|елінскъі|163|310023||. |1|1|0
ижде|Pr|иже|-p---mn--i|іжде|96|310023|| |1|1|0
ѿ|R-|отъ|---------n|от|80|310023|| |1|1|0
кона|Nb|конъ|-s---mg--i|кона|164|310023|| |1|1|0
сѫть|V-|бꙑти|3ppia----i|сѫть|18|310023||. |1|1|0
и|C-|и|---------n|і|13|310023|| |1|1|0
приѫтꙑ|V-|приѩти|-puppmn-si|пріѫтъі|165|310023|| |1|1|0
сѫт|V-|бꙑти|3ppia----i|сѫт|18|310023|| |1|1|0
бм҃ъ|Nb|богъ|-s---mi--i|бмъ|34|310023||. |1|1|0
а|C-|а|---------n|а|85|310024|| |1|1|0
