3802,<wb>кьнігъі
2866 410,<wb>іспъіта|іте
2891 97 85,<wb>ізвѣ|стъ|но
47,<wb>о
1852 52,<wb>отрочѧ|ті
39,<wb>і
317,<wb>егда
3497,<wb>обрѧштете
2246 54,<wb>вьзвѣсті|те
195,<wb>мі
105,<wb>да
39,<wb>і
695,<wb>азь
1291,<wb>шедъ
2275 1309,<wb>покло|нѭ
70,<wb>сѧ
144,<wb>емоу
609,<wb>оні
71,<wb>же
664 340,<wb>послоуша|въше
2470,<wb>црѣ
674,<wb>ідѫ
39,<wb>і
121,<wb>се
3054 86,<wb>звѣз|да
1447,<wb>ѭже
1279,<wb>відѣшѧ
68,<wb>на
81 217 259,<wb>вь|сто|цѣ
1619,<wb>ідѣаше
1669,<wb>прѣдь
1047,<wb>німі
3180,<wb>доідеже
7380 116,<wb>прішед|ші
305,<wb>ста
3573,<wb>връхоу
773,<wb>ідеже
165,<wb>бѣ
1852,<wb>отрочѧ
1137,<wb>відѣвъше
71,<wb>же
3054 175,<wb>звѣз|дѫ
4613 82,<wb>въздрадова|ше
70,<wb>сѧ
2659,<wb>радостіѭ
2659,<wb>радостіѭ
7153,<wb>веліеѭ
760,<wb>зѣло
39,<wb>і
1952 82,<wb>въшедъ|ше
56,<wb>въ
4565,<wb>храмінѫ
1279,<wb>відѣшѧ
1852,<wb>отрочѧ
75,<wb>съ
5889 3,<wb>маріе|ѭ
7375 3,<wb>мтрі|ѭ
135,<wb>его
39,<wb>і
2618 82,<wb>падъ|ше
4995,<wb>поклонішѧ
70,<wb>сѧ
144,<wb>емоу
39,<wb>і
1150 312 82,<wb>отвръ|зь|ше
3397,<wb>съкровішта
1596,<wb>своѣ
5408,<wb>прінѣсѧ
144,<wb>емоу
3069,<wb>даръі
2675,<wb>злато
39,<wb>і
178 103 98,<wb>лі|ва|нъ
39,<wb>і
6495 21 179,<wb>зму|р|нѫ
39,<wb>і
4144,<wb>отъвѣтъ
7802,<wb>пріемъше
56,<wb>въ
3439,<wb>сьнѣ
62,<wb>не
4478,<wb>възвратішѧ
70,<wb>сѧ
468,<wb>кь
6680,<wb>іродоу
208,<wb>нъ
3571,<wb>інѣмъ
3720 55,<wb>пѫте|мъ
5495,<wb>отідѫ
56,<wb>въ
2132,<wb>странѫ
651,<wb>своѭ
6572 1593,<wb>ошедъ|шемъ
7257 1694,<wb>влъх|вомъ
121,<wb>се
2370,<wb>англъ
2408,<wb>гнь
1173,<wb>ѣві
70,<wb>сѧ
56,<wb>въ
2568,<wb>сънѣ
6578,<wb>іосіфоу
441,<wb>глѧ
1343,<wb>въставъ
67 1422,<wb>по|імі
1852,<wb>отрочѧ
39,<wb>і
51 933,<wb>м|трь
135,<wb>его
39,<wb>і
165 124,<wb>бѣ|жі
56,<wb>въ
3226 255,<wb>егуп|етъ
39,<wb>і
1021,<wb>бѫді
390,<wb>тоу
3180,<wb>доідеже
1189,<wb>рекѫ
323,<wb>ті
1462,<wb>хоштетъ
112,<wb>бо
2352,<wb>іродъ
5981,<wb>іскаті
7703,<wb>отрочѧте
105,<wb>да
1579,<wb>погоубітъ
50,<wb>е
6572 82 14,<wb>ошедъ|ше|м
366,<wb>онъ
71,<wb>же
1343,<wb>въставъ
3021,<wb>поѧтъ
1852,<wb>отрочѧ
39,<wb>і
51 511,<wb>м|тръ
135,<wb>его
2536,<wb>ноштіѭ
39,<wb>і
1334,<wb>отіде
56,<wb>въ
3226 255,<wb>егуп|етъ
39,<wb>і
165,<wb>бѣ
390,<wb>тоу
156,<wb>до
851 629 111 33,<wb>оум|рът|ві|ѣ
1191 1212,<wb>іро|дова
105,<wb>да
4021,<wb>събѫдетъ
70,<wb>сѧ
3075,<wb>реченое
221,<wb>от
480,<wb>га
7628,<wb>прркмъ
8034,<wb>глштемъ
221,<wb>от
3226 94,<wb>егуп|та
925 1381,<wb>възъ|вахъ
423,<wb>снъ
329,<wb>моі
916,<wb>тогда
2352,<wb>іродъ
649,<wb>відѣвъ
99,<wb>ѣко
3360 98,<wb>порѫга|нъ
798,<wb>бъіс
84,<wb>отъ
7257 92,<wb>влъх|въ
5049,<wb>ізбі
2415,<wb>всѧ
7590,<wb>отрокъі
4847,<wb>сѫштѧѧ
56,<wb>въ
6405 2775,<wb>віѳле|емі
39,<wb>і
56,<wb>въ
2069,<wb>всѣхъ
2334 3531,<wb>прѣдѣ|лѣхъ
908,<wb>еѧ
84,<wb>отъ
4112,<wb>двою
3454,<wb>лѣтоу
39,<wb>і
122 48,<wb>ні|же
67,<wb>по
3454,<wb>лѣтоу
295,<wb>еже
2866,<wb>іспъіта
84,<wb>отъ
7257 92,<wb>влъх|въ
916,<wb>тогда
3871 23,<wb>събъі|с
70,<wb>сѧ
3075,<wb>реченое
2394 123 726,<wb>іере|мі|емь
7628,<wb>прркмъ
8034,<wb>глштемъ
3452,<wb>глас
56,<wb>въ
7657,<wb>рамѣ
379 98,<wb>слъіша|нъ
798,<wb>бъіс
3526,<wb>плачь
39,<wb>і
5610 200,<wb>ръіда|ніе
39,<wb>і
56 1545,<wb>въ|пль
4928,<wb>многь
120 493 153,<wb>ра|хі|ль
5755,<wb>плачѫшті
70,<wb>сѧ
3330,<wb>чѧдъ
809,<wb>своіхъ
39,<wb>і
62,<wb>не
1414,<wb>хотѣаше
2053 2944,<wb>оутѣ|шіті
70,<wb>сѧ
99,<wb>ѣко
62,<wb>не
419,<wb>сѫтъ
4437 21 358,<wb>оуме|р|шоу
71,<wb>же
6680,<wb>іродоу
121,<wb>се
2370,<wb>англъ
2502,<wb>гнъ
56,<wb>въ
3439,<wb>сьнѣ
1173,<wb>ѣві
70,<wb>сѧ
6578,<wb>іосіфоу
56,<wb>въ
3226 319,<wb>егуп|тѣ
441,<wb>глѧ
1343,<wb>въставъ
67 1422,<wb>по|імі
1852,<wb>отрочѧ
39,<wb>і
1198,<wb>мрь
135,<wb>его
39,<wb>і
1030,<wb>іді
56,<wb>въ
1403,<wb>землѭ
168 36 337,<wb>із|л|вѫ
168 14 2463,<wb>із|м|рѣшѧ
112,<wb>бо
3529 642,<wb>іскѫ|штіі
1786,<wb>дшѧ
7703,<wb>отрочѧте
366,<wb>онъ
71,<wb>же
1343,<wb>въставъ
3021,<wb>поѧтъ
1852,<wb>отрочѧ
39,<wb>і
51 511,<wb>м|тръ
135,<wb>его
39,<wb>і
1776,<wb>въніде
56,<wb>въ
1403,<wb>землѭ
168 132 337,<wb>із|ле|вѫ
990,<wb>слъішавъ
71,<wb>же
99,<wb>ѣко
575 66 16,<wb>архі|ла|і
476 605 255,<wb>цр|ствоу|етъ
56,<wb>въ
685,<wb>іюдеі
56,<wb>въ
6969,<wb>ірода
707,<wb>мѣсто
633,<wb>оца
524,<wb>своего
1576,<wb>оубоѣ
70,<wb>сѧ
2285,<wb>тамо
1344,<wb>іті
5537,<wb>вѣсть
71,<wb>же
1729,<wb>пріемъ
56,<wb>въ
2568,<wb>сънѣ
1334,<wb>отіде
56,<wb>въ
2132,<wb>странѫ
1703 1339,<wb>галілеі|скѫ
39,<wb>і
872,<wb>прішедъ
5949,<wb>въселі
70,<wb>сѧ
56,<wb>въ
698,<wb>градъ
2770,<wb>наріцаемъі
5598,<wb>назаретъ
105,<wb>да
4021,<wb>събѫдетъ
70,<wb>сѧ
3075,<wb>реченое
7628,<wb>прркмъ
99,<wb>ѣко
1738 2965,<wb>наза|реі
3380,<wb>наречетъ
70,<wb>сѧ
416,<wb>пріде
1219,<wb>іоанъ
1204 69 153,<wb>кр|ст|ль
3199,<wb>проповѣдаѧ
56,<wb>въ
1560,<wb>поустъіні
2480 86 10 2524,<wb>іер|да|н|стѣі
441,<wb>глѧ
543 410,<wb>пока|іте
70,<wb>сѧ
1477,<wb>прібліжі
112,<wb>бо
70,<wb>сѧ
2660,<wb>црство
45 287 349 465,<wb>н|бе|сь|ное
190,<wb>сь
112,<wb>бо
161,<wb>естъ
141 401,<wb>рече|нъіі
2136 389,<wb>ісаі|емъ
7628,<wb>прркмъ
8034,<wb>глштемъ
3452,<wb>глас
1914 2276,<wb>въпі|ѭштааго
56,<wb>въ
1560,<wb>поустъіні
1328 410,<wb>оуготова|іте
1029,<wb>пѫть
2408,<wb>гнь
5256,<wb>правъі
1451,<wb>творіте
6559,<wb>стьзѧ
135,<wb>его
301 1042,<wb>са|мже
1219,<wb>іоанъ
1865,<wb>імѣаше
3405,<wb>різѫ
651,<wb>своѭ
221,<wb>от
458 173,<wb>вла|съ
4250 716,<wb>вельбѫ|ждъ
39,<wb>і
2947 173,<wb>поѣ|съ
506 297 98,<wb>оус|ніѣ|нъ
47,<wb>о
1373 2150 76,<wb>чрѣ|слѣ|хъ
809,<wb>своіхъ
5982,<wb>ѣдь
71,<wb>же
135,<wb>его
165,<wb>бѣ
77 1837 89,<wb>а|крі|ді
39,<wb>і
296 113,<wb>ме|дъ
428 1425,<wb>ді|віі
916,<wb>тогда
4155,<wb>ісхождааше
468,<wb>кь
398,<wb>немоу
1285,<wb>весь
6429,<wb>іерлмъ
39,<wb>і
685,<wb>іюдеі
39,<wb>і
572,<wb>всѣ
348 102,<wb>стра|на
2480 86 10 384,<wb>іер|да|н|ска
39,<wb>і
1204 145 187,<wb>кр|шта|хѫ
70,<wb>сѧ
221,<wb>от
513,<wb>него
56,<wb>въ
2480 86 98 2524,<wb>іер|да|нъ|стѣі
7125,<wb>рѣцѣ
1031 393,<wb>ісповѣда|ѭште
1806,<wb>грѣхъі
599,<wb>своѧ
649,<wb>відѣвъ
71,<wb>же
823,<wb>многъі
1184 24,<wb>фарісе|ѧ
39,<wb>і
5182 24,<wb>садоуке|ѧ
1142 361,<wb>грѧдѫ|штѧ
68,<wb>на
1204 1392,<wb>кр|штеніе
135,<wb>его
141,<wb>рече
210,<wb>імъ
3022 2673,<wb>іштѧ|діѣ
7231 113 1661,<wb>ехі|дъ|нова
523,<wb>кто
1360,<wb>съказа
260,<wb>вамъ
7419,<wb>бѣжаті
221,<wb>от
1142 1154,<wb>грѧдѫ|штааго
1840,<wb>гнѣва
2612,<wb>сътворіте
222,<wb>оубо
4991,<wb>плодъі
7951,<wb>достоінъі
6453,<wb>покаанію
39,<wb>і
62,<wb>не
3580 410,<wb>начіна|іте
1375,<wb>глаті
56,<wb>въ
436,<wb>себѣ
633,<wb>оца
1126,<wb>імамъ
4676,<wb>авраама
284,<wb>глѭ
112,<wb>бо
260,<wb>вамъ
99,<wb>ѣко
819,<wb>можетъ
443,<wb>бъ
221,<wb>от
7060,<wb>каменіѣ
387,<wb>сего
2274 3919,<wb>въздві|гнѫті
1830,<wb>чѧда
5673,<wb>авраамоу
1303,<wb>юже
112,<wb>бо
39,<wb>і
121 148 61,<wb>се|къі|ра
90,<wb>прі
2390 60,<wb>коре|ні
3842,<wb>дрѣва
4772,<wb>лежітъ
3083,<wb>всѣко
222,<wb>оубо
1488,<wb>дрѣво
295,<wb>еже
62,<wb>не
1057,<wb>творітъ
1552,<wb>плода
1730,<wb>добра
2306 134 1637,<wb>посѣ|ка|емо
4182,<wb>бъіваетъ
39,<wb>і
56,<wb>въ
5169,<wb>огнъ
4426 1637,<wb>въмѣта|емо
290,<wb>азъ
222,<wb>оубо
1204 3716,<wb>кр|штаѭ
237,<wb>въі
3199,<wb>проповѣдаѧ
3892,<wb>покааніе
1601,<wb>грѧдъі
71,<wb>же
67,<wb>по
588,<wb>мнѣ
1006 2106 16,<wb>крѣ|пле|і
364,<wb>мене
161,<wb>естъ
991,<wb>емоуже
2134,<wb>нѣсмъ
682,<wb>достоі
7013,<wb>сапогоу
1003 147,<wb>поне|сті
157,<wb>тъ
237,<wb>въі
1204 1956,<wb>кр|стітъ
2864,<wb>дхмъ
251 14,<wb>ст|м
416,<wb>пріде
331,<wb>ісъ
221,<wb>от
3050,<wb>галілеѧ
68,<wb>на
2480 86 98,<wb>іер|да|нъ
4059 32,<wb>кръсті|т
70,<wb>сѧ
221,<wb>от
513,<wb>него
416,<wb>пріде
107,<wb>іс
221,<wb>от
77 174 94,<wb>а|ре|та
1703 1366,<wb>галілеі|скааго
39,<wb>і
5054,<wb>крсті
70,<wb>сѧ
47,<wb>о
1443,<wb>іоана
56,<wb>въ
50 3433 118,<wb>е|рда|нѣ
1219,<wb>іоанъ
71,<wb>же
3921 3920,<wb>възбра|нѣаше
144,<wb>емоу
441,<wb>глѧ
290,<wb>азъ
1520 3,<wb>трѣбоу|ѭ
176 31 3,<wb>то|б|ѭ
1204 1427,<wb>кр|стіті
70,<wb>сѧ
77,<wb>а
288,<wb>тъі
178,<wb>лі
505 3294,<wb>грѧ|деші
468,<wb>кь
2231,<wb>мънѣ
5264,<wb>отвѣштавъ
71,<wb>же
331,<wb>ісъ
141,<wb>рече
468,<wb>кь
398,<wb>немоу
4703,<wb>остані
457,<wb>нъінѣ
311,<wb>тако
112,<wb>бо
6250 85,<wb>подоб|но
161,<wb>естъ
489,<wb>намъ
927 1507,<wb>ісплъ|ніті
41 23 3,<wb>в|с|ѭ
3506,<wb>правьдѫ
916,<wb>тогда
39,<wb>і
646,<wb>оставі
527 604,<wb>кръ|штъ
71,<wb>же
70,<wb>сѧ
331,<wb>ісъ
4540,<wb>възіде
600,<wb>абіе
84,<wb>отъ
1402,<wb>водъі
39,<wb>і
121,<wb>се
3870 281,<wb>отврѣ|сѧ
70,<wb>сѧ
144,<wb>емоу
4504,<wb>нбса
39,<wb>і
248,<wb>відѣ
768,<wb>дхъ
776,<wb>бжіі
2871 604,<wb>съходѧ|штъ
99,<wb>ѣко
3087 315,<wb>голѫ|бъ
39,<wb>і
7240,<wb>грѧдѫшть
68,<wb>на
484,<wb>нь
39,<wb>і
600,<wb>абіе
2851,<wb>въсходѧ
221,<wb>от
1402,<wb>водъі
248,<wb>відѣ
234 63 7364,<wb>раз|во|дѧшта
70,<wb>сѧ
4504,<wb>нбса
39,<wb>і
768,<wb>дхъ
99,<wb>ѣко
7747,<wb>голѫбь
2871 604,<wb>съходѧ|штъ
68,<wb>на
484,<wb>нь
39,<wb>і
121,<wb>се
3452,<wb>глас
75,<wb>съ
1586,<wb>нбсе
441,<wb>глѧ
190,<wb>сь
161,<wb>естъ
423,<wb>снъ
329,<wb>моі
3339 401,<wb>възлюбле|нъіі
47,<wb>о
3697,<wb>немъже
2511 4614,<wb>благово|ліхъ
39,<wb>і
3452,<wb>глас
798,<wb>бъіс
75,<wb>съ
1586,<wb>нбсе
288,<wb>тъі
313,<wb>есі
423,<wb>снъ
329,<wb>моі
2110 287 401,<wb>възлю|бе|нъіі
47,<wb>о
356,<wb>тебѣ
2511 4614,<wb>благово|ліхъ
5473 98,<wb>възведе|нъ
798,<wb>бъіс
107,<wb>іс
2864,<wb>дхмъ
56,<wb>въ
4557,<wb>поустъінѭ
1053 1418,<wb>іскоу|сітъ
70,<wb>сѧ
221,<wb>от
4684,<wb>діѣвола
39,<wb>і
2803,<wb>пості
70,<wb>сѧ
2063,<wb>дьніі
72,<wb>к
39,<wb>і
298 642,<wb>но|штіі
72,<wb>к
238,<wb>те
902 89,<wb>послѣ|ді
71,<wb>же
853 3280,<wb>възь|алка
39,<wb>і
3767,<wb>прістѫпль
5634 1319,<wb>іскоусі|тель
141,<wb>рече
144,<wb>емоу
201,<wb>аште
423,<wb>снъ
313,<wb>есі
776,<wb>бжіі
1900,<wb>рьці
105,<wb>да
3222,<wb>каменіе
121,<wb>се
