deep_cleaned|pos|morph_tag|word_raw|sentence_id|pres_before|pres_after|text_id|subtitle_id
же|Df|---------n|же|5000021|| |10|1
сна|Nb|-s---mg--i|с҃на|5000021|| · |10|1
і|C-|---------n|Ӣ|5000021|| |10|1
наречеші|V-|2spia----i|наречеші|5000021|| |10|1
імѧ|Nb|-s---na--i|ӣмѧ|5000021|| |10|1
емоу|Pp|3s---md--i|е̄мѹ|5000021|| |10|1
ісъ|Ne|-s---mn--i|и҃̄съ|5000021|| · |10|1
тъ|Pd|-s---mn--i|тъ|5000021|| |10|1
бо|Df|---------n|бо|5000021|| |10|1
спсетъ|V-|3spia----i|с҃псетъ|5000021|| |10|1
люді|Nb|-p---ma--i|люді|5000021|| |10|1
своѧ|Pt|3p---pa--i|своѩ̄|5000021|| |10|1
оть|R-|---------n|о̄ть|5000021|| |10|1
грѣхъ|Nb|-p---mg--i|грѣхъ|5000021|| |10|1
іхъ|Pp|3p---mg--i|ӣхъ|5000021|| ·|10|1
се|Pd|-s---na--i|Се|5000022| | |10|1
же|Df|---------n|же|5000022|| |10|1
вьсе|Px|-s---na--i|вьсе|5000022|| |10|1
бъіс|V-|3saia----i|бъіс|5000022|| · |10|1
да|G-|---------n|да|5000022|| |10|1
събѫдет|V-|3sfia----i|събѫдет|5000022|| |10|1
сѧ|Pk|3s---qa--i|сѧ|5000022|| |10|1
реченое|V-|-suppnn-wi|реченое̄|5000022|| |10|1
отъ|R-|---------n|о̄тъ|5000022|| |10|1
га|Nb|-s---mg--i|г҃а|5000022|| ⁛ |10|1
ісаіем|Nb|-supamn-si|исаӣе̄м|5000022|| |10|1
прркмъ|Nb|-p---md--i|п҃рркмъ|5000022|| |10|1
глштемъ|V-|-pppamd-si|г҃лщемъ|5000022|| ·|10|1
се|I-|3s---qa--i|Се|5000023| | |10|1
дѣва|Nb|-s---fn--i|дѣва|5000023|| |10|1
въ|R-|---------n|въ|5000023|| |10|1
чрѣвѣ|Nb|-s---nl--i|чрѣвѣ|5000023|| |10|1
прііметъ|V-|3spia----i|приӣметъ|5000023|| · |10|1
і|C-|---------n|ӣ|5000023|| |10|1
родітъ|V-|3spia----i|родітъ|5000023|| |10|1
сна|Nb|-s---mg--i|с҃на|5000023|| · |10|1
і|C-|---------n|ӣ|5000023|| |10|1
нарекѫтъ|V-|3ppia----i|нарекѫтъ|5000023|| |10|1
імѧ|Nb|-s---na--i|ӣмѧ|5000023|| |10|1
емоу|Pp|3s---md--i|е̄мѹ|5000023|| |10|1
енманоуіль|Ne|-s---mn--i|е̄нм̄анѹӣль|5000023|| · |10|1
еже|Pr|-s---nn--i|Е̄же|5000023|| |10|1
естъ|V-|3spia----i|е̄стъ|5000023|| |10|1
ськазаемо|V-|-spppnn-si|ськазае̄мо|5000023|| |10|1
сь|R-|---------n|сь|5000023|| |10|1
намі|Pp|1p---pi--i|нами|5000023|| |10|1
бъ|Nb|-s---mn--i|б҃ъ|5000023|| ·|10|1
въставъ|V-|-supamn-si|Въставъ|5000024| | |10|1
же|Df|---------n|же|5000024|| |10|1
іосіфь|Ne|-s---mn--i|ӣо̄сіфь|5000024|| |10|1
отъ|R-|---------n|о̄тъ|5000024|| |10|1
сьна|Nb|-s---mg--i|сьна|5000024|| · |10|1
сьтворі|V-|3saia----i|сьтворі|5000024|| |10|1
ѣкоже|Dq|---------n|ѣ̄коже|5000024|| |10|1
повелѣ|V-|3saia----i|повелѣ|5000024|| |10|1
емоу|Pp|3s---md--i|е̄мѹ|5000024|| |10|1
англъ|Nb|-s---mn--i|а҃̄нꙉлъ|5000024|| · |10|1
і|C-|---------n|ӣ|5000024|| |10|1
пріѧтъ|V-|3saia----i|приѩ̄тъ|5000024|| |10|1
женѫ|Nb|-s---fa--i|женѫ|5000024|| |10|1
своѭ|Pt|3s---fa--i|своѭ̄|5000024|| ·|10|1
і|C-|---------n|ӣ|5000025| | |10|1
не|Df|---------n|не|5000025|| |10|1
знааше|V-|3siia----i|знаа̄ше|5000025|| |10|1
еѧ|Pp|3s---fg--i|е̄ѩ̄|5000025|| · |10|1
дондеже|G-|---------n|донд̄еже|5000025|| |10|1
роді|V-|3saia----i|роді|5000025|| |10|1
снъ|Nb|-s---ma--i|с҃нъ|5000025|| |10|1
своі|Pt|3s---ma--i|своӣ|5000025|| |10|1
пръвѣнець|Nb|-s---ma--i|пръвѣнець|5000025|| · |10|1
і|C-|---------n|и|5000025|| |10|1
нарече|V-|3saia----i|нарече|5000025|| |10|1
імѧ|Nb|-s---na--i|ӣмѧ|5000025|| |10|1
емоу|Pp|3s---md--i|е̄мѹ|5000025|| |10|1
ісъ|Ne|-s---mn--i|и҃̄съ|5000025|| ⁛ ··|10|1
і|C-|---------n|ӣ|5000026| | |10|1
нареч|Ma|---------n|нареч|5000026|| |10|1
імѧ|Nb|-s---na--i|имѧ|5000026|| |10|1
емоу|Pp|3s---md--i|емѹ|5000026|| |10|1
ісъ|Ne|-s---mn--i|и҃̄съ|5000026|| ⁛|10|1
ісоу|Ne|-s---md--i|и҃҅сѹ|5000027| | |10|2
рождьшоу|V-|-supamd-si|рождьшю|5000027|| |10|2
сѧ|Pk|3s---qa--i|сѧ|5000027|| |10|2
въ|R-|---------n|въ|5000027|| |10|2
віѳлеомі|Nb|---------n|віѳл҅ео̄ми|5000027|| |10|2
іюдеістѣмь|A-|-s---ml--i|ӣю̄деистѣмь|5000027|| · |10|2
въ|R-|---------n|Въ|5000027|| |10|2
дьні|Nb|-p---ma--i|дьні|5000027|| |10|2
ірода|Ne|-s---mg--i|ӣрода|5000027|| |10|2
црѣ|Nb|-s---mg--i|ц҃рѣ|5000027|| · |10|2
се|Pd|---------n|Се|5000027|| |10|2
влъсві|Nb|-p---mn--i|влъсві|5000027|| |10|2
отъ|R-|---------n|о̄тъ|5000027|| |10|2
въстокь|Nb|-p---mg--i|въстокь|5000027|| · |10|2
прідѫ|V-|3paia----i|Прідѫ|5000027|| |10|2
въ|R-|---------n|въ|5000027|| |10|2
іерлмъ|Ne|-s---ma--i|ӣе̄рлмъ|5000027|||10|2
глште|V-|-pppamn-si|г҃лште|5000028| | · |10|2
кьде|Du|---------n|Кьде|5000028|| |10|2
естъ|V-|3spia----i|е̄стъ|5000028|| |10|2
рождеі|V-|-supamn-wi|рождеӣ|5000028|| |10|2
сѧ|Pk|3s---qa--i|сѧ|5000028|| |10|2
црь|Nb|-s---mn--i|ц҃рь|5000028|| |10|2
іюдеіскь|A-|-s---mnpsi|и҅ю̄деӣскь|5000028||҅ · |10|2
відѣхомъ|V-|1paia----i|Видѣхомъ|5000028|| |10|2
бо|Df|---------n|бо|5000028|| |10|2
звѣздѫ|Nb|-s---fa--i|ѕв҅ѣздѫ|5000028|| |10|2
его|Pp|3s---mg--i|е̄го|5000028|| |10|2
на|R-|---------n|на|5000028|| |10|2
вьстоцѣ|Nb|-s---ml--i|вьстоцѣ|5000028|| · |10|2
і|C-|---------n|ӣ|5000028|| |10|2
прідомъ|V-|1paia----i|прідомъ|5000028|| |10|2
поклонітъ|V-|3spia----i|поклонітъ|5000028|| |10|2
сѧ|Pk|3s---qa--i|сѧ|5000028|| |10|2
емоу|Pp|3s---md--i|е̄мѹ|5000028|| ·|10|2
слъішавъ|V-|-supamn-si|Слъішавъ|5000029| | |10|2
же|Df|---------n|же|5000029|| |10|2
іродъ|Ne|-s---mn--i|ӣродъ|5000029|| |10|2
црь|Nb|-s---mn--i|ц҃рь|5000029|| |10|2
сьмѧте|V-|3saia----i|сьмѧте|5000029|| |10|2
сѧ|Pk|3s---qa--i|сѧ|5000029|| · |10|2
і|C-|---------n|ӣ|5000029|| |10|2
весь|Px|-s---ma--i|весь|5000029|| |10|2
іерслмъ|Ne|-s---ma--i|ӣе̄р̄слмъ|5000029|| |10|2
съ|R-|---------n|съ|5000029|| |10|2
німъ|Pp|3s---mi--i|німъ|5000029|| ·|10|2
і|C-|---------n|ӣ|5000030| | |10|2
събьравъ|V-|-supamn-si|събьравъ|5000030|| |10|2
вьсѧ|Px|-p---ma--i|вьсѧ|5000030|| |10|2
архіереѧ|Nb|-p---ma--i|а̄рх̄ие̄ре̄ѩ̄|5000030|| |10|2
і|C-|---------n|ӣ|5000030|| |10|2
кьніжьнікъі|Nb|-p---ma--i|кьніжьникъі|5000030|| |10|2
людьскъіѧ|A-|-p---mapwi|людьскъіѩ̄|5000030|| · |10|2
въпрашааше|V-|3siia----i|въпрашаа̄ше|5000030|| |10|2
ѧ|Pp|3p---ma--i|ѩ̄|5000030|| |10|2
кьде|Du|---------n|кьде|5000030|| |10|2
хъ|Ne|-s---mn--i|х҃ъ|5000030|| |10|2
раждаетъ|V-|3spia----i|раждае̄тъ|5000030|| |10|2
сѧ|Pk|3s---qa--i|сѧ|5000030|| ·|10|2
оні|Pd|-p---mn--i|о̄ни|5000031| | |10|2
же|Df|---------n|же|5000031|| |10|2
рѣшѧ|V-|3paia----i|рѣшѧ|5000031|| |10|2
емоу|Pp|3s---md--i|е̄мѹ|5000031|| · |10|2
въ|R-|---------n|въ|5000031|| |10|2
віѳлеомі|Nb|3saia----i|віѳлео̄ми|5000031|| |10|2
іюдеістѣі|A-|-s---fdpwi|ӣю̄деӣстѣӣ|5000031|| · |10|2
тако|Df|---------n|Тако|5000031|| |10|2
